industry,S048-tpmr_1947,S048-tvr_1947,S048-tdr_1947,S048-tprr_1947,S048-tpm_1947,S048-td_1947,S048-tv_1947,S048-tpr_1947,S048-tpmr_1958,S048-tvr_1958,S048-tdr_1958,S048-tprr_1958,S048-tpm_1958,S048-td_1958,S048-tv_1958,S048-tpr_1958,S048-tpmr_1963,S048-tvr_1963,S048-tdr_1963,S048-tprr_1963,S048-tpm_1963,S048-td_1963,S048-tv_1963,S048-tpr_1963,S048-tpmr_1967,S048-tvr_1967,S048-tdr_1967,S048-tprr_1967,S048-tpm_1967,S048-td_1967,S048-tv_1967,S048-tpr_1967,S048-tpmr_1972,S048-tvr_1972,S048-tdr_1972,S048-tprr_1972,S048-tpm_1972,S048-td_1972,S048-tv_1972,S048-tpr_1972,S048-tpmr_1998circ,S048-tvr_1998circ,S048-tdr_1998circ,S048-tprr_1998circ,S048-tpm_1998circ,S048-td_1998circ,S048-tv_1998circ,S048-tpr_1998circ,S048-tpmr_1998fixed,S048-tvr_1998fixed,S048-tdr_1998fixed,S048-tprr_1998fixed,S048-tpm_1998fixed,S048-td_1998fixed,S048-tv_1998fixed,S048-tpr_1998fixed,S048-pctNMAWD,S048-CVpv,S048-dpv
11,0.0098631,0.0052016,0.0052016,0.004962,3971.242,1016.2366754,2094.3636764,1040.7877524,0.0082813,0.004234,0.004234,0.0042715,5919.012,3026.2400374,836.9208327,911.8103194,0.0080335,0.00386,0.00386,0.0039711,7329.855,3521.876824,778.9753368,895.8811404,0.006584,0.0034327,0.0034327,0.0036442,7907.379,4122.5940552,680.1291725,827.3855742,0.0052677,0.0027108,0.0027108,0.0028976,9252.497,4761.4739128,595.429625,713.7874932,0.0161005,0.0169783,0.0169783,0.0184459,246438.0,259874.8664282,4028.9005885,4257.5301438,0.0161005,0.0166343,0.0166343,0.0156538,246438.0,254609.223593546,4512.7775005,4669.0349954,0.022,0.018,0.026
12,0.0256778,0.0258051,0.0258051,0.0235321,10338.86,5041.5423214,10390.122072,4935.9139676,0.014683,0.0149366,0.0149366,0.0151126,10494.63,10675.9241989,2952.4767568,3225.9654366,0.0137572,0.0138913,0.0138913,0.0141235,12552.28,12674.5955431,2803.3908697,3186.2825256,0.0126954,0.0128451,0.0128451,0.0130329,15247.07,15426.7954038,2545.0513566,2958.9882526,0.0101075,0.0108131,0.0108131,0.0109592,17753.4,18992.7553372,2375.073222,2699.6991042,0.0173623,0.0184112,0.0184112,0.0204085,265752.0,281806.3834537,4368.9100056,4710.5149552,0.0173623,0.0181972,0.0181972,0.0169233,265752.0,278531.188991106,4936.7782719,5047.6731478,0.024,0.02,0.029
13,0.0045525,0.0036375,0.0036375,0.0033853,1833.0,710.6623216,1464.6050361,710.0781345,0.0028265,0.0026299,0.0026299,0.0026669,2020.267,1879.7127472,519.8433496,569.2914227,0.0032249,0.0032133,0.0032133,0.0032552,2942.43,2931.8418592,648.4702941,734.3851206,0.0032831,0.0030697,0.0030697,0.003124,3942.99,3686.7090608,608.2185996,709.2636544,0.0034015,0.0034868,0.0034868,0.0035026,5974.601,6124.3629894,765.860997,862.8244077,0.0273045,0.0311783,0.0311783,0.0343222,417930.0,477222.5117447,7398.491762,7921.9505739,0.0273045,0.0313269,0.0313269,0.0289763,417930.0,479498.234508069,8498.7841904,8642.6971972,0.027,0.022,0.031
14,0.0273453,0.0289375,0.0289375,0.0246774,11010.28,5653.5125893,11651.3325076,5176.136501,0.0197763,0.0216023,0.0216023,0.0194831,14135.07,15440.2010694,4270.0598026,4158.900847,0.0194986,0.0210294,0.0210294,0.018278,17790.78,19187.4769234,4243.9222173,4123.5230963,0.0185175,0.0207829,0.0207829,0.0173556,22239.33,24960.1153308,4117.8205661,3940.4078753,0.0172103,0.0197221,0.0197221,0.0171131,30229.2,34640.927558,4331.901189,4215.6697929,0.0072815,0.0077925,0.0077925,0.0090283,111452.0,119274.1528065,1849.1349742,2083.8357189,0.0072815,0.0077603,0.0077603,0.0073692,111452.0,118780.484650111,2105.3043211,2198.0012505,0.029,0.024,0.034
15,0.0026872,0.0030544,0.0030544,0.0027001,1081.964,596.7369464,1229.8160607,566.3423333,0.0025736,0.0026235,0.0026235,0.0025024,1839.459,1875.1077048,518.5698036,534.1733305,0.002697,0.0027536,0.0027536,0.0025501,2460.742,2512.4229607,555.7024337,575.3109476,0.0028291,0.0027099,0.0027099,0.0024666,3397.75,3254.5229541,536.9182544,560.0278481,0.0028097,0.0030263,0.0030263,0.0027753,4935.099,5315.5406427,664.7165204,683.6676163,0.0282301,0.0305671,0.0305671,0.0394945,432097.0,467867.8730221,7253.4646189,9115.7650601,0.0282301,0.0302575,0.0302575,0.0279432,432097.0,463129.398123482,8208.6575583,8334.5546615,0.031,0.026,0.037
16,0.0131366,0.0146627,0.0146627,0.0134992,5289.295,2864.6596218,5903.7812772,2831.4817064,0.0106278,0.0134685,0.0134685,0.0130412,7596.173,9626.6049057,2662.2825997,2783.8082404,0.0103992,0.0121957,0.0121957,0.0117112,9488.381,11127.5063355,2461.2027703,2642.0659804,0.0096885,0.0110878,0.0110878,0.0106312,11635.76,13316.3851377,2196.8842635,2413.7061849,0.0122995,0.0128871,0.0128871,0.0123983,21603.6,22635.5576045,2830.6112397,3054.2059414,0.0116338,0.0138092,0.0138092,0.0158802,178070.0,211367.3873511,3276.8778412,3665.3288715,0.0116338,0.0135724,0.0135724,0.0124093,178070.0,207743.143862988,3682.1077111,3701.3149267,0.034,0.028,0.04
17,0.0013002,0.0015205,0.0015205,0.0013791,523.5121,297.0584277,612.2081556,289.2694404,0.0005675,0.0006949,0.0006949,0.0006948,405.6464,496.6533559,137.3518079,148.316518,0.0004097,0.0005332,0.0005332,0.0005291,373.8066,486.5113187,107.6074881,119.3762005,0.000418,0.0005177,0.0005177,0.0004782,502.0299,621.7490011,102.5736776,108.5814873,0.0002661,0.0003472,0.0003472,0.0003223,467.391,609.8787171,76.2662702,79.4006459,0.004433,0.0047906,0.0047906,0.0051912,67853.0,73326.0998169,1136.7916058,1198.1832164,0.004433,0.0046038,0.0046038,0.0041382,67853.0,70466.2441538683,1248.9668547,1234.2801936,0.036,0.03,0.042
18,0.004575,0.0051527,0.0051527,0.0045724,1842.063,1006.6776848,2074.6635386,959.0736623,0.0044455,0.0047054,0.0047054,0.0043253,3177.381,3363.1955617,930.1074586,923.277292,0.0043369,0.0047791,0.0047791,0.0042258,3957.086,4360.5461336,964.4737914,953.3535947,0.0041536,0.004584,0.004584,0.0039145,4988.375,5505.3037066,908.2431121,888.7565298,0.0041664,0.0048322,0.0048322,0.0042255,7318.103,8487.5236898,1061.3778716,1040.9189481,0.0069242,0.0071623,0.0071623,0.0076111,105984.0,109627.933252,1699.5873855,1756.7328723,0.0069242,0.0070028,0.0070028,0.0064368,105984.0,107185.90866114,1899.7982483,1919.8938028,0.038,0.032,0.045
19,0.0017266,0.002055,0.002055,0.0018479,695.1997,401.4942389,827.4400743,387.601216,0.001879,0.0017919,0.0017919,0.0016865,1343.023,1280.7579687,354.1996049,360.0088002,0.0019427,0.0019485,0.0019485,0.0017836,1772.558,1777.8055096,393.2183648,402.3882088,0.0021251,0.0020715,0.0020715,0.0018306,2552.241,2487.8691579,410.4387599,415.6173101,0.0021316,0.0021547,0.0021547,0.0019564,3744.004,3784.6474438,473.2759749,481.9407398,0.0348814,0.0289449,0.0289449,0.037219,533904.0,443037.4190305,6868.5123067,8590.5727534,0.0348814,0.0303292,0.0303292,0.0316611,533904.0,464227.118651085,8228.1139175,9443.5075461,0.04,0.034,0.048
20,0.0118092,0.0113567,0.0113567,0.011354,4754.833,2218.7485866,4572.6222635,2381.5221262,0.0129986,0.0120408,0.0120408,0.0127686,9290.709,8606.1231071,2380.0635867,2725.6093788,0.0127214,0.011845,0.011845,0.0128114,11607.21,10807.5608267,2390.4366212,2890.2663727,0.0124098,0.0118188,0.0118188,0.0130947,14904.07,14194.2794653,2341.7157785,2973.0244774,0.0113498,0.0114476,0.0114476,0.0124599,19935.5,20107.1095877,2514.4249323,3069.3873563,0.0057099,0.0059091,0.0059091,0.0070165,87397.0,90445.6215778,1402.1995394,1619.4762363,0.0057099,0.0059727,0.0059727,0.0058113,87397.0,91419.2536890716,1620.3448773,1733.3199128,0.043,0.036,0.051
21,0.0039535,0.0039151,0.0039151,0.0037623,1591.838,764.8840104,1576.3505952,789.1453464,0.0049709,0.0045074,0.0045074,0.0045808,3552.901,3221.6829316,890.971479,977.8314834,0.0050283,0.0045957,0.0045957,0.0046958,4587.913,4193.1344933,927.4453701,1059.3861791,0.0048769,0.0048156,0.0048156,0.0049363,5857.073,5783.4654878,954.1331365,1120.7453901,0.0045529,0.0046706,0.0046706,0.0047415,7996.903,8203.6295298,1025.876471,1168.0271679,0.0046321,0.0050425,0.0050425,0.0059113,70900.0,77181.4280785,1196.5616579,1364.4001862,0.0046321,0.0049003,0.0049003,0.0044969,70900.0,75005.0581904853,1329.4142853,1341.2959869,0.045,0.038,0.053
22,0.0159799,0.0184241,0.0184241,0.0176099,6434.115,3599.5103216,7418.2361778,3693.7015207,0.0172739,0.0194863,0.0194863,0.0183625,12346.44,13927.7972404,3851.7974519,3919.6867395,0.0174218,0.0193154,0.0193154,0.01758,15895.92,17623.6502056,3898.0320839,3966.0626509,0.0178411,0.0192311,0.0192311,0.0172517,21426.99,23096.3171574,3810.3385554,3916.8193873,0.0169649,0.0189161,0.0189161,0.0172807,29798.0,33225.2001835,4154.8623067,4256.9407138,0.0099137,0.00951,0.00951,0.0110187,151742.0,145562.6373481,2256.6914736,2543.2306297,0.0099137,0.0098851,0.0098851,0.0099446,151742.0,151303.936633718,2681.7606658,2966.1444166,0.048,0.04,0.056
23,0.0111717,0.0101169,0.0101169,0.010797,4498.15,1976.5401623,4073.4545615,2264.6991602,0.0142758,0.0109693,0.0109693,0.0126926,10203.61,7840.2770106,2168.2652677,2709.3912608,0.0155628,0.0113304,0.0113304,0.0137896,14199.73,10338.0194451,2286.5825757,3110.9405469,0.0157938,0.0119212,0.0119212,0.0150675,18968.16,14317.2811451,2362.0081065,3420.9320672,0.0137782,0.0114568,0.0114568,0.0140953,24200.8,20123.4159799,2516.4640717,3472.2454858,0.0065536,0.0076332,0.0076332,0.0082014,100311.0,116835.0409252,1811.3208546,1892.9850019,0.0065536,0.0074924,0.0074924,0.0068872,100311.0,114679.904925173,2032.6242993,2054.2201619,0.05,0.042,0.059
24,0.0035506,0.0031477,0.0031477,0.0032781,1429.615,614.9573187,1267.3664532,687.5960142,0.0052743,0.0039606,0.0039606,0.0044586,3769.769,2830.8293107,782.8790826,951.7448187,0.0060135,0.0044663,0.0044663,0.0051785,5486.838,4075.1317016,901.3452908,1168.278041,0.0061368,0.0050684,0.0050684,0.0061176,7370.291,6087.1122676,1004.2275747,1388.9339098,0.0055427,0.0051159,0.0051159,0.0060291,9735.505,8985.7854718,1123.6862727,1485.224705,0.0087431,0.004891,0.004891,0.0060325,133824.0,74862.7207393,1160.6141979,1392.376161,0.0087431,0.0066942,0.0066942,0.0093531,133824.0,102463.646564931,1816.0993239,2789.7467879,0.052,0.044,0.062
25,0.0075349,0.0064799,0.0064799,0.0062772,3033.858,1265.9719248,2609.0434237,1316.6618433,0.0085154,0.0060477,0.0060477,0.0061017,6086.365,4322.5854461,1195.4312171,1302.4743283,0.0090216,0.0068261,0.0068261,0.006843,8231.396,6228.2162339,1377.5685753,1543.7811201,0.0095012,0.0073099,0.0073099,0.007254,11410.86,8779.1060719,1448.3420071,1646.948925,0.0098295,0.0079446,0.0079446,0.00782,17265.0,13954.3306411,1745.0104762,1926.3980164,0.0260333,0.0219874,0.0219874,0.025866,398472.0,336545.3295837,5217.5406382,5970.1621088,0.0260333,0.0229755,0.0229755,0.0232034,398472.0,351668.990387363,6233.0966846,6920.8379989,0.055,0.046,0.065
26,0.0032259,0.0023619,0.0023619,0.0024304,1298.882,461.4415518,950.9855807,509.7899493,0.0025049,0.0019654,0.0019654,0.0020175,1790.365,1404.7403967,388.4875251,430.6677728,0.0025682,0.0020101,0.0020101,0.0020576,2343.24,1834.0371175,405.6557775,464.1871423,0.0023051,0.0019711,0.0019711,0.0020288,2768.381,2367.2730081,390.5432867,460.616423,0.0020652,0.0018099,0.0018099,0.0018646,3627.5,3179.0020324,397.5390861,459.335068,0.0104691,0.0100056,0.0100056,0.0114551,160242.0,153148.6745348,2374.2995752,2643.9725109,0.0104691,0.0101075,0.0101075,0.0097055,160242.0,154707.914954456,2742.0938955,2894.8487743,0.057,0.048,0.067
27,0.0195105,0.0144675,0.0144675,0.0215161,7855.672,2826.5119642,5825.1627128,4513.0347334,0.023441,0.014639,0.014639,0.0188239,16754.39,10463.1919309,2893.6446534,4018.1915837,0.0219073,0.0132154,0.0132154,0.0177493,19988.5,12057.8912675,2666.9870587,4004.2661237,0.0203217,0.0117201,0.0117201,0.0163528,24406.17,14075.7281623,2322.157656,3712.7347082,0.0179475,0.010792,0.010792,0.0147173,31524.0,18955.5861197,2370.4251542,3625.4893078,0.0493885,0.0454031,0.0454031,0.0392287,755953.0,694952.1242269,10774.0046615,9054.4207124,0.0493885,0.0436503,0.0436503,0.0383403,755953.0,668123.290398409,11842.0366313,11435.6947905,0.059,0.05,0.07
28,0.0086225,0.0082924,0.0082924,0.0075083,3471.758,1620.0854514,3338.8365175,1574.8902647,0.009049,0.0076425,0.0076425,0.0075103,6467.722,5462.4701504,1510.6716621,1603.163238,0.0098881,0.0084099,0.0084099,0.0082937,9022.042,7673.2656428,1697.1873202,1871.0587202,0.0104589,0.0092824,0.0092824,0.0091916,12561.07,11148.1288975,1839.1739717,2086.8544499,0.0117928,0.0108922,0.0108922,0.0108352,20713.5,19131.5868706,2392.4343184,2669.161292,0.0516066,0.0497466,0.0497466,0.0431222,789904.0,761434.9175219,11804.7028922,9953.0798044,0.0516066,0.0473795,0.0473795,0.0439097,789904.0,725202.356865979,12853.7247519,13096.870017,0.062,0.052,0.073
29,0.0028136,0.0023657,0.0023657,0.0022606,1132.851,462.1793153,952.5060386,474.1707008,0.0012195,0.0010507,0.0010507,0.0010353,871.6413,751.0068137,207.694446,221.0017649,0.0009807,0.0009149,0.0009149,0.000887,894.7586,834.774017,184.6368864,200.1013573,0.0008304,0.0007478,0.0007478,0.0007116,997.321,898.0856431,148.1625979,161.5676205,0.0006055,0.0005689,0.0005689,0.0005683,1063.597,999.225234,124.95465,139.9995261,0.0073899,0.0072036,0.0072036,0.0072937,113112.0,110259.6070213,1709.3803711,1683.4642398,0.0073899,0.0078536,0.0078536,0.0082923,113112.0,120209.428957954,2130.6313993,2473.327977,0.064,0.054,0.076
30,0.0064779,0.0072665,0.0072665,0.0063777,2608.263,1419.6621996,2925.7839396,1337.7321075,0.0042439,0.0044124,0.0044124,0.0039161,3033.332,3153.7211212,872.1763226,835.9423152,0.0036508,0.004017,0.004017,0.0033971,3331.063,3665.1405137,810.6626691,766.3930533,0.0034095,0.0037994,0.0037994,0.0030689,4094.762,4563.1020806,752.8024347,696.767061,0.0025817,0.0029913,0.0029913,0.0025319,4534.701,5254.0836327,657.0312269,623.720387,0.0024896,0.0028757,0.0028757,0.00281,38107.0,44015.5883486,682.383919,648.5772605,0.0024896,0.0032402,0.0032402,0.0048864,38107.0,49594.750588035,879.0336479,1457.4626373,0.067,0.056,0.079
31,0.0028052,0.0034897,0.0034897,0.0032313,1129.465,681.7833971,1405.0884176,677.7659497,0.0029796,0.0026254,0.0026254,0.0026415,2129.674,1876.4981547,518.954339,563.8660181,0.0030716,0.0028237,0.0028237,0.0028326,2802.6,2576.3703454,569.8464364,639.0424828,0.0030039,0.0028159,0.0028159,0.0028475,3607.671,3381.9113078,557.9342784,646.5006664,0.0032045,0.0031539,0.0031539,0.0031603,5628.597,5539.6516846,692.7419504,778.5113353,0.0015976,0.0015214,0.0015214,0.001736,24453.0,23287.2960349,361.0283749,400.6913619,0.0015976,0.0017333,0.0017333,0.0019944,24453.0,26530.1610995436,470.2292887,594.8536342,0.069,0.058,0.082
32,0.0073029,0.0081806,0.0081806,0.0080182,2940.421,1598.2352593,3293.8054239,1681.8274397,0.0101684,0.0093204,0.0093204,0.0096805,7267.85,6661.7307136,1842.3327784,2066.428792,0.0099611,0.0094855,0.0094855,0.0099512,9088.688,8654.6836057,1914.2591902,2244.9972328,0.0086603,0.0089056,0.0089056,0.0093438,10400.99,10695.5425589,1764.5080774,2121.4157917,0.0087741,0.0090792,0.0090792,0.0093318,15411.4,15947.1278058,1994.212822,2298.8002352,0.0113254,0.0117946,0.0117946,0.0116894,173349.0,180531.1742271,2798.8168463,2698.0524831,0.0113254,0.0117488,0.0117488,0.0111478,173349.0,179830.14017642,3187.3684663,3325.0370853,0.072,0.06,0.085
33,0.0277343,0.0329928,0.0329928,0.0365218,11166.87,6445.806831,13284.1728893,7660.5202359,0.0266159,0.0269118,0.0269118,0.0291995,19023.64,19235.1339418,5319.5662332,6232.9767831,0.025929,0.0251456,0.0251456,0.027625,23657.97,22943.1740399,5074.614366,6232.2130341,0.0247943,0.0252359,0.0252359,0.0280622,29777.76,30308.0511636,5000.1017521,6371.2373925,0.0212468,0.0231134,0.0231134,0.0253488,37319.1,40597.582056,5076.7899816,6244.4446396,0.0017106,0.0016592,0.0016592,0.0016145,26183.0,25396.7381138,393.7315468,372.6534605,0.0017106,0.0016864,0.0016864,0.0017209,26183.0,25812.5736671686,457.5105333,513.3042204,0.074,0.062,0.087
34,0.0137611,0.0134256,0.0134256,0.0128716,5540.736,2622.955736,5405.6533793,2699.8431627,0.012459,0.0121692,0.0121692,0.0124874,8905.06,8697.9157602,2405.4492741,2665.5922363,0.0139776,0.0134995,0.0134995,0.0139132,12753.31,12317.1183341,2724.3233886,3138.8266003,0.0151608,0.0143621,0.0143621,0.014924,18207.99,17248.6992514,2845.621808,3388.3406076,0.0137358,0.0151028,0.0151028,0.0156182,24126.4,26527.4098476,3317.2933394,3847.4155226,0.0015898,0.0014249,0.0014249,0.0016208,24334.0,21810.3655367,338.1311773,374.0893473,0.0015898,0.0016732,0.0016732,0.0021936,24334.0,25610.8026844996,453.9342782,654.2891995,0.077,0.064,0.09
35,0.0021408,0.0023005,0.0023005,0.002407,861.9491,449.4485375,926.2691598,504.87242,0.0028861,0.0028452,0.0028452,0.0028808,2062.812,2033.6150475,562.4057504,614.9335868,0.0025955,0.0025655,0.0025655,0.0025863,2368.16,2340.8218787,517.7473837,583.4753967,0.0027211,0.0026836,0.0026836,0.0027152,3268.065,3223.0009444,531.7178786,616.4498801,0.0027842,0.0029715,0.0029715,0.0029871,4890.295,5219.3365445,652.6860502,735.8534335,0.0059761,0.0067419,0.0067419,0.0059289,91472.0,103193.4569703,1599.8322009,1368.4604921,0.0059761,0.0067167,0.0067167,0.0064887,91472.0,102808.169432767,1822.2057604,1935.3792094,0.079,0.066,0.093
36,0.0091201,0.0086477,0.0086477,0.0082033,3672.115,1689.4980749,3481.8890966,1720.6512265,0.0101874,0.0102795,0.0102795,0.0098586,7281.397,7347.2297387,2031.9107392,2104.4343863,0.0088737,0.0092031,0.0092031,0.0086434,8096.485,8397.0229619,1857.2693246,1949.956527,0.0094001,0.0100216,0.0100216,0.0092123,11289.47,12035.7904814,1985.6168498,2091.5534616,0.0087584,0.0100768,0.0100768,0.0092706,15383.8,17699.3878512,2213.3356316,2283.7389568,0.0019258,0.0024449,0.0024449,0.0019974,29477.0,37422.2574552,580.1659743,461.0215108,0.0019258,0.0022749,0.0022749,0.0020009,29477.0,34819.539405098,617.1529522,596.8026496,0.082,0.068,0.096
