Year,"Ayres Index of Business Activity, Cleveland Trust Co. Monthly data (~12 obs/year), 1831-1939. Source: Ayres, Turning Points in Business Cycles, MacMillan 1939, Appendix A Table 9. Fluctuations above and below normal of ten-year moving average",NOTE: S004A intentionally skipped (prior extension attempt yielded unreliable results). S004 is the authoritative Ayres series
1850,,-0.6
1850,,0.6
1850,,1.8
1850,,2.1
1850,,2.5
1850,,3.4
1850,,3.7
1850,,4.8
1850,,5.6
1850,,6.8
1850,,8.2
1851,,10.9
1851,,9.6
1851,,9.7
1851,,9.0
1851,,7.8
1851,,7.4
1851,,4.3
1851,,0.7
1851,,0.7
1851,,-0.9
1851,,0.9
1851,,1.3
1852,,0.3
1852,,1.3
1852,,2.2
1852,,2.8
1852,,3.5
1852,,3.3
1852,,4.4
1852,,4.7
1852,,5.6
1852,,6.5
1852,,7.4
1852,,9.5
1853,,9.0
1853,,8.9
1853,,8.6
1853,,8.2
1853,,8.1
1853,,7.5
1853,,8.4
1853,,8.0
1853,,8.5
1853,,9.0
1853,,9.7
1853,,12.1
1854,,12.2
1854,,10.9
1854,,14.6
1854,,11.5
1854,,10.0
1854,,10.0
1854,,9.2
1854,,5.9
1854,,1.8
1854,,-2.2
1854,,-2.2
1854,,-3.8
1855,,-3.0
1855,,-2.0
1855,,-0.1
1855,,1.6
1855,,2.5
1855,,3.9
1855,,4.1
1855,,3.6
1855,,3.9
1855,,5.2
1855,,2.7
1855,,3.9
1856,,4.6
1856,,5.5
1856,,6.7
1856,,9.3
1856,,10.1
1856,,9.6
1856,,9.7
1856,,9.4
1856,,9.2
1856,,8.0
1856,,5.9
1856,,5.2
1857,,5.9
1857,,6.8
1857,,5.8
1857,,4.5
1857,,4.4
1857,,1.7
1857,,-0.3
1857,,0.5
1857,,-2.7
1857,,-10.1
1857,,-12.0
1857,,-10.7
1858,,-13.0
1858,,-11.7
1858,,-6.6
1858,,-9.3
1858,,-8.0
1858,,-9.4
1858,,-10.0
1858,,-7.5
1858,,-6.7
1858,,-5.7
1858,,-5.5
1858,,-3.7
1859,,-1.8
1859,,-0.7
1859,,0.3
1859,,1.6
1859,,1.4
1859,,0.5
1859,,0.8
1859,,0.3
1859,,0.5
1859,,-0.8
1859,,-0.6
1859,,-0.3
1860,,-0.7
1860,,-0.1
1860,,0.4
1860,,1.0
1860,,1.6
1860,,2.2
1860,,3.3
1860,,4.6
1860,,4.7
1860,,2.6
1860,,-0.4
1860,,-3.8
1861,,-3.6
1861,,-3.5
1861,,-2.3
1861,,-5.5
1861,,-7.6
1861,,-9.8
1861,,-9.8
1861,,-9.7
1861,,-9.6
1861,,-8.4
1861,,-8.4
1861,,-8.3
1862,,-7.3
1862,,-7.3
1862,,-6.1
1862,,-5.0
1862,,-2.7
1862,,-0.5
1862,,-0.7
1862,,-1.7
1862,,-0.7
1862,,0.3
1862,,0.1
1862,,0.0
1863,,-0.3
1863,,1.3
1863,,0.9
1863,,0.7
1863,,1.2
1863,,1.6
1863,,2.3
1863,,3.9
1863,,4.4
1863,,4.0
1863,,3.1
1863,,1.0
1864,,3.1
1864,,6.8
1864,,8.3
1864,,9.8
1864,,9.6
1864,,5.9
1864,,4.1
1864,,2.3
1864,,2.8
1864,,2.6
1864,,2.8
1864,,3.4
1865,,3.0
1865,,4.0
1865,,4.0
1865,,2.5
1865,,-5.1
1865,,-9.8
1865,,-13.0
1865,,-13.5
1865,,-14.0
1865,,-13.0
1865,,-14.0
1865,,-13.8
1866,,-10.8
1866,,-8.3
1866,,-5.2
1866,,0.4
1866,,5.2
1866,,6.9
1866,,8.1
1866,,9.2
1866,,8.6
1866,,9.5
1866,,4.2
1866,,1.6
1867,,0.0
1867,,-3.0
1867,,-2.8
1867,,-2.4
1867,,-1.2
1867,,-0.4
1867,,0.3
1867,,1.9
1867,,2.1
1867,,-0.2
1867,,-1.5
1867,,-2.0
1868,,-3.2
1868,,-2.7
1868,,-2.2
1868,,-0.5
1868,,0.1
1868,,-0.2
1868,,0.4
1868,,2.0
1868,,2.5
1868,,2.0
1868,,1.6
1868,,2.0
1869,,1.1
1869,,1.9
1869,,2.3
1869,,2.8
1869,,4.2
1869,,4.9
1869,,4.1
1869,,2.6
1869,,1.6
1869,,0.9
1869,,0.6
1869,,0.2
1870,,-0.3
1870,,-1.0
1870,,-0.5
1870,,1.0
1870,,2.5
1870,,3.5
1870,,2.5
1870,,1.0
1870,,-1.6
1870,,-4.8
1870,,-4.0
1870,,-3.0
1871,,-2.6
1871,,0.4
1871,,2.4
1871,,4.2
1871,,6.2
1871,,6.1
1871,,6.4
1871,,5.6
1871,,5.8
1871,,6.0
1871,,6.1
1871,,6.3
1872,,7.7
1872,,8.6
1872,,10.7
1872,,10.5
1872,,10.4
1872,,9.1
1872,,8.9
1872,,9.5
1872,,11.4
1872,,12.0
1872,,13.9
1872,,13.6
1873,,14.6
1873,,14.3
1873,,13.8
1873,,12.1
1873,,10.4
1873,,7.7
1873,,5.8
1873,,5.0
1873,,2.8
1873,,1.0
1873,,-2.0
1873,,-3.7
1874,,-2.7
1874,,-3.8
1874,,-4.9
1874,,-3.9
1874,,-4.0
1874,,-3.1
1874,,-3.4
1874,,-3.9
1874,,-4.4
1874,,-5.7
1874,,-6.1
1874,,-5.5
1875,,-7.4
1875,,-6.8
1875,,-7.2
1875,,-6.6
1875,,-7.0
1875,,-7.5
1875,,-8.3
1875,,-9.2
1875,,-11.0
1875,,-11.8
1875,,-12.6
1875,,-11.5
1876,,-9.8
1876,,-9.7
1876,,-10.6
1876,,-10.4
1876,,-10.1
1876,,-9.9
1876,,-9.3
1876,,-9.5
1876,,-9.8
1876,,-10.9
1876,,-11.2
1876,,-11.5
1877,,-12.0
1877,,-12.2
1877,,-11.4
1877,,-10.7
1877,,-10.0
1877,,-10.2
1877,,-9.1
1877,,-8.8
1877,,-9.6
1877,,-10.4
1877,,-11.1
1877,,-11.8
1878,,-11.9
1878,,-12.7
1878,,-12.5
1878,,-9.7
1878,,-7.6
1878,,-8.1
1878,,-8.3
1878,,-8.6
1878,,-8.8
1878,,-8.2
1878,,-7.4
1878,,-7.0
1879,,-9.3
1879,,-10.0
1879,,-11.0
1879,,-10.4
1879,,-8.6
1879,,-7.1
1879,,-4.3
1879,,-0.8
1879,,3.1
1879,,5.8
1879,,6.9
1879,,8.5
1880,,8.2
1880,,9.4
1880,,10.8
1880,,10.2
1880,,8.0
1880,,5.9
1880,,4.8
1880,,4.5
1880,,4.4
1880,,6.1
1880,,8.7
1880,,11.3
1881,,11.7
1881,,10.6
1881,,9.7
1881,,9.4
1881,,9.3
1881,,9.5
1881,,9.5
1881,,8.9
1881,,8.1
1881,,8.5
1881,,9.2
1881,,9.2
1882,,9.5
1882,,9.8
1882,,10.6
1882,,9.3
1882,,7.3
1882,,5.2
1882,,4.1
1882,,5.4
1882,,7.0
1882,,8.3
1882,,9.1
1882,,9.2
1883,,8.2
1883,,6.7
1883,,5.0
1883,,3.6
1883,,3.3
1883,,2.7
1883,,2.7
1883,,2.9
1883,,3.4
1883,,2.4
1883,,-0.7
1883,,-3.6
1884,,-5.0
1884,,-4.6
1884,,-4.1
1884,,-4.3
1884,,-4.1
1884,,-3.2
1884,,-4.8
1884,,-7.4
1884,,-9.1
1884,,-9.6
1884,,-10.1
1884,,-11.1
1885,,-12.3
1885,,-12.6
1885,,-12.3
1885,,-11.3
1885,,-13.1
1885,,-10.4
1885,,-9.9
1885,,-11.8
1885,,-11.8
1885,,-9.6
1885,,-7.2
1885,,-3.6
1886,,-5.3
1886,,-5.3
1886,,-1.8
1886,,-2.0
1886,,-1.2
1886,,3.1
1886,,4.0
1886,,2.3
1886,,2.6
1886,,2.8
1886,,3.5
1886,,5.2
1887,,4.1
1887,,7.4
1887,,10.5
1887,,9.7
1887,,4.4
1887,,3.5
1887,,-0.2
1887,,5.0
1887,,8.0
1887,,7.0
1887,,7.2
1887,,3.8
1888,,0.1
1888,,-0.4
1888,,-1.2
1888,,-2.2
1888,,0.4
1888,,-1.0
1888,,-1.2
1888,,2.2
1888,,2.6
1888,,6.3
1888,,4.0
1888,,5.9
1889,,6.0
1889,,4.9
1889,,3.7
1889,,1.4
1889,,1.1
1889,,-0.2
1889,,2.2
1889,,2.6
1889,,1.6
1889,,5.9
1889,,6.0
1889,,6.3
1890,,9.2
1890,,8.5
1890,,10.0
1890,,11.2
1890,,12.8
1890,,10.9
1890,,10.3
1890,,8.2
1890,,11.0
1890,,12.3
1890,,8.7
1890,,4.1
1891,,2.4
1891,,-1.2
1891,,-6.5
1891,,-6.2
1891,,-3.0
1891,,4.5
1891,,8.8
1891,,8.8
1891,,12.8
1891,,12.6
1891,,9.9
1891,,11.5
1892,,12.5
1892,,13.9
1892,,10.0
1892,,7.9
1892,,5.9
1892,,5.9
1892,,2.4
1892,,2.3
1892,,3.5
1892,,4.9
1892,,6.7
1892,,8.4
1893,,6.0
1893,,6.8
1893,,6.8
1893,,10.0
1893,,9.8
1893,,3.8
1893,,-5.9
1893,,-16.3
1893,,-19.8
1893,,-19.1
1893,,-16.5
1893,,-15.6
1894,,-15.2
1894,,-15.0
1894,,-12.5
1894,,-14.1
1894,,-18.6
1894,,-19.9
1894,,-15.3
1894,,-7.7
1894,,-6.0
1894,,-5.2
1894,,-4.4
1894,,-3.7
1895,,-3.9
1895,,-7.7
1895,,-8.5
1895,,-9.1
1895,,-7.7
1895,,-5.3
1895,,-1.9
1895,,0.4
1895,,2.5
1895,,5.6
1895,,5.3
1895,,4.6
1896,,-0.1
1896,,-1.5
1896,,-4.9
1896,,-3.9
1896,,-6.0
1896,,-6.8
1896,,-9.1
1896,,-14.8
1896,,-17.9
1896,,-17.3
1896,,-14.6
1896,,-12.0
1897,,-10.9
1897,,-9.5
1897,,-9.8
1897,,-10.0
1897,,-11.6
1897,,-10.4
1897,,-10.6
1897,,-7.4
1897,,-2.3
1897,,-1.1
1897,,0.1
1897,,1.3
1898,,1.1
1898,,2.5
1898,,1.1
1898,,0.0
1898,,-0.6
1898,,0.6
1898,,-1.7
1898,,-0.3
1898,,0.0
1898,,-1.1
1898,,0.1
1898,,1.0
1899,,1.1
1899,,0.4
1899,,2.6
1899,,1.6
1899,,2.3
1899,,3.6
1899,,3.7
1899,,6.0
1899,,7.6
1899,,8.6
1899,,8.6
1899,,9.6
1900,,10.5
1900,,10.9
1900,,10.1
1900,,9.2
1900,,8.0
1900,,6.5
1900,,1.2
1900,,-1.3
1900,,-4.0
1900,,-4.6
1900,,-4.7
1900,,-2.7
1901,,0.3
1901,,1.6
1901,,2.9
1901,,5.0
1901,,4.4
1901,,3.5
1901,,4.4
1901,,4.2
1901,,1.1
1901,,3.6
1901,,3.3
1901,,2.6
1902,,2.3
1902,,2.0
1902,,2.4
1902,,4.3
1902,,4.5
1902,,2.7
1902,,3.6
1902,,2.6
1902,,4.3
1902,,3.3
1902,,2.9
1902,,4.5
1903,,4.3
1903,,3.8
1903,,4.8
1903,,5.9
1903,,5.5
1903,,4.6
1903,,4.1
1903,,2.3
1903,,0.9
1903,,-3.7
1903,,-7.5
1903,,-11.0
1904,,-7.1
1904,,-3.6
1904,,-4.1
1904,,-2.3
1904,,-4.3
1904,,-6.7
1904,,-4.7
1904,,-8.0
1904,,-5.1
1904,,-5.0
1904,,-0.6
1904,,0.6
1905,,3.4
1905,,4.0
1905,,6.9
1905,,8.2
1905,,8.7
1905,,8.5
1905,,8.0
1905,,8.2
1905,,9.7
1905,,9.4
1905,,10.9
1905,,11.8
1906,,12.6
1906,,12.0
1906,,10.4
1906,,8.9
1906,,10.2
1906,,9.1
1906,,8.8
1906,,9.4
1906,,8.3
1906,,10.5
1906,,10.7
1906,,11.8
1907,,11.5
1907,,9.4
1907,,9.0
1907,,11.0
1907,,11.6
1907,,11.1
1907,,11.2
1907,,10.0
1907,,8.3
1907,,7.8
1907,,-7.5
1907,,-17.2
1908,,-18.0
1908,,-17.4
1908,,-16.9
1908,,-16.7
1908,,-18.1
1908,,-17.2
1908,,-15.6
1908,,-12.8
1908,,-11.0
1908,,-10.0
1908,,-8.0
1908,,-6.6
1909,,-3.2
1909,,-3.2
1909,,-3.4
1909,,-3.5
1909,,-1.5
1909,,-0.6
1909,,1.8
1909,,4.2
1909,,6.9
1909,,9.0
1909,,9.2
1909,,9.4
1910,,8.6
1910,,7.2
1910,,7.7
1910,,5.5
1910,,2.0
1910,,1.7
1910,,-1.3
1910,,-1.7
1910,,-2.2
1910,,-2.5
1910,,-4.1
1910,,-5.9
1911,,-5.6
1911,,-5.2
1911,,-4.3
1911,,-6.7
1911,,-7.0
1911,,-6.8
1911,,-7.8
1911,,-6.3
1911,,-5.3
1911,,-5.1
1911,,-4.8
1911,,-4.7
1912,,-2.5
1912,,0.9
1912,,1.4
1912,,3.4
1912,,3.5
1912,,2.9
1912,,4.5
1912,,5.7
1912,,5.6
1912,,8.0
1912,,8.1
1912,,8.3
1913,,9.2
1913,,8.8
1913,,4.9
1913,,7.0
1913,,6.4
1913,,5.7
1913,,5.1
1913,,3.3
1913,,3.6
1913,,3.8
1913,,-0.5
1913,,-3.0
1914,,-1.3
1914,,-0.9
1914,,0.9
1914,,-0.8
1914,,-3.6
1914,,-3.4
1914,,-2.7
1914,,-5.9
1914,,-7.4
1914,,-10.3
1914,,-13.5
1914,,-13.6
1915,,-11.8
1915,,-9.3
1915,,-8.1
1915,,-5.9
1915,,-4.7
1915,,-1.4
1915,,0.1
1915,,1.4
1915,,5.0
1915,,7.3
1915,,10.1
1915,,13.4
1916,,12.3
1916,,13.5
1916,,14.3
1916,,12.7
1916,,14.2
1916,,14.0
1916,,11.4
1916,,13.2
1916,,14.4
1916,,15.5
1916,,15.8
1916,,13.9
1917,,14.3
1917,,12.7
1917,,14.1
1917,,13.1
1917,,14.2
1917,,13.4
1917,,12.4
1917,,12.5
1917,,9.1
1917,,10.8
1917,,10.6
1917,,5.9
1918,,1.5
1918,,2.6
1918,,7.1
1918,,7.5
1918,,9.3
1918,,6.9
1918,,9.3
1918,,10.6
1918,,8.5
1918,,8.5
1918,,6.0
1918,,6.1
1919,,-0.2
1919,,-4.1
1919,,-8.0
1919,,-4.9
1919,,-6.0
1919,,-0.2
1919,,4.3
1919,,6.5
1919,,3.8
1919,,2.4
1919,,1.0
1919,,1.9
1920,,12.3
1920,,12.1
1920,,9.4
1920,,3.3
1920,,5.4
1920,,6.3
1920,,3.8
1920,,3.5
1920,,-0.2
1920,,-4.0
1920,,-12.3
1920,,-17.1
1921,,-23.0
1921,,-24.4
1921,,-26.8
1921,,-27.0
1921,,-24.9
1921,,-26.2
1921,,-26.4
1921,,-24.4
1921,,-23.4
1921,,-20.2
1921,,-20.4
1921,,-21.7
1922,,-18.6
1922,,-15.4
1922,,-11.2
1922,,-14.7
1922,,-10.5
1922,,-6.3
1922,,-6.6
1922,,-7.9
1922,,-3.7
1922,,1.5
1922,,5.6
1922,,8.7
1923,,7.3
1923,,8.2
1923,,11.1
1923,,14.1
1923,,13.8
1923,,13.6
1923,,11.2
1923,,9.8
1923,,6.4
1923,,5.1
1923,,3.8
1923,,2.5
1924,,5.4
1924,,7.2
1924,,4.9
1924,,-0.6
1924,,-7.1
1924,,-11.5
1924,,-12.7
1924,,-7.7
1924,,-2.8
1924,,-2.0
1924,,-0.1
1924,,3.8
1925,,7.6
1925,,6.4
1925,,5.1
1925,,3.9
1925,,3.6
1925,,3.4
1925,,4.2
1925,,3.9
1925,,1.7
1925,,4.4
1925,,7.2
1925,,9.0
1926,,5.7
1926,,4.5
1926,,5.2
1926,,6.0
1926,,4.8
1926,,6.5
1926,,6.3
1926,,8.0
1926,,8.7
1926,,8.5
1926,,7.3
1926,,4.1
1927,,3.9
1927,,4.6
1927,,6.3
1927,,4.2
1927,,4.9
1927,,2.7
1927,,1.6
1927,,1.3
1927,,-0.8
1927,,-2.9
1927,,-4.1
1927,,-3.4
1928,,1.1
1928,,1.9
1928,,1.6
1928,,1.4
1928,,1.2
1928,,1.0
1928,,1.7
1928,,2.4
1928,,4.9
1928,,6.6
1928,,8.2
1928,,8.8
1929,,10.2
1929,,9.1
1929,,8.9
1929,,11.4
1929,,12.0
1929,,14.5
1929,,13.4
1929,,10.4
1929,,10.2
1929,,7.1
1929,,-0.4
1929,,-6.9
1930,,-4.4
1930,,-3.7
1930,,-7.5
1930,,-6.9
1930,,-8.9
1930,,-12.6
1930,,-17.2
1930,,-20.1
1930,,-20.2
1930,,-22.1
1930,,-24.0
1930,,-25.9
1931,,-27.0
1931,,-24.3
1931,,-23.7
1931,,-23.0
1931,,-23.9
1931,,-27.9
1931,,-28.6
1931,,-32.2
1931,,-34.0
1931,,-36.7
1931,,-36.9
1931,,-36.1
1932,,-37.9
1932,,-40.6
1932,,-42.4
1932,,-46.0
1932,,-48.7
1932,,-49.6
1932,,-50.6
1932,,-48.9
1932,,-43.9
1932,,-43.1
1932,,-44.9
1932,,-44.2
1933,,-45.1
1933,,-46.8
1933,,-50.4
1933,,-44.5
1933,,-34.5
1933,,-23.8
1933,,-16.4
1933,,-24.0
1933,,-30.0
1933,,-36.8
1933,,-40.2
1933,,-37.8
1934,,-35.4
1934,,-33.1
1934,,-30.7
1934,,-29.1
1934,,-29.3
1934,,-31.1
1934,,-37.7
1934,,-40.3
1934,,-42.0
1934,,-39.6
1934,,-38.9
1934,,-30.2
1935,,-27.0
1935,,-27.1
1935,,-28.8
1935,,-30.6
1935,,-31.4
1935,,-30.0
1935,,-30.9
1935,,-29.4
1935,,-27.1
1935,,-24.1
1935,,-23.4
1935,,-19.5
1936,,-22.9
1936,,-25.4
1936,,-26.3
1936,,-20.1
1936,,-20.2
1936,,-17.9
1936,,-15.0
1936,,-15.1
1936,,-14.4
1936,,-13.8
1936,,-10.8
1936,,-5.5
1937,,-11.1
1937,,-9.7
1937,,-8.3
1937,,-8.4
1937,,-8.5
1937,,-11.8
1937,,-11.9
1937,,-9.7
1937,,-14.6
1937,,-21.6
1937,,-32.5
1937,,-35.6
1938,,-38.7
1938,,-39.7
1938,,-39.8
1938,,-41.4
1938,,-42.2
1938,,-41.5
1938,,-37.1
1938,,-33.4
1938,,-32.0
1938,,-27.6
1938,,-22.4
1938,,-21.8
1939,,-24.2
1939,,-25.8
1939,,-26.7
1939,,-31.2
1939,,-31.4
1939,,-27.0
1939,,-24.9
