Year,"Long Term Eco Growth 1860-1970 US BEA Wash 1973 A173, p.211 (1958=100) NBER, Kendrick_Manufacturing Output per Man Hour","BLS International Data    http://www.bls.gov/fls/#productivity (2002 = 100) Table 1. Output per hour in manufacturing, 19 countries or areas, 1950-2009_Manufacturing Output per Man Hour",Calculated,SplicedIn1950,Rescaled for Graph to 1889,"FRED OPHMFG, Manufacturing Sector: Real Output Per Hour of All Persons, Index 2012=100, annual avg of quarterly. Source: https://fred.stlouisfed.org/series/OPHMFG. Pulled via pull_fred_ch02.py. NOTE: Manufacturing-specific (replaces prior OUTNFB nonfarm proxy).","Spliced Shaikh S007 (1889-2009) + FRED OPHMFG manufacturing output/hr (post-2009), re-indexed at splice year. Manufacturing-specific series."
,S007-A,S007-B,S007-C,S007-D,S007,S007-EXT,S007-COMBINED
1903,30.6,,,31.646778042959433,137.83783783783784,,137.83783783783784
1904,30.6,,,31.646778042959433,137.83783783783784,,137.83783783783784
1905,31.3,,,32.37072394590295,140.990990990991,,140.990990990991
1906,33.7,,,34.85282418456644,151.80180180180184,,151.80180180180184
1907,33.9,,,35.05966587112172,152.7027027027027,,152.7027027027027
1908,32.1,,,33.19809069212411,144.5945945945946,,144.5945945945946
1909,35.0,,,36.19729514717582,157.65765765765767,,157.65765765765767
1910,33.9,,,35.05966587112172,152.7027027027027,,152.7027027027027
1911,35.3,,,36.507557677008755,159.00900900900902,,159.00900900900902
1912,34.8,,,35.99045346062053,156.75675675675677,,156.75675675675677
1913,37.1,,,38.369132856006374,167.11711711711715,,167.11711711711715
1914,33.9,,,35.05966587112172,152.7027027027027,,152.7027027027027
1915,34.8,,,35.99045346062053,156.75675675675677,,156.75675675675677
1916,38.6,,,39.92044550517105,173.8738738738739,,173.8738738738739
1917,35.7,,,36.92124105011934,160.81081081081084,,160.81081081081084
1918,40.1,,,41.47175815433573,180.63063063063066,,180.63063063063066
1919,43.1,,,44.57438345266508,194.14414414414415,,194.14414414414415
1920,43.0,,,44.470962609387435,193.6936936936937,,193.6936936936937
1921,46.6,,,48.194112967382665,209.9099099099099,,209.9099099099099
1922,45.4,,,46.95306284805092,204.50450450450452,,204.50450450450452
1923,47.5,,,49.12490055688147,213.963963963964,,213.963963963964
1924,50.5,,,52.22752585521083,227.4774774774775,,227.4774774774775
1925,50.1,,,51.81384248210025,225.67567567567568,,225.67567567567568
1926,51.4,,,53.158313444709634,231.53153153153156,,231.53153153153156
1927,51.6,,,53.36515513126493,232.43243243243245,,232.43243243243245
1928,52.0,,,53.77883850437551,234.23423423423426,,234.23423423423426
1929,54.1,,,55.95067621320606,243.69369369369375,,243.69369369369375
1930,52.5,,,54.29594272076373,236.4864864864865,,236.4864864864865
1931,53.3,,,55.12330946698489,240.09009009009011,,240.09009009009011
1932,51.6,,,53.36515513126493,232.43243243243245,,232.43243243243245
1933,50.4,,,52.12410501193318,227.02702702702703,,227.02702702702703
1934,55.9,,,57.81225139220366,251.8018018018018,,251.8018018018018
1935,57.7,,,59.67382657120128,259.9099099099099,,259.9099099099099
1936,60.2,,,62.25934765314241,271.1711711711712,,271.1711711711712
1937,59.7,,,61.74224343675419,268.91891891891896,,268.91891891891896
1938,61.4,,,63.50039777247415,276.5765765765766,,276.5765765765766
1939,63.6,,,65.77565632458236,286.48648648648657,,286.48648648648657
1940,66.1,,,68.36117740652347,297.7477477477477,,297.7477477477477
1941,67.2,,,69.49880668257758,302.7027027027027,,302.7027027027027
1942,66.7,,,68.98170246618935,300.45045045045043,,300.45045045045043
1943,67.4,,,69.70564836913287,303.6036036036037,,303.6036036036037
1944,72.7,,,75.18695306284806,327.47747747747746,,327.47747747747746
1945,76.8,,,79.42720763723152,345.945945945946,,345.945945945946
1946,73.3,,,75.80747812251393,330.1801801801802,,330.1801801801802
1947,72.8,,,75.29037390612571,327.92792792792795,,327.92792792792795
1948,74.8,,,77.35879077167861,336.93693693693695,,336.93693693693695
1949,78.4,,,81.08194112967385,353.15315315315326,,353.15315315315326
1950,83.8,19.5,86.66666666666667,86.66666666666667,377.4774774774775,,377.4774774774775
1951,85.1,20.2,89.77777777777777,89.77777777777777,391.02795102795096,,391.02795102795096
1952,85.6,20.6,91.55555555555556,91.55555555555556,398.7710787710788,,398.7710787710788
1953,88.8,20.9,92.88888888888889,92.88888888888889,404.5784245784245,,404.5784245784245
1954,91.2,21.3,94.66666666666667,94.66666666666667,412.32155232155236,,412.32155232155236
1955,95.9,22.3,99.11111111111111,99.11111111111111,431.6793716793716,,431.6793716793716
1956,95.6,21.8,96.88888888888889,96.88888888888889,422.00046200046194,,422.00046200046194
1957,97.6,22.4,99.55555555555556,99.55555555555556,433.61515361515364,,433.61515361515364
1958,100.0,22.5,100.0,100.0,435.5509355509355,,435.5509355509355
1959,103.5,23.5,104.44444444444444,104.44444444444444,454.9087549087548,,454.9087549087548
1960,104.7,23.7,105.33333333333333,105.33333333333333,458.7803187803187,,458.7803187803187
1961,107.8,24.3,108.0,108.0,470.39501039501033,,470.39501039501033
1962,113.0,25.5,113.33333333333333,113.33333333333333,493.6243936243935,,493.6243936243935
1963,116.3,27.2,120.88888888888889,120.88888888888889,526.5326865326865,,526.5326865326865
1964,120.3,28.6,127.11111111111111,127.11111111111111,553.6336336336336,,553.6336336336336
1965,123.8,29.6,131.55555555555554,131.55555555555554,572.9914529914529,,572.9914529914529
1966,127.1,30.2,134.22222222222223,134.22222222222223,584.6061446061445,,584.6061446061445
1967,,30.2,134.22222222222223,134.22222222222223,584.6061446061445,,584.6061446061445
1968,,31.4,139.55555555555554,139.55555555555554,607.8355278355277,,607.8355278355277
1969,,31.8,141.33333333333334,141.33333333333334,615.5786555786556,,615.5786555786556
1970,,31.9,141.77777777777777,141.77777777777777,617.5144375144374,,617.5144375144374
1971,,34.0,151.11111111111111,151.11111111111111,658.1658581658581,,658.1658581658581
1972,,35.4,157.33333333333334,157.33333333333334,685.2668052668052,,685.2668052668052
1973,,37.2,165.33333333333334,165.33333333333334,720.1108801108802,,720.1108801108802
1974,,36.3,161.33333333333331,161.33333333333331,702.6888426888426,,702.6888426888426
1975,,37.6,167.11111111111111,167.11111111111111,727.8540078540079,,727.8540078540079
1976,,39.6,176.0,176.0,766.5696465696465,,766.5696465696465
1977,,41.1,182.66666666666666,182.66666666666666,795.6063756063754,,795.6063756063754
1978,,41.5,184.44444444444446,184.44444444444446,803.3495033495033,,803.3495033495033
1979,,42.0,186.66666666666666,186.66666666666666,813.0284130284128,,813.0284130284128
1980,,41.7,185.33333333333334,185.33333333333334,807.2210672210673,,807.2210672210673
1981,,44.0,195.55555555555554,195.55555555555554,851.7440517440516,,851.7440517440516
1982,,44.4,197.33333333333334,197.33333333333334,859.4871794871796,,859.4871794871796
1983,,47.5,211.11111111111111,211.11111111111111,919.4964194964195,,919.4964194964195
1984,,48.8,216.88888888888889,216.88888888888889,944.6615846615845,,944.6615846615845
1985,,50.6,224.88888888888889,224.88888888888889,979.5056595056593,,979.5056595056593
1986,,51.4,228.44444444444446,228.44444444444446,994.991914991915,,994.991914991915
1987,,55.0,244.44444444444446,244.44444444444446,1064.6800646800646,45.8445,1064.6800646800646
1988,,57.1,253.77777777777777,253.77777777777777,1105.3314853314853,46.33625,1105.3314853314853
1989,,57.4,255.11111111111111,255.11111111111111,1111.1388311388312,46.64025,1111.1388311388312
1990,,58.1,258.22222222222223,258.22222222222223,1124.6893046893047,48.1905,1124.6893046893047
1991,,59.7,265.3333333333333,265.3333333333333,1155.6618156618156,49.17025,1155.6618156618156
1992,,62.0,275.55555555555554,275.55555555555554,1200.1848001848,51.56825,1200.1848001848
1993,,63.6,282.6666666666667,282.6666666666667,1231.1573111573111,52.849,1231.1573111573111
1994,,66.3,294.6666666666667,294.6666666666667,1283.4234234234234,54.43,1283.4234234234234
1995,,68.5,304.44444444444446,304.44444444444446,1326.0106260106259,56.43725,1326.0106260106259
1996,,70.9,315.11111111111114,315.11111111111114,1372.4693924693925,58.677,1372.4693924693925
1997,,73.8,328.0,328.0,1428.6070686070684,61.513,1428.6070686070684
1998,,77.7,345.3333333333333,345.3333333333333,1504.1025641025637,64.23275,1504.1025641025637
1999,,82.4,366.22222222222223,366.22222222222223,1595.0843150843152,68.03125,1595.0843150843152
2000,,88.8,394.6666666666667,394.6666666666667,1718.9743589743591,70.4255,1718.9743589743591
2001,,90.7,403.1111111111111,403.1111111111111,1755.7542157542155,71.761,1755.7542157542155
2002,,100.0,444.44444444444446,444.44444444444446,1935.7819357819355,77.97975,1935.7819357819355
2003,,108.2,480.8888888888889,480.8888888888889,2094.5160545160543,83.0215,2094.5160545160543
2004,,117.5,522.2222222222222,522.2222222222222,2274.5437745437744,85.602,2274.5437745437744
2005,,122.8,545.7777777777778,545.7777777777778,2377.140217140217,89.9395,2377.140217140217
2006,,127.2,565.3333333333334,565.3333333333334,2462.3146223146223,90.7415,2462.3146223146223
2007,,135.2,600.8888888888888,600.8888888888888,2617.177177177177,94.75375,2617.177177177177
2008,,135.7,603.1111111111111,603.1111111111111,2626.8560868560867,94.4625,2626.8560868560867
2009,,146.2,649.7777777777777,649.7777777777777,2830.11319011319,95.70125,2830.11319011319
2010,,,,,,101.73975,3008.685973
2011,,,,,,102.70875,3037.341603
2012,,,,,,101.5025,3001.669927
2013,,,,,,102.84225,3041.289515
2014,,,,,,102.54325,3032.447375
2015,,,,,,100.7625,2979.78637
2016,,,,,,100.71325,2978.32993
2017,,,,,,100.00775,2957.46662
2018,,,,,,100.23075,2964.06126
2019,,,,,,97.913,2895.519889
2020,,,,,,97.76975,2891.283646
2021,,,,,,99.45975,2941.260959
2022,,,,,,97.368,2879.402945
2023,,,,,,97.16275,2873.333215
2024,,,,,,97.28,2876.800576
2025,,,,,,98.682,2918.261045
