Year,"1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 100","1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1958 = 100","1919-2010 from FRB, G-17, Industrial Production Index, All","INDUSTRIAL PRODUCTION, U.S.: 1860- present_Spliced at 1919: HS series 1860-1918, FRB series 1919-2010, reindexed to 1958 1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 10","INDUSTRIAL PRODUCTION, U.S.: 1860- present_Spliced at 1919: HS series 1860-1918, FRB series 1919-2010, reindexed to 1958 1860-1959 from Long Term Eco Growth, US BEA, TA15, p. 185, indexed to 1913 = 10","FRED INDPRO, Industrial Production Total Index, 2017=100, annual avg of monthly. Source: https://fred.stlouisfed.org/series/INDPRO. Pulled via pull_fred_ch02.py.","Spliced Shaikh S001 (1860-2010) + FRED INDPRO (post-2010), re-indexed to 1958=100 at splice year. Same underlying FRB G-17 series."
1885,23.2,5.076586433260394,,,5.076586433260394,,5.076586433260394
1886,27.9,6.105032822757112,,,6.105032822757112,,6.105032822757112
1887,29.5,6.455142231947484,,,6.455142231947484,,6.455142231947484
1888,30.6,6.6958424507658645,,,6.6958424507658645,,6.6958424507658645
1889,32.6,7.133479212253829,,,7.133479212253829,,7.133479212253829
1890,35.0,7.658643326039387,,,7.658643326039387,,7.658643326039387
1891,36.0,7.87746170678337,,,7.87746170678337,,7.87746170678337
1892,38.8,8.49015317286652,,,8.49015317286652,,8.49015317286652
1893,34.7,7.592997811816193,,,7.592997811816193,,7.592997811816193
1894,33.7,7.374179431072211,,,7.374179431072211,,7.374179431072211
1895,39.7,8.687089715536105,,,8.687089715536105,,8.687089715536105
1896,36.9,8.074398249452955,,,8.074398249452955,,8.074398249452955
1897,39.7,8.687089715536105,,,8.687089715536105,,8.687089715536105
1898,44.7,9.781181619256017,,,9.781181619256017,,9.781181619256017
1899,49.2,10.76586433260394,,,10.76586433260394,,10.76586433260394
1900,50.6,11.072210065645514,,,11.072210065645514,,11.072210065645514
1901,56.7,12.407002188183807,,,12.407002188183807,,12.407002188183807
1902,63.2,13.829321663019694,,,13.829321663019694,,13.829321663019694
1903,65.4,14.310722100656458,,,14.310722100656458,,14.310722100656458
1904,62.3,13.63238512035011,,,13.63238512035011,,13.63238512035011
1905,73.6,16.10503282275711,,,16.10503282275711,,16.10503282275711
1906,78.9,17.26477024070022,,,17.26477024070022,,17.26477024070022
1907,80.6,17.636761487964986,,,17.636761487964986,,17.636761487964986
1908,68.0,14.879649890590809,,,14.879649890590809,,14.879649890590809
1909,80.2,17.549234135667398,,,17.549234135667398,,17.549234135667398
1910,85.3,18.665207877461707,,,18.665207877461707,,18.665207877461707
1911,82.2,17.98687089715536,,,17.98687089715536,,17.98687089715536
1912,93.7,20.50328227571116,,,20.50328227571116,,20.50328227571116
1913,100.0,21.88183807439825,,,21.88183807439825,,21.88183807439825
1914,94.1,20.590809628008753,,,20.590809628008753,,20.590809628008753
1915,109.3,23.916849015317286,,,23.916849015317286,,23.916849015317286
1916,129.6,28.358862144420133,,,28.358862144420133,,28.358862144420133
1917,129.7,28.380743982494526,,,28.380743982494526,,28.380743982494526
1918,128.8,28.18380743982495,,,28.18380743982495,,28.18380743982495
1919,113.2,24.770240700218817,4.9172,24.31002049236048,24.31002049236048,4.9412,24.31002049236048
1920,124.0,27.133479212253828,5.14945,25.458235382816575,25.458235382816575,5.174567,25.458235382816575
1921,100.1,21.90371991247265,3.959225,19.573912162178868,19.573912162178868,3.97855,19.573912162178868
1922,125.9,27.549234135667398,5.04,24.917128300963316,24.917128300963316,5.064625,24.917128300963316
1923,144.4,31.59737417943107,6.006925,29.697484309377792,29.697484309377792,6.03625,29.697484309377792
1924,137.7,30.131291028446384,5.6273,27.82066589047835,27.82066589047835,5.654792,27.82066589047835
1925,153.0,33.479212253829324,6.199,30.6470790352523,30.6470790352523,6.229233,30.6470790352523
1926,163.1,35.689277899343544,6.5585,32.42440197656109,32.42440197656109,6.590525,32.42440197656109
1927,164.5,35.99562363238512,6.55405,32.40240173431123,32.40240173431123,6.586017,32.40240173431123
1928,171.8,37.59299781181619,6.82425,33.73823666822399,33.73823666822399,6.85755,33.73823666822399
1929,188.3,41.203501094091905,7.574575,37.447749424656585,37.447749424656585,7.611508,37.447749424656585
1930,155.6,34.048140043763674,6.292775,31.110690881764768,31.110690881764768,6.323467,31.110690881764768
1931,129.7,28.380743982494526,5.211975,25.767351146113747,25.767351146113747,5.237408,25.767351146113747
1932,100.5,21.99124726477024,4.068625,20.11477205029898,20.11477205029898,4.088508,20.11477205029898
1933,119.9,26.2363238512035,4.81895,23.82428480673158,23.82428480673158,4.842475,23.82428480673158
1934,129.7,28.380743982494526,5.22315,25.82259894547154,25.82259894547154,5.248608,25.82259894547154
1935,149.1,32.62582056892779,6.04935,29.90722819195088,29.90722819195088,6.078883,29.90722819195088
1936,178.3,39.01531728665208,7.1391,35.29481560583476,35.29481560583476,7.173942,35.29481560583476
1937,194.5,42.560175054704594,7.820175,38.66196504186227,38.66196504186227,7.858333,38.66196504186227
1938,152.3,33.32603938730854,6.183325,30.569583799911506,30.569583799911506,6.213525,30.569583799911506
1939,188.0,41.137855579868706,7.58795,37.513873748272744,37.513873748272744,7.624967,37.513873748272744
1940,213.9,46.80525164113786,8.764775,43.331949048427724,43.331949048427724,8.807542,43.331949048427724
1941,275.5,60.284463894967175,11.0693,54.725231805923265,54.725231805923265,11.123317,54.725231805923265
1942,340.3,74.46389496717724,12.701625,62.795242015024435,62.795242015024435,12.76365,62.795242015024435
1943,405.2,88.66520787746171,15.428225,76.27521067085908,76.27521067085908,15.503517,76.27521067085908
1944,398.7,87.24288840262582,16.584975,81.99403768715656,81.99403768715656,16.665875,81.99403768715656
1945,343.6,75.18599562363238,14.195575,70.18114356764828,70.18114356764828,14.26485,70.18114356764828
1946,291.7,63.82932166301969,12.26845,60.65367910792726,60.65367910792726,12.328317,60.65367910792726
1947,320.9,70.21881838074397,13.807025,68.26020106738254,68.26020106738254,13.8744,68.26020106738254
1948,333.9,73.06345733041576,14.38985,71.14161481778115,71.14161481778115,14.460083,71.14161481778115
1949,317.7,69.51859956236324,13.58595,67.16723397628424,67.16723397628424,13.652267,67.16723397628424
1950,366.3,80.15317286652079,15.72745,77.7545415668622,77.7545415668622,15.8042,77.7545415668622
1951,398.7,87.24288840262582,17.058375,84.33446795256847,84.33446795256847,17.1416,84.33446795256847
1952,411.7,90.0875273522976,17.7238,87.62424575012176,87.62424575012176,17.810317,87.62424575012176
1953,447.3,97.87746170678336,19.211025,94.97689974563765,94.97689974563765,19.304783,94.97689974563765
1954,421.4,92.21006564551422,18.123525,89.60043604974527,89.60043604974527,18.211975,89.60043604974527
1955,473.2,103.54485776805252,20.441475,101.0600903245901,101.0600903245901,20.5412,101.0600903245901
1956,489.4,107.08971553610503,21.32575,105.43183509211674,105.43183509211674,21.429825,105.43183509211674
1957,492.7,107.81181619256017,21.629425,106.93316623036974,106.93316623036974,21.735008,106.93316623036974
1958,457.0,100.0,20.22705,100.0,100.0,20.325783,100.0
1959,517.3,113.19474835886213,22.6455,111.95651367846521,111.95651367846521,22.756008,111.95651367846521
1960,,,23.156825,114.48444039046724,114.48444039046724,23.269867,114.48444039046724
1961,,,23.310925,115.24629147601851,115.24629147601851,23.424708,115.24629147601851
1962,,,25.2537,124.85112757421375,124.85112757421375,25.376933,124.85112757421375
1963,,,26.801225,132.5018972119019,132.5018972119019,26.932025,132.5018972119019
1964,,,28.60555,141.4222538630201,141.4222538630201,28.745133,141.4222538630201
1965,,,31.448225,155.47608277034962,155.47608277034962,31.601692,155.47608277034962
1966,,,34.230625,169.23191963237352,169.23191963237352,34.397667,169.23191963237352
1967,,,34.969525,172.88494862078258,172.88494862078258,35.140167,172.88494862078258
1968,,,36.91205,182.4885487503121,182.4885487503121,37.092183,182.4885487503121
1969,,,38.625575,190.9600015820399,190.9600015820399,38.814058,190.9600015820399
1970,,,37.351875,184.66298842391748,184.66298842391748,37.534175,184.66298842391748
1971,,,37.8625,187.18745442365545,187.18745442365545,38.047275,187.18745442365545
1972,,,41.50365,205.18884365243574,205.18884365243574,41.706217,205.18884365243574
1973,,,44.90285,221.99406240652988,221.99406240652988,45.131533,221.99406240652988
1974,,,44.772725,221.3507407160214,221.3507407160214,45.019742,221.3507407160214
1975,,,40.820025,201.80908733601788,201.80908733601788,41.005158,201.80908733601788
1976,,,44.024825,217.6532168556463,217.6532168556463,44.232283,217.6532168556463
1977,,,47.374,234.21111827972942,234.21111827972942,47.617875,234.21111827972942
1978,,,49.968325,247.03713591453032,247.03713591453032,50.23405,247.03713591453032
1979,,,51.479075,254.5060945614907,254.5060945614907,51.738425,254.5060945614907
1980,,,50.16925,248.0304839311714,248.0304839311714,50.409208,248.0304839311714
1981,,,50.839275,251.34300355217397,251.34300355217397,51.049242,251.34300355217397
1982,,,48.21575,238.37262477721666,238.37262477721666,48.396608,238.37262477721666
1983,,,49.542475,244.9317868893388,244.9317868893388,49.721167,244.9317868893388
1984,,,53.955825,266.75083613280236,266.75083613280236,54.1542,266.75083613280236
1985,,,54.60735,269.9718940725415,269.9718940725415,54.821625,269.9718940725415
1986,,,55.157575,272.6921375089299,272.6921375089299,55.368217,272.6921375089299
1987,,,58.0083,286.7857646072957,286.7857646072957,58.250508,286.7857646072957
1988,,,61.001825,301.58537700752214,301.58537700752214,61.26845,301.58537700752214
1989,,,61.54285,304.26013679701197,304.26013679701197,61.818192,304.26013679701197
1990,,,62.12775,307.151809087336,307.151809087336,62.404583,307.151809087336
1991,,,61.167625,302.4050714266292,302.4050714266292,61.417225,302.4050714266292
1992,,,62.896575,310.9527835250321,310.9527835250321,63.179933,310.9527835250321
1993,,,64.951475,321.1119515698038,321.1119515698038,65.26275,321.1119515698038
1994,,,68.38145,338.0693180666484,338.0693180666484,68.703575,338.0693180666484
1995,,,71.626575,354.11280933205785,354.11280933205785,71.940425,354.11280933205785
1996,,,74.81055,369.8539826618316,369.8539826618316,75.252417,369.8539826618316
1997,,,80.20325,396.51481555639606,396.51481555639606,80.744358,396.51481555639606
1998,,,84.8636,419.55500184159337,419.55500184159337,85.482642,419.55500184159337
1999,,,88.500575,437.53575039365603,437.53575039365603,89.324108,437.53575039365603
2000,,,92.053025,455.098617939838,455.098617939838,92.507217,455.098617939838
2001,,,88.91725,439.5957393688156,439.5957393688156,89.750317,439.5957393688156
2002,,,89.100625,440.5023223851229,440.5023223851229,90.024575,440.5023223851229
2003,,,90.2304,446.087788382389,446.087788382389,91.257683,446.087788382389
2004,,,92.328825,456.46213857186297,456.46213857186297,93.595883,456.46213857186297
2005,,,95.318275,471.2416046828381,471.2416046828381,96.738808,471.2416046828381
2006,,,97.406175,481.5639205914852,481.5639205914852,98.995317,481.5639205914852
2007,,,100.0,494.38746628895467,494.38746628895467,101.571992,494.38746628895467
2008,,,96.29065,476.0489048081654,476.0489048081654,98.117275,476.0489048081654
2009,,,85.54525,422.924994005552,422.924994005552,86.899625,422.924994005552
2010,,,90.065775,445.27390301601076,445.27390301601076,91.737033,445.27390301601076
2011,,,,,,94.639558,459.362201
2012,,,,,,97.540858,473.444553
2013,,,,,,99.484375,482.87801
2014,,,,,,102.44765,497.261177
2015,,,,,,100.97195,490.098413
2016,,,,,,98.798758,479.550157
2017,,,,,,99.999992,485.380716
2018,,,,,,103.163,500.733348
2019,,,,,,102.346292,496.769204
2020,,,,,,95.088517,461.541361
2021,,,,,,99.287583,481.92282
2022,,,,,,100.979983,490.137403
2023,,,,,,100.764275,489.090398
2024,,,,,,100.105792,485.894249
2025,,,,,,101.272083,491.555201
2026,,,,,,102.3412,496.744489
