Year,"Sahr/MeasuringWorth: Inflation conversion factors, 1780-2010","US CPI, 1982-84=100. Sahr (1780-1785), MeasuringWorth (1786-2010)","BLS Manufacturing Productivity, Output per hour index, 1958=100, 1889-2010","BLS Manufacturing Output per hour in 1958 dollars, 1889-2010","BLS Manufacturing Real Unit Labor Cost, 1889=100, 1889-2010","BLS Manufacturing Real Compensation, 1889=100, 1889-2010","Mfg Production Worker Real Compensation (comp/hr / CPI), 1790-2010. Sources: MeasuringWorth + BLS","MeasuringWorth, US CPI 1982-84=100, 1774-2024. Citation: Officer & Williamson 2025. Extends S008 CPI component only","Combined: Shaikh (1780-2010) + MeasuringWorth CPI (2011-2024), re-indexed at splice year 2010"
,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-EXT,S008-COMBINED
1807,0.05,11.2,38.727524204702625,0.12910714285714286,,,,11.2,1.416694
1808,0.05,12.17,42.08160442600276,0.11881676253081348,,,,12.17,1.53939
1809,0.05,11.92,41.21715076071922,0.12130872483221478,,,,11.92,1.507768
1810,0.05,11.92,41.21715076071922,0.12130872483221478,,,,11.92,1.507768
1811,0.05,12.73,44.017980636237894,0.1135899450117832,,,,12.73,1.610225
1812,0.05,12.89,44.57123098201936,0.11217998448409622,,,,12.89,1.630463
1813,0.05,15.47,53.4923928077455,0.09347123464770524,,,,15.47,1.956809
1814,0.05,17.0,58.78284923928077,0.08505882352941177,,,,17.0,2.15034
1815,0.05,14.91,51.55601659751037,0.09698189134808853,,,,14.91,1.885974
1816,0.05,13.62,47.0954356846473,0.10616740088105728,,,,13.62,1.722802
1817,0.05,12.89,44.57123098201936,0.11217998448409622,,,,12.89,1.630463
1818,0.05,12.33,42.63485477178423,0.1172749391727494,,,,12.33,1.559629
1819,0.05,12.33,42.63485477178423,0.1172749391727494,,,,12.33,1.559629
1820,0.04,11.36,39.28077455048409,0.10183098591549297,,,,11.36,1.436933
1821,0.05,10.96,37.89764868603043,0.13193430656934307,,,,10.96,1.386337
1822,0.05,11.36,39.28077455048409,0.12728873239436622,,,,11.36,1.436933
1823,0.05,10.15,35.096818810511756,0.14246305418719213,,,,10.15,1.283879
1824,0.05,9.35,32.33056708160442,0.1546524064171123,,,,9.35,1.182687
1825,0.05,9.59,33.160442600276625,0.15078206465067778,,,,9.59,1.213045
1826,0.05,9.59,33.160442600276625,0.15078206465067778,,,,9.59,1.213045
1827,0.05,9.67,33.43706777316736,0.14953464322647364,,,,9.67,1.223164
1828,0.05,9.19,31.777316735822957,0.15734494015233952,,,,9.19,1.162448
1829,0.06,9.02,31.18948824343015,0.19237250554323726,,,,9.02,1.140945
1830,0.06,8.94,30.912863070539416,0.19409395973154364,,,,8.94,1.130826
1831,0.06,8.38,28.97648686030429,0.20706443914081143,,,,8.38,1.059991
1832,0.05,8.3,28.699861687413556,0.17421686746987952,,,,8.3,1.049872
