,"Long Term Eco Growth 1860-1970, BEA, Series A173, p.211 (1958=100), Index 1958=100","BLS International Data, Table 1 (2002=100), Index 2002=100","Derived from S007-A+S007-B, calculated. Formula: Derived combination of A and B series","Derived from S007-C, splice. Formula: Spliced at 1950",Composite final series,Composite final series,Composite final series
1941,67.2,67.2,,,67.2,,
1942,66.7,66.7,,,66.7,,
1943,67.4,67.4,,,67.4,,
1944,72.7,72.7,,,72.7,,
1945,76.8,76.8,,,76.8,,
1946,73.3,73.3,,,73.3,,
1947,72.8,72.8,,,72.8,,
1948,74.8,74.8,,,74.8,,
1949,78.4,78.4,,,78.4,,
1950,83.8,83.8,86.66666666666667,82.06788079470198,83.8,,
1951,85.1,85.1,89.77777777777777,85.0139072847682,85.1,,
1952,85.6,85.6,91.55555555555556,86.69735099337747,85.6,,
1953,88.8,88.8,92.88888888888889,87.95993377483443,88.8,,
1954,91.2,91.2,94.66666666666669,89.64337748344371,91.2,,
1955,95.9,95.9,99.11111111111111,93.85198675496687,95.9,,
1956,95.6,95.6,96.88888888888889,91.74768211920528,95.6,,
1957,97.6,97.6,99.55555555555556,94.27284768211919,97.6,,
1958,100.0,100.0,100.0,94.69370860927151,100.0,,
1959,103.5,103.49999999999999,104.44444444444444,98.90231788079468,103.49999999999999,,
1960,104.7,104.69999999999999,105.33333333333331,99.7440397350993,104.69999999999999,,
1961,107.8,107.80000000000001,108.0,102.26920529801323,107.80000000000001,,
1962,113.0,112.99999999999999,113.33333333333331,107.31953642384103,112.99999999999999,,
1963,116.3,116.3,120.88888888888889,114.47417218543045,116.3,,
1964,120.3,120.30000000000001,127.11111111111111,120.3662251655629,120.30000000000001,,
1965,123.8,123.8,131.55555555555554,124.57483443708607,123.8,,
1966,127.1,127.1,134.22222222222223,127.1,127.1,,
1967,,,134.22222222222223,127.1,127.1,,
1968,,,139.55555555555554,132.1503311258278,132.1503311258278,,
1969,,,141.33333333333334,133.83377483443707,133.83377483443707,,
1970,,,141.77777777777777,134.25463576158938,134.25463576158938,,
1971,,,151.11111111111111,143.09271523178805,143.09271523178805,,
1972,,,157.33333333333334,148.9847682119205,148.9847682119205,,
1973,,,165.33333333333334,156.56026490066225,156.56026490066225,,
1974,,,161.33333333333331,152.77251655629135,152.77251655629135,,
1975,,,167.11111111111111,158.2437086092715,158.2437086092715,,
1976,,,176.0,166.66092715231787,166.66092715231787,,
1977,,,182.66666666666663,172.9738410596026,172.9738410596026,,
1978,,,184.44444444444449,174.65728476821192,174.65728476821192,,
1979,,,186.66666666666663,176.76158940397346,176.76158940397346,,
1980,,,185.33333333333331,175.4990066225165,175.4990066225165,,
1981,,,195.55555555555557,185.17880794701986,185.17880794701986,,
1982,,,197.33333333333331,186.86225165562908,186.86225165562908,,
1983,,,211.11111111111111,199.90894039735096,199.90894039735096,,
1984,,,216.88888888888889,205.3801324503311,205.3801324503311,,
1985,,,224.88888888888889,212.9556291390728,212.9556291390728,,
1986,,,228.44444444444449,216.3225165562914,216.3225165562914,,
1987,,,244.44444444444449,231.47350993377484,231.47350993377484,,
1988,,,253.77777777777777,240.31158940397347,240.31158940397347,,
1989,,,255.11111111111111,241.57417218543043,241.57417218543043,,
1990,,,258.22222222222223,244.52019867549666,244.52019867549666,,
1991,,,265.3333333333333,251.25397350993373,251.25397350993373,,
1992,,,275.55555555555554,260.93377483443703,260.93377483443703,,
1993,,,282.6666666666667,267.66754966887413,267.66754966887413,,
1994,,,294.6666666666667,279.03079470198674,279.03079470198674,,
1995,,,304.44444444444446,288.28973509933775,288.28973509933775,,
1996,,,315.11111111111114,298.39039735099334,298.39039735099334,,
1997,,,328.0,310.5953642384105,310.5953642384105,,
1998,,,345.3333333333333,327.00894039735095,327.00894039735095,,
1999,,,366.22222222222223,346.7894039735099,346.7894039735099,,
2000,,,394.6666666666667,373.7245033112582,373.7245033112582,,
2001,,,403.1111111111111,381.7208609271522,381.7208609271522,,
2002,,,444.44444444444446,420.86092715231786,420.86092715231786,,
2003,,,480.8888888888889,455.37152317880793,455.37152317880793,,
2004,,,522.2222222222222,494.5115894039734,494.5115894039734,,
2005,,,545.7777777777778,516.8172185430464,516.8172185430464,,
2006,,,565.3333333333334,535.3350993377483,535.3350993377483,,
2007,,,600.8888888888888,569.0039735099336,569.0039735099336,,
2008,,,603.1111111111111,571.1082781456953,571.1082781456953,,
2009,,,649.7777777777777,615.2986754966886,615.2986754966886,,
2010,,,,,654.1224218112535,,
2011,,,,,660.3524806303001,,
2012,,,,,652.5970539528233,,
2013,,,,,661.2108014273515,,
2014,,,,,659.2884200167272,,
2015,,,,,647.8393206957599,,
2016,,,,,647.5226742593944,,
2017,,,,,642.9867542420184,,
2018,,,,,644.4205035884037,,
2019,,,,,629.5188329714321,,
2020,,,,,628.5978258240343,,
2021,,,,,639.4634598840848,,
2022,,,,,626.0148267212975,,
2023,,,,,624.695198679389,,
2024,,,,,625.449042225863,,
2025,,,,,634.4630179372184,99.34375,634.4630179372184
2026,,,,,640.212502246981,100.244,640.212502246981
