,"BEA Fixed Reprod Tangible Wealth of the US, 1925-75: Table B4, pp. 343-344, Millions of 1958 dollars","Derived from S002-A, reindex. Formula: S002-B[t] = S002-A[t] / S002-A[1901] * 100","BEA Wealth Table 4.8, line 1, accessed 9/2/2011, Billions of 2005 dollars","Derived from S002-C, reindex. Formula: S002-D[t] = S002-C[t] / S002-C[1901] * 100","Derived from S002-B+S002-D, splice. Formula: S002-B for t<1929, S002-D for t>=1929",Composite final series,Composite final series,Composite final series
1947,,,7.831,467.2434367541766,467.2434367541766,80.67374059956732,,
1948,,,8.329,496.9570405727925,496.9570405727925,85.80405892654787,,
1949,,,7.564,451.3126491646778,451.3126491646778,77.92314824353558,,
1950,,,8.303,495.40572792362775,495.40572792362775,85.53621098176575,,
1951,,,8.689,518.436754176611,518.436754176611,89.51272277737715,,
1952,,,8.52,508.3532219570406,508.3532219570406,87.77171113629339,,
1953,,,9.21,549.5226730310263,549.5226730310263,94.87998351704957,,
1954,,,8.997,536.8138424821003,536.8138424821003,92.68569073864222,,
1955,,,10.006,597.0167064439141,597.0167064439141,103.08025136499434,,
1956,,,10.668,636.5155131264917,636.5155131264917,109.9000721129082,,
1957,,,10.824,645.8233890214798,645.8233890214798,111.50715978160092,,
1958,,,9.707,579.1766109785203,579.1766109785203,100.0,,
1959,,,10.26,612.1718377088306,612.1718377088306,105.696919748635,,
1960,,,10.886,649.5226730310262,649.5226730310262,112.14587411146591,,
1961,,,10.828,646.0620525059666,646.0620525059666,111.54836715772122,,
1962,,,11.8,704.0572792362768,704.0572792362768,121.56175955496032,,
1963,,,12.39,739.2601431980908,739.2601431980908,127.63984753270836,,
1964,,,13.866,827.326968973747,827.326968973747,142.84536932110845,,
1965,,,16.261,970.2267303102624,970.2267303102624,167.51828577315337,,
1966,,,18.214,1086.7541766109784,1086.7541766109784,187.63778716390232,,
1967,,,17.99,1073.3890214797136,1073.3890214797136,185.3301741011641,,
1968,,,18.812,1122.4343675417665,1122.4343675417665,193.79828989389105,,
1969,,,20.269,1209.3675417661098,1209.3675417661098,208.8080766457196,,
1970,,,20.04,1195.7040572792364,1195.7040572792364,206.44895436283096,,
1971,,,20.011,1193.9737470167065,1193.9737470167065,206.15020088595855,,
1972,,,21.932,1308.5918854415274,1308.5918854415274,225.9400432677449,,
1973,,,25.118,1498.687350835322,1498.687350835322,258.76171834758424,,
1974,,,25.266,1507.5178997613366,1507.5178997613366,260.2863912640363,,
1975,,,22.854,1363.6038186157518,1363.6038186157518,235.43834346347995,,
1976,,,23.865,1423.9260143198092,1423.9260143198092,245.85350777789225,,
1977,,,26.568,1585.202863961814,1585.202863961814,273.69939219120226,,
1978,,,30.551,1822.852028639618,1822.852028639618,314.73163696301634,,
1979,,,33.722,2012.0525059665877,2012.0525059665877,347.3987843824045,,
1980,,,33.561,2002.4463007159904,2002.4463007159904,345.7401874935613,,
1981,,,35.378,2110.859188544153,2110.859188544153,364.45863809621926,,
1982,,,33.765,2014.6181384248207,2014.6181384248207,347.841763675698,,
1983,,,33.309,1987.4105011933173,1987.4105011933173,343.14412279798074,,
1984,,,39.319,2346.002386634845,2346.002386634845,405.05820541877,,
1985,,,42.142,2514.4391408114566,2514.4391408114566,434.1403111156898,,
1986,,,40.604,2422.6730310262533,2422.6730310262533,418.29607499742457,,
1987,,,40.926,2441.885441527447,2441.885441527447,421.6132687751108,,
1988,,,42.937,2561.873508353222,2561.873508353222,442.3302771196044,,
1989,,,45.219,2698.031026252984,2698.031026252984,465.83908519625015,,
1990,,,45.775,2731.205250596659,2731.205250596659,471.5669104769754,,
1991,,,43.186,2576.73031026253,2576.73031026253,444.8954362830947,,
1992,,,44.321,2644.45107398568,2644.45107398568,456.588029257237,,
1993,,,48.77,2909.9045346062053,2909.9045346062053,502.42093334706914,,
1994,,,53.138,3170.525059665871,3170.525059665871,547.4193880704646,,
1995,,,58.898,3514.200477326969,3514.200477326969,606.7580096837333,,
1996,,,64.881,3871.18138424821,3871.18138424821,668.3939425157103,,
1997,,,72.337,4316.050119331743,4316.050119331743,745.2044916039972,,
1998,,,81.037,4835.143198090693,4835.143198090693,834.8305346657052,,
1999,,,89.212,5322.911694510741,5322.911694510741,919.0481096116206,,
2000,,,97.87,5839.498806682578,5839.498806682578,1008.2414752240652,,
2001,,,94.565,5642.303102625298,5642.303102625298,974.1938807046462,,
2002,,,86.8,5178.997613365155,5178.997613365155,894.2000618110642,,
2003,,,87.572,5225.059665871122,5225.059665871122,902.1530854022868,,
2004,,,93.367,5570.823389021481,5570.823389021481,961.8522715566088,,
2005,,,100.0,5966.587112171838,5966.587112171838,1030.1844030081386,,
2006,,,107.874,6436.396181384248,6436.396181384248,1111.3011229009992,,
2007,,,115.193,6873.090692124105,6873.090692124105,1186.7003193571647,,
2008,,,114.476,6830.310262529833,6830.310262529833,1179.3138971875967,,
2009,,,94.422,5633.770883054892,5633.770883054892,972.7207170083442,,
2010,,,98.358,5868.615751789977,5868.615751789977,1013.2687751107449,2309.04325,1013.2687751107449
2011,,,,,,1080.8909118506356,2463.141,1080.8909118506356
2012,,,,,,1200.3078197986945,2735.2690000000002,1200.3078197986945
2013,,,,,,1289.5638709222037,2938.66625,1289.5638709222037
2014,,,,,,1373.0842436321168,3128.993,1373.0842436321168
2015,,,,,,1458.3894323802608,3323.3869999999997,1458.3894323802608
2016,,,,,,1457.0074588334176,3320.2377500000002,1457.0074588334176
2017,,,,,,1521.7020759974155,3467.66425,1521.7020759974155
2018,,,,,,1609.6503152092062,3668.08125,1609.6503152092062
2019,,,,,,1660.5130194765168,3783.9875,1660.5130194765168
2020,,,,,,1587.918761986444,3618.55925,1587.918761986444
2021,,,,,,1730.8876938277676,3944.35775,1730.8876938277676
2022,,,,,,1836.4487728488766,4184.911,1836.4487728488766
2023,,,,,,1851.6262367142106,4219.4975,1851.6262367142106
2024,,,,,,1907.3554143136187,4346.4935000000005,1907.3554143136187
2025,,,,,,1944.247207471663,4430.56275,1944.247207471663
2026,,,,,,1975.223622869463,4501.152,1975.223622869463
