,"S042-G, Percent","S042-H, Percent","S052-A (composite), Percent",Composite final series
1984,4.525512350501834,11.67,12.71,4.525512350501834
1985,4.603461336751937,11.38,11.37,4.603461336751937
1986,3.97713626975359,9.19,9.02,3.97713626975359
1987,3.3306869305508298,7.08,9.38,3.3306869305508298
1988,3.884541679974449,8.67,9.71,3.884541679974449
1989,3.871623278791913,9.09,9.26,3.871623278791913
1990,3.559137570962144,8.21,9.32,3.559137570962144
1991,3.748079877112135,8.09,8.77,3.748079877112135
1992,2.975389348202269,7.03,8.14,2.975389348202269
1993,2.890425751901293,6.6,7.22,2.890425751901293
1994,2.7865282564113407,5.75,7.96,2.7865282564113407
1995,2.963997850617947,7.78,7.59,2.963997850617947
1996,2.4250512678623743,5.65,7.37,2.4250512678623743
1997,2.02291769987732,6.58,7.26,2.02291769987732
1998,1.6816143497757847,5.54,6.53,1.6816143497757847
1999,1.3365151308887948,4.72,7.05,1.3365151308887948
2000,1.1412818552318689,6.66,7.62,1.1412818552318689
2001,1.1784700852781085,5.16,7.08,1.1784700852781085
2002,1.4093894984257285,5.04,6.49,1.4093894984257285
2003,1.9411948562243255,4.05,5.67,1.9411948562243255
2004,1.716525977466182,4.15,5.63,1.716525977466182
2005,1.8808034467289083,4.22,5.23,1.8808034467289083
2006,1.9456804798511025,4.42,5.59,1.9456804798511025
2007,1.9471126839680932,4.76,5.56,1.9471126839680932
2008,2.0590965795352347,3.74,5.63,2.0590965795352347
2009,2.589015457843296,2.52,5.31,2.589015457843296
2010,2.02299791737126,3.73,4.94,2.02299791737126
2011,2.060625906347944,3.39,4.64,2.060625906347944
2012,,1.80344,3.673333333333333,
2013,,2.35016,4.235,
2014,,2.53956,4.1625000000000005,
2015,,2.138286852589641,3.8866666666666663,
2016,,1.83744,3.665833333333333,
2017,,2.32948,3.7433333333333336,
2018,,2.9112449799196787,3.93,
2019,,2.1414,3.3875,
2020,,0.889203187250996,2.4766666666666666,
2021,,1.4468525896414344,2.703333333333333,
2022,,2.9505622489959835,4.074166666666667,
2023,,3.959,4.81,
2024,,4.20796,5.0441666666666665,
2025,,4.293212851405622,5.3525,
2026,,4.2319047619047625,5.385,
