,"Shaikh IO at 6 base years, Rate (decimal)","PWT 7.1, CIC Univ. Penn., PPP (2005 intl $)","PWT, NBER output/labor adjusted, Index","Shaikh IO circ. capital w(r) curve 1947, Wage share (w)","Shaikh IO circ. capital w(r) curve 1958, Wage share (w)","Shaikh IO circ. capital w(r) curve 1963, Wage share (w)","Shaikh IO circ. capital w(r) curve 1967, Wage share (w)","Shaikh IO circ. capital w(r) curve 1972, Wage share (w)","Shaikh IO circ. capital w(r) curve 1998, Wage share (w)","Shaikh reswitching example (theoretical), Wage (w)","Shaikh reswitching example (theoretical), Wage (w)","Shaikh Cobb-Douglas pseudo PPF (theoretical), Profit rate (r)","Shaikh Cobb-Douglas pseudo PPF (theoretical), Capital intensity (k)",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S049-A,S049-B,S049-C,S049-D,S049-E,S049-F,S049-G,S049-H,S049-I,S049-V,S049-W,S049-Y,S049-Z,S049-J,S049-K,S049-L,S049-M,S049-N,S049-O,S049-P,S049-Q,S049-R,S049-S,S049-T,S049-U,S049-X
1,,,,,,,,,,1.2,1.0,0.02,15.462474735549584,,,,,,,,,,,,,1.22
2,,,,,,,,,,1.08,0.9166666666666666,,,,,,,,,,,,,,,1.1
3,,,,,,,,,,0.96,0.8333333333333333,,,,,,,,,,,,,,,0.98
4,,,,,,,,,,0.84,0.75,,,,,,,,,,,,,,,0.86
5,,,,,,,,,,0.72,0.6666666666666666,,,,,,,,,,,,,,,0.74
6,,,,,,,,,,0.6,0.5833333333333333,,,,,,,,,,,,,,,0.62
7,,,,,,,,,,0.48,0.5,,,,,,,,,,,,,,,0.52
8,,,,,,,,,,0.36,0.4166666666666666,,,,,,,,,,,,,,,0.4366666666666666
9,,,,,,,,,,0.2399999999999999,0.3333333333333332,,,,,,,,,,,,,,,0.3533333333333333
10,,,,,,,,,,0.1199999999999999,0.25,,,,,,,,,,,,,,,0.27
11,,,,,,,,,,0.0,0.1666666666666666,,,,,,,,,,,,,,,0.1866666666666666
12,,,,,,,,,,,0.0833333333333332,,,,,,,,,,,,,,,0.1033333333333332
13,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.02
1974,,51043.858418,,0.2967551107488005,0.3183957717080196,0.3369045859020999,0.3378403613542232,0.4569974821716158,,,,,,0.27,0.708,0.27,0.6671,0.27,0.6202,0.27,0.5757,0.27,0.5488,0.27,0.5183,
1975,,49940.265117,,0.2917283789972469,0.3118758969890711,0.3287701864856691,0.3287295061281983,0.4442124860468069,,,,,,0.28,0.697,0.28,0.6558,0.28,0.6075,0.28,0.5618,0.28,0.534,0.28,0.5038,
1976,,51512.910043,,0.2867016472456932,0.3054073598663348,0.3206357870692384,0.3196802107347816,0.4316038346961334,,,,,,0.29,0.687,0.29,0.6445,0.29,0.5949,0.29,0.5479,0.29,0.5193,0.29,0.4895,
1977,,52481.276393,,0.2816749154941396,0.2989901603398108,0.3126184293710297,0.3106924751739732,0.4191715281195951,,,,,,0.3,0.677,0.3,0.6332,0.3,0.5824,0.3,0.5342,0.3,0.5047,0.3,0.4754,
1978,,53650.845718,,0.2767371524461532,0.2925729608132866,0.3046595925319319,0.301766299445773,0.4069155663171921,,,,,,0.31,0.667,0.31,0.6221,0.31,0.5699,0.31,0.5206,0.31,0.4902,0.31,0.4615,
1979,,53800.856776,,0.2717993893981669,0.2862070988829747,0.2967592765519452,0.2929632433827894,0.3947477769018568,,,,,,0.32,0.657,0.32,0.611,0.32,0.5575,0.32,0.5071,0.32,0.4759,0.32,0.4477,
1980,,52233.257783,,0.2669061107019642,0.2799439121450872,0.2889760022901805,0.2841601873198058,0.3828445046477244,,,,,,0.33,0.647,0.33,0.6,0.33,0.5453,0.33,0.4938,0.33,0.4616,0.33,0.4342,
1981,,52684.775333,,0.2620128320057615,0.2736807254071997,0.2811927280284159,0.2754802509220388,0.3710294047806597,,,,,,0.34,0.637,0.34,0.589,0.34,0.5331,0.34,0.4805,0.34,0.4475,0.34,0.4208,
1982,,51094.121041,,0.2571640376613425,0.2674175386693122,0.2734679746257622,0.2668618743568801,0.3593024773006626,,,,,,0.35,0.627,0.35,0.5781,0.35,0.5209,0.35,0.4673,0.35,0.4335,0.35,0.4075,
1983,,52974.707056,,0.2523152433169235,0.2612570271238491,0.2658017420822195,0.2583050576243296,0.3478400669818685,,,,,,0.36,0.617,0.36,0.5672,0.36,0.5089,0.36,0.4542,0.36,0.4196,0.36,0.3945,
1984,,56007.682184,,0.2475109333242881,0.2551478531745981,0.2582525512568989,0.2498098007243873,0.3363776566630743,,,,,,0.37,0.607,0.37,0.5564,0.37,0.497,0.37,0.4413,0.37,0.4058,0.37,0.3815,
1985,,57376.457865,,0.2427511076834364,0.2490386792253471,0.2507033604315782,0.2413761036570534,0.3251797635054831,,,,,,0.38,0.597,0.38,0.5457,0.38,0.4851,0.38,0.4284,0.38,0.3921,0.38,0.3688,
1986,,58136.3018,,0.2379912820425847,0.2429808428723084,0.2432712113244796,0.2330039664223278,0.3140700427349596,,,,,,0.39,0.587,0.39,0.535,0.39,0.4733,0.39,0.4157,0.39,0.3785,0.39,0.3562,
1987,,58926.011872,,0.2332759407535167,0.2369743441154818,0.235839062217381,0.2246933890202104,0.3030484943515036,,,,,,0.4,0.578,0.4,0.5244,0.4,0.4616,0.4,0.403,0.4,0.365,0.4,0.3437,
1988,,60364.299991,,0.2286050838162323,0.2309678453586553,0.2284654339693934,0.2164443714507013,0.292203290742183,,,,,,0.41,0.568,0.41,0.5139,0.41,0.4499,0.41,0.3904,0.41,0.3516,0.41,0.3314,
1989,,61382.792768,,0.2239342268789479,0.2250640217942531,0.2211503265805169,0.2082569137138005,0.2815344319069977,,,,,,0.42,0.558,0.42,0.5034,0.42,0.4384,0.42,0.3779,0.42,0.3383,0.42,0.3193,
1990,,61463.316337,,0.2192633699416636,0.219160198229851,0.2139522609098623,0.2001310158095079,0.27095374545888,,,,,,0.43,0.549,0.43,0.4929,0.43,0.4269,0.43,0.3656,0.43,0.3251,0.43,0.3073,
1991,,60882.979402,,0.2146369973561628,0.213307712261661,0.2067541952392077,0.192128237570432,0.26046123139783,,,,,,0.44,0.539,0.44,0.4825,0.44,0.4155,0.44,0.3533,0.44,0.3121,0.44,0.2954,
1992,,62234.692636,,0.2100551091224458,0.207455226293471,0.1996146504276642,0.184125459331356,0.2500568897238477,,,,,,0.45,0.53,0.45,0.4722,0.45,0.4041,0.45,0.3411,0.45,0.2991,0.45,0.2836,
1993,,63741.171677,,0.2054732208887287,0.2017054155177054,0.1925336264752317,0.1761842409248883,0.2398288928240006,,,,,,0.46,0.52,0.46,0.4619,0.46,0.3929,0.46,0.329,0.46,0.2862,0.46,0.272,
1994,,65729.057485,,0.2009358170067954,0.1959556047419398,0.1855111233819101,0.1683045823510288,0.2296890683112211,,,,,,0.47,0.511,0.47,0.4517,0.47,0.3817,0.47,0.317,0.47,0.2734,0.47,0.2605,
1995,,66861.079298,,0.1964428974766456,0.1902571315623864,0.1785471411476996,0.1604864836097776,0.219725588572577,,,,,,0.48,0.501,0.48,0.4416,0.48,0.3706,0.48,0.3051,0.48,0.2607,0.48,0.2492,
1996,,68760.871841,,0.1919054935947122,0.184558658382833,0.1716416797726001,0.1527299447011348,0.2098502812210005,,,,,,0.49,0.492,0.49,0.4314,0.49,0.3595,0.49,0.2933,0.49,0.2481,0.49,0.238,
1997,,70923.092226,,0.1874570584163462,0.1789115227994918,0.1647362183975006,0.1450349656251002,0.2000631462564916,,,,,,0.5,0.483,0.5,0.4214,0.5,0.3485,0.5,0.2815,0.5,0.2356,0.5,0.2269,
1998,0.1258,73536.484912,0.8817238706764727,0.1830086232379801,0.1733157248123628,0.1579477987406231,0.1374015463816739,0.1903641836790504,,,,,,0.51,0.473,0.51,0.4114,0.51,0.3376,0.51,0.2699,0.51,0.2232,0.51,0.2159,
1999,,76335.333565,,0.178560188059614,0.167771264421446,0.1511593790837457,0.1298296869708558,0.1807533934886769,,,,,,0.52,0.464,0.52,0.4014,0.52,0.3268,0.52,0.2583,0.52,0.2109,0.52,0.205,
2000,,77834.664073,,0.1741562372330316,0.1622268040305292,0.1444294802859792,0.1222578275600378,0.1713189480724386,,,,,,0.53,0.455,0.53,0.3915,0.53,0.316,0.53,0.2468,0.53,0.1986,0.53,0.1943,
2001,,77731.602391,,0.1697967707582329,0.1567336812358245,0.1377581023473238,0.1148090878144362,0.161972675043268,,,,,,0.54,0.446,0.54,0.3817,0.54,0.3053,0.54,0.2354,0.54,0.1865,0.54,0.1837,
2002,,78334.715037,,0.1654373042834341,0.1512918960373321,0.1311452452677793,0.1073603480688348,0.152714574401165,,,,,,0.55,0.436,0.55,0.3719,0.55,0.2947,0.55,0.2241,0.55,0.1744,0.55,0.1732,
2003,,79429.916481,,0.161122322160419,0.1458501108388397,0.1245909090473459,0.1000347279884498,0.1435446461461297,,,,,,0.56,0.427,0.56,0.3622,0.56,0.2841,0.56,0.2129,0.56,0.1625,0.56,0.1628,
2004,,81865.71848,,0.1568073400374039,0.1404596632365594,0.1180365728269125,0.0927091079080649,0.134462890278162,,,,,,0.57,0.418,0.57,0.3525,0.57,0.2736,0.57,0.2017,0.57,0.1506,0.57,0.1525,
2005,,83400.809888,,0.1525368422661725,0.1351205532304914,0.1115992783247011,0.0854450476602882,0.125469306797262,,,,,,0.58,0.409,0.58,0.3429,0.58,0.2632,0.58,0.1907,0.58,0.1388,0.58,0.1423,
2006,,84468.271585,,0.1482663444949411,0.1297814432244233,0.1051619838224897,0.0782425472451198,0.1165638957034297,,,,,,0.59,0.4,0.59,0.3333,0.59,0.2528,0.59,0.1797,0.59,0.1271,0.59,0.1322,
2007,,84946.448735,,0.1439958467237097,0.1244936708145675,0.0987832101793893,0.0711016066625597,0.1078348293837326,,,,,,0.6,0.391,0.6,0.3237,0.6,0.2425,0.6,0.1688,0.6,0.1155,0.6,0.1223,
2008,,83538.698572,,0.1397698333042619,0.1192572360009238,0.092404436536289,0.0639606660799996,0.0991057630640355,,,,,,0.61,0.382,0.61,0.3142,0.61,0.2323,0.61,0.1579,0.61,0.1039,0.61,0.1124,
2009,,79676.72553,,0.1355883042365978,0.1140208011872801,0.0861427046114106,0.056942845162656,0.0904648691314061,,,,,,0.62,0.374,0.62,0.3048,0.62,0.2221,0.62,0.1472,0.62,0.0925,0.62,0.1026,
2010,,82359.261546,,0.1314067751689337,0.1088357039698487,0.0798809726865323,0.0499250242453125,0.0820003199729119,,,,,,0.63,0.365,0.63,0.2954,0.63,0.212,0.63,0.1365,0.63,0.0811,0.63,0.093,
2011,,,,0.1272697304530533,0.1036506067524172,0.0736777616207649,0.0429687631605772,0.0735357708144178,,,,,,0.64,0.356,0.64,0.2861,0.64,0.2019,0.64,0.1259,0.64,0.0698,0.64,0.0834,
2012,,,,0.1231326857371728,0.0985168471311979,0.0675330714141086,0.0360740619084502,0.0651593940429913,,,,,,0.65,0.347,0.65,0.2768,0.65,0.1919,0.65,0.1154,0.65,0.0586,0.65,0.0739,
