,"Shiller nominal / BEA deflator, Index","Shiller (2014), converted to BEA deflator, Index","Equation 10.31 from DATAintropprice, Index",Composite final series,Composite final series,Composite final series,Composite final series
1989,279.3232549361613,304.2257346098244,348.62973594030444,279.3232549361613,,,348.75395728802704
1990,327.3721377645888,321.7863903401618,345.53484616323453,327.3721377645888,,,345.66211638786325
1991,309.5634822139304,342.8940741467967,346.72179477107744,309.5634822139304,,,346.8537757788929
1992,399.675023231173,363.4674591522376,360.8308433503158,399.675023231173,,,360.9727217164015
1993,418.223832236817,384.6654179653453,381.2462618242395,418.223832236817,,,381.4009206821899
1994,452.95119873134666,403.1954216235322,438.5568357893045,452.95119873134666,,,438.7398637967384
1995,443.9474711129223,423.8166942851008,489.0119723753363,443.9474711129223,,,489.2215490380714
1996,595.8867594748639,454.200961804331,589.4637031253628,595.8867594748639,,,589.7225236509763
1997,755.8722257176998,488.2484276165496,678.2062169451453,755.8722257176998,,,678.510716151163
1998,975.64009923527,522.173410396113,702.9666195129365,975.64009923527,,,703.2896017260748
1999,1284.6459493560185,553.0560759556043,771.9410317591883,1284.6459493560185,,,772.3035933017192
2000,1467.530324817807,583.616262035079,793.2198171771768,1467.530324817807,,,793.6002392656941
2001,1376.177566951094,626.1615588363258,783.4256732424577,1376.177566951094,,,783.8092035531591
2002,1184.0198027818326,656.5354414578699,827.2347086718755,1184.0198027818326,,,827.6478553673048
2003,932.1634410527922,697.5358763969098,891.6714689812177,932.1634410527922,,,892.1258346543084
2004,1111.6366590120003,725.7566749337084,1080.3199775947055,1111.6366590120003,,,1080.8806622845634
2005,1199.21,748.9084678991136,1237.459044187775,1199.21,,,1238.1128160043277
2006,1218.3164556819784,773.2593204141991,1332.3420170630884,1218.3164556819784,,,1333.0586061107656
2007,1339.6177512906045,793.55370470921,1207.1408293785382,1339.6177512906045,,,1207.8041856627444
2008,1369.933615781502,830.6122514684215,947.5849462499403,1369.933615781502,,,948.1201180532904
2009,812.5385141668892,862.458289898296,1050.0612960010571,812.5385141668892,,,1050.6662248508646
2010,1060.0768890114484,110.96768668758789,1387.232140431007,1060.0768890114484,,110.96768668758789,1388.0436641460817
2011,1185.7714421997969,317.2650993908837,1474.8943425957198,1185.7714421997969,,317.2650993908837,1475.7714421997969
2012,1185.1945038474455,,,1185.1945038474455,,,
2013,1334.0793453176534,,,1334.0793453176534,,,
2014,1541.6921769264393,,,1541.6921769264393,1541.6921769264393,,
2015,1634.148567579209,,,1634.148567579209,1634.148567579209,,
2016,1662.0220401539636,,,1662.0220401539636,1662.0220401539636,,
2017,1920.601996158145,,,1920.601996158145,1920.601996158145,,
2018,2120.4134566632392,,,2120.4134566632392,2120.4134566632392,,
2019,2220.435102252859,,,2220.435102252859,2220.435102252859,,
2020,2427.72409882316,,,2427.72409882316,2427.72409882316,,
2021,3109.0713417450356,,,3109.0713417450356,3109.0713417450356,,
2022,2779.061068868729,,,2779.061068868729,2779.061068868729,,
2023,2789.607829871387,,,2789.607829871387,2789.607829871387,,
