,"Sahr (1780-1785) + MeasuringWorth (1786-2010), Inflation conversion factors","Sahr (1780-1785) + MeasuringWorth (1786-2010), Index 1982-84=100","BLS Manufacturing Productivity Index, Index 1958=100","BLS, 1958 dollars","Derived from S008-C+S008-D, ratio. Formula: Real unit labor cost calculation","Derived from S008-C+S008-D, calculated. Formula: Manufacturing real compensation calculation",Composite final series,Composite final series,Composite final series
Year,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-COMBINED,S008-EXT
2006,24.37,201.6,697.0954356846472,3.4959345238095243,829.4429181929182,,697.0954356846472,697.0954356846472,
2007,25.07,207.34,716.9432918395573,3.4967898138323528,829.6458436904081,,716.9432918395573,716.9432918395573,
2008,25.87,215.3,744.4674965421852,3.4749670227589413,824.4681839294008,,744.4674965421852,744.4674965421852,
2009,26.15,214.54,741.8395573997233,3.525020975109537,836.3439487705359,,741.8395573997233,741.8395573997233,
2010,26.44,218.06,754.0110650069156,3.5065798404108963,831.968618376029,98.613,754.0110650069156,754.0110650069156,
2011,,,,,,97.428,744.9503619349758,744.9503619349758,744.9503619349758
2012,,,,,,97.019,741.823081296644,741.823081296644,741.823081296644
2013,,,,,,96.098,734.7809652381997,734.7809652381997,734.7809652381997
2014,,,,,,97.018,741.815435133714,741.815435133714,741.815435133714
2015,,,,,,99.519,760.9384886214114,760.9384886214114,760.9384886214114
2016,,,,,,98.945,756.5495910996447,756.5495910996447,756.5495910996447
2017,,,,,,100.004,764.6468776424163,764.6468776424163,764.6468776424163
2018,,,,,,99.975,764.4251389174489,764.4251389174489,764.4251389174489
2019,,,,,,100.629,769.4257294736082,769.4257294736082,769.4257294736082
2020,,,,,,105.855,809.3845769453019,809.3845769453019,809.3845769453019
2021,,,,,,103.275,789.6574765861419,789.6574765861419,789.6574765861419
2022,,,,,,98.047,749.6833367885882,749.6833367885882,749.6833367885882
2023,,,,,,98.184,750.7308611099855,750.7308611099855,750.7308611099855
2024,,,,,,100.203,766.1684640654678,766.1684640654678,766.1684640654678
2025,,,,,,101.859,778.8305098773936,778.8305098773936,778.8305098773936
