,"S208AW: Pcorp/KNCcorp(-1), Rate (decimal)","S208AX: Pnoncorp/KNCnoncorp(-1), Rate (decimal)","S013-V: actual output / capacity output, Ratio (decimal)",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
2002,0.0827195664,0.0856674423,1.03907012939453,8955.9,2559.7,714.3,210.4677723322684,0.0827195664
2003,0.090666488,0.0944275448,1.04768621921539,9186.4,2670.0,812.0,241.7061864768684,0.090666488
2004,0.1134176609,0.1192748269,1.03787088394165,9909.5,2902.0,1041.9,318.46378791589746,0.1134176609
2005,0.1227710783,0.1255936319,1.03080022335052,10768.3,3180.2,1216.6,364.4727196724468,0.1227710783
2006,0.125507276,0.1286824144,1.0236576795578,11679.9,3438.1000000000004,1351.5,409.2358142873551,0.125507276
2007,0.0992987954,0.1034391267,0.986203849315643,12317.8,3588.8,1159.8,355.63406140336474,0.0992987954
2008,0.0683401257,0.0757878977,0.925367593765259,13138.0,3732.3,841.8,271.9876071373794,0.0683401257
2009,0.0753158776,0.080980389,0.899437546730042,12701.7,3641.7,989.5,302.2431057535398,0.0753158776
2010,0.1024193612,0.1099531696,0.929295063018799,12994.6,3652.0,1300.9,400.4164577985856,0.1024193612
2011,0.106821295,0.1160813254,0.941526174545288,13530.8,3706.6,1388.1,423.9290003413023,0.106821295
2012,0.0876340068,0.0952307464,,3943.54,,1652.37,,0.0876340068
2013,0.0916105965,0.0995520552,,4114.573,,1682.298,,0.0916105965
2014,0.1007920567,0.1095294298,,4310.359,,1807.956,,0.1007920567
2015,0.0991960573,0.1077950778,,4493.216,,1777.928,,0.0991960573
2016,0.0930576989,0.1011246028,,4636.924,,1724.401,,0.0930576989
2017,0.084010515,0.0912931446,,4849.709,,1726.343,,0.084010515
2018,0.0797305781,0.0866421923,,5083.16,,1844.577,,0.0797305781
2019,0.0761433631,0.0827440119,,5281.299,,1938.296,,0.0761433631
2020,0.0911828804,0.0990872617,,5453.36,,1966.263,,0.0911828804
2021,0.1291420314,0.1403369821,,6133.211,,2697.79,,0.1291420314
2022,0.106422318,0.1156477623,,6872.977,,2913.118,,0.106422318
2023,0.067313008,0.0731481788,,7081.626,,3144.25,,0.067313008
2024,0.0628790118,0.0683298123,,7340.863,,3344.161,,0.0628790118
2025,,,,0.0,,,,
