,"MeasuringWorth CPI, Index","Calculated from MeasuringWorth CPI, Rate (decimal)",Composite final series,Composite final series,Composite final series
1841,8.46,0.0095465393794749,8.46,8.46,
1842,7.9,-0.066193853427896,7.9,7.9,
1843,7.17,-0.0924050632911392,7.17,7.17,
1844,7.25,0.0111576011157601,7.25,7.25,
1845,7.33,0.0110344827586206,7.33,7.33,
1846,7.41,0.0109140518417463,7.41,7.41,
1847,7.98,0.0769230769230768,7.98,7.98,
1848,7.65,-0.0413533834586465,7.65,7.65,
1849,7.41,-0.0313725490196078,7.41,7.41,
1850,7.57,0.0215924426450742,7.57,7.57,
1851,7.41,-0.0211360634081902,7.41,7.41,
1852,7.49,0.0107962213225372,7.49,7.49,
1853,7.49,0.0,7.49,7.49,
1854,8.14,0.0867823765020028,8.14,8.14,
1855,8.38,0.0294840294840295,8.38,8.38,
1856,8.22,-0.0190930787589499,8.22,8.22,
1857,8.46,0.0291970802919707,8.46,8.46,
1858,7.98,-0.0567375886524823,7.98,7.98,
1859,8.06,0.0100250626566416,8.06,8.06,
1860,8.06,0.0,8.06,8.06,
1861,8.54,0.0595533498759304,8.54,8.54,
1862,9.75,0.1416861826697892,9.75,9.75,
1863,12.17,0.2482051282051283,12.17,12.17,
1864,15.23,0.2514379622021365,15.23,15.23,
1865,15.79,0.036769533814839,15.79,15.79,
1866,15.39,-0.0253324889170359,15.39,15.39,
1867,14.34,-0.0682261208576998,14.34,14.34,
1868,13.78,-0.0390516039051603,13.78,13.78,
1869,13.21,-0.0413642960812771,13.21,13.21,
1870,12.65,-0.0423921271763815,12.65,12.65,
1871,11.84,-0.0640316205533597,11.84,11.84,
1872,11.84,0.0,11.84,11.84,
1873,11.6,-0.0202702702702702,11.6,11.6,
1874,11.04,-0.0482758620689656,11.04,11.04,
1875,10.64,-0.0362318840579708,10.64,10.64,
1876,10.39,-0.0234962406015037,10.39,10.39,
1877,10.15,-0.0230991337824831,10.15,10.15,
1878,9.67,-0.0472906403940887,9.67,9.67,
1879,9.67,0.0,9.67,9.67,
1880,9.91,0.0248190279214064,9.91,9.91,
1881,9.91,0.0,9.91,9.91,
1882,9.91,0.0,9.91,9.91,
1883,9.71,-0.0201816347124116,9.71,9.71,
1884,9.51,-0.0205973223480948,9.51,9.51,
1885,9.32,-0.0199789695057833,9.32,9.32,
1886,9.12,-0.0214592274678112,9.12,9.12,
1887,9.22,0.0109649122807018,9.22,9.22,
1888,9.22,0.0,9.22,9.22,
1889,8.92,-0.0325379609544469,8.92,8.92,
1890,8.82,-0.0112107623318384,8.82,8.82,
1891,8.82,0.0,8.82,8.82,
1892,8.82,0.0,8.82,8.82,
1893,8.72,-0.0113378684807256,8.72,8.72,
1894,8.34,-0.0435779816513762,8.34,8.34,
1895,8.14,-0.0239808153477217,8.14,8.14,
1896,8.14,0.0,8.14,8.14,
1897,8.04,-0.0122850122850124,8.04,8.04,
1898,8.04,0.0,8.04,8.04,
1899,8.04,0.0,8.04,8.04,
1900,8.14,0.0124378109452738,8.14,8.14,
1901,8.24,0.0122850122850122,8.24,8.24,
1902,8.34,0.0121359223300969,8.34,8.34,
1903,8.53,0.0227817745803355,8.53,8.53,
1904,8.63,0.0117233294255569,8.63,8.63,
1905,8.53,-0.0115874855156432,8.53,8.53,
1906,8.72,0.0222743259085582,8.72,8.72,
1907,9.11,0.0447247706422015,9.11,9.11,
1908,8.92,-0.0208562019758506,8.92,8.92,
1909,8.82,-0.0112107623318384,8.82,8.82,
1910,9.21,0.04421768707483,9.21,9.21,
1911,9.21,0.0,9.21,9.21,
1912,9.4,0.020629750271444,9.4,9.4,
1913,9.6,0.0212765957446807,9.6,9.6,
1914,9.69,0.0093749999999999,9.69,9.69,
1915,9.74,0.0051599587203303,9.74,9.74,
1916,10.64,0.0924024640657084,10.64,10.64,
1917,12.82,0.2048872180451126,12.82,12.82,
1918,15.06,0.1747269890795633,15.06,15.06,
1919,17.3,0.1487383798140771,17.3,17.3,
1920,20.04,0.1583815028901734,20.04,20.04,
1921,17.9,-0.1067864271457086,17.9,17.9,
1922,16.77,-0.0631284916201116,16.77,16.77,
1923,17.07,0.0178890876565296,17.07,17.07,
1924,17.1,0.0017574692442883,17.1,17.1,
1925,17.53,0.0251461988304093,17.53,17.53,
1926,17.7,0.0096976611523103,17.7,17.7,
1927,17.37,-0.01864406779661,17.37,17.37,
1928,17.13,-0.0138169257340242,17.13,17.13,
1929,17.13,0.0,17.13,17.13,
1930,16.7,-0.0251021599532983,16.7,16.7,
1931,15.23,-0.0880239520958082,15.23,15.23,
1932,13.66,-0.103086014445174,13.66,13.66,
1933,12.96,-0.0512445095168374,12.96,12.96,
1934,13.39,0.0331790123456789,13.39,13.39,
1935,13.73,0.0253920836445107,13.73,13.73,
1936,13.86,0.009468317552804,13.86,13.86,
1937,14.36,0.0360750360750361,14.36,14.36,
1938,14.09,-0.0188022284122562,14.09,14.09,
1939,13.89,-0.0141944641589779,13.89,13.89,
1940,14.03,0.0100791936645068,14.03,14.03,
1941,14.73,0.0498930862437634,14.73,14.73,
1942,16.3,0.1065852002715546,16.3,16.3,
1943,17.3,0.0613496932515338,17.3,17.3,
1944,17.6,0.0173410404624276,17.6,17.6,
1945,18.0,0.0227272727272727,18.0,18.0,
1946,19.54,0.0855555555555556,19.54,19.54,
1947,22.34,0.1432958034800409,22.34,22.34,
1948,24.08,0.0778871978513875,24.08,24.08,
1949,23.85,-0.0095514950166111,23.85,23.85,
1950,24.08,0.0096436058700208,24.08,24.08,
1951,25.98,0.0789036544850498,25.98,25.98,
1952,26.55,0.0219399538106235,26.55,26.55,
1953,26.75,0.0075329566854991,26.75,26.75,
1954,26.88,0.0048598130841122,26.88,26.88,
1955,26.78,-0.003720238095238,26.78,26.78,
1956,27.18,0.0149365197908886,27.18,27.18,
1957,28.15,0.0356880058866813,28.15,28.15,
1958,28.92,0.027353463587922,28.92,28.92,
1959,29.16,0.0082987551867219,29.16,29.16,
1960,29.62,0.0157750342935527,29.62,29.62,
1961,29.92,0.0101282916948008,29.92,29.92,
1962,30.26,0.0113636363636364,30.26,30.26,
1963,30.62,0.0118968935888961,30.62,30.62,
1964,31.03,0.0133899412148923,31.03,31.03,
1965,31.56,0.0170802449242668,31.56,31.56,
1966,32.46,0.0285171102661596,32.46,32.46,
1967,33.4,0.028958718422674,33.4,33.4,
1968,34.8,0.0419161676646706,34.8,34.8,
1969,36.67,0.0537356321839082,36.67,36.67,
1970,38.84,0.0591764385055904,38.84,38.84,
1971,40.51,0.0429969104016476,40.51,40.51,
1972,41.85,0.033078252283387,41.85,41.85,
1973,44.45,0.0621266427718041,44.45,44.45,
1974,49.33,0.1097862767154105,49.33,49.33,
1975,53.84,0.09142509629029,53.84,53.84,
1976,56.94,0.0575780089153044,56.94,56.94,
1977,60.61,0.0644538110291534,60.61,60.61,
1978,65.22,0.0760600560963538,65.22,65.22,
1979,72.57,0.1126954921803127,72.57,72.57,
1980,82.38,0.1351798263745349,82.38,82.38,
1981,90.93,0.1037873270211218,90.93,90.93,
1982,96.5,0.0612559111404376,96.5,96.5,
1983,99.6,0.0321243523316061,99.6,99.6,
1984,103.9,0.0431726907630523,103.9,103.9,
1985,107.6,0.0356111645813281,107.6,107.6,
1986,109.6,0.0185873605947954,109.6,109.6,
1987,113.6,0.0364963503649635,113.6,113.6,
1988,118.3,0.0413732394366197,118.3,118.3,
1989,124.0,0.0481825866441252,124.0,124.0,
1990,130.7,0.054032258064516,130.7,130.7,
1991,136.2,0.0420811017597551,136.2,136.2,
1992,140.3,0.0301027900146844,140.3,140.3,
1993,144.5,0.029935851746258,144.5,144.5,
1994,148.2,0.0256055363321798,148.2,148.2,
1995,152.4,0.02834008097166,152.4,152.4,
1996,156.9,0.029527559055118,156.9,156.9,
1997,160.5,0.022944550669216,160.5,160.5,
1998,163.0,0.0155763239875388,163.0,163.0,
1999,166.6,0.022085889570552,166.6,166.6,
2000,172.2,0.0336134453781511,172.2,172.2,
2001,177.1,0.0284552845528456,177.1,177.1,
2002,179.9,0.015810276679842,179.9,179.9,
2003,184.0,0.0227904391328515,184.0,184.0,
2004,188.9,0.0266304347826087,188.9,188.9,
2005,195.3,0.0338803599788248,195.3,195.3,
2006,201.6,0.032258064516129,201.6,201.6,
2007,207.34,0.0284722222222222,207.34,207.34,
2008,215.3,0.0383910485193401,215.3,215.3,
2009,214.54,-0.0035299581978635,214.54,214.54,
2010,218.06,0.0164071967931389,218.06,218.06,
2011,224.94,0.0315509492800145,224.94,224.94,
2012,229.59,0.0206721792477995,229.59,229.59,
2013,232.96,0.0146783396489393,232.96,232.96,
2014,236.74,0.0162259615384614,236.74,236.74,
2015,237.02,0.0011827321111768,237.02,237.02,
2016,240.01,0.0126149692009112,240.01,240.01,
2017,,,245.12,245.12,245.12
2018,,,251.11,251.11,251.11
2019,,,255.66,255.66,255.66
2020,,,258.81,258.81,258.81
2021,,,270.97,270.97,270.97
2022,,,292.66,292.66,292.66
2023,,,304.7,304.7,304.7
2024,,,313.69,313.69,313.69
2025,,,321.94,321.94,321.94
