,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S010,S010A,S010AA,S010AB,S010AC,S010AD,S010AE,S010AF,S010AG,S010AH,S010AI,S010AJ,S010AK,S010AL,S010AM,S010AN,S010AO,S010AP,S010AQ,S010AR,S010AS,S010B,S010C,S010D,S010E,S010F,S010G,S010H,S010I,S010J,S010K,S010L,S010M,S010N,S010O,S010P,S010Q,S010R,S010S,S010T,S010U,S010V,S010W,S010X,S010Y,S010Z
1874,-0.0396288921802872,11.04,22.967755200774064,3.884837647058824,0.0,87.0200127667458,102.071846456863,0.0773581964106873,87.7532790864476,105.994147882592,,,,,,,,,-0.0804195804195804,-0.0124259494865649,-0.0512333965844402,38.17427385892116,22.99,111.2239961296565,66.10778443113773,100.0,,89.90865593736407,4.24,,5.42,,4.24,99.76470588235294,105.2,,,105.2,105.44811320754717,7.95495143335629,14.7358528290955,11.3454021312259,8.22683006658935,109.01554404145078,131.30316637881404,108.75843190927756
1875,-0.0405436544303672,10.64,23.7270198355104,3.884837647058824,0.0,85.4076338648618,100.347819493955,0.037468858459094,83.6076436644062,102.294713144791,,,,,,,,,-0.05893536121673,-0.0163865263964644,-0.065,36.79114799446749,23.75,114.90082244799224,63.71257485029941,93.5,,81.37452631578948,4.24,,5.59,,4.24,99.76470588235294,99.0,,,99.0,99.23349056603772,-0.798066212749624,8.81613713275107,4.00903546000072,6.60126561195944,102.59067357512951,127.440414507772,102.34871443933912
1876,-0.0395642180557979,10.39,23.02769714562167,3.884837647058824,0.0,83.7521421252554,98.3356465851861,0.0593966979972234,79.9291536734902,98.5857207759537,,,,,,,,,-0.011111111111111,-0.0195698622995387,-0.067379679144385,35.92669432918395,23.05,111.51427189163036,62.215568862275454,87.2,,78.19626898047723,4.24,,5.42,,4.24,99.76470588235294,97.9,,,97.9,98.13089622641508,-4.18500937437361,7.99930725078362,1.907148938205,4.79951808391694,101.45077720207254,122.19182498560735,101.21150650112428
1877,-0.0368384095502151,10.15,21.639042089985484,3.884837647058824,0.0,82.1700278694123,96.1170506421286,-0.0563498545908664,77.256416056187,95.0932406949353,,,,,,,,,-0.010214504596527,-0.0220514097265287,-0.0355504587155964,35.09681881051176,21.66,104.78955007256891,60.77844311377246,84.1,,80.25609418282549,4.24,,5.08,,4.24,99.76470588235294,96.9,,,96.9,97.12853773584904,-2.34559575747802,7.2651397333036,2.45977198791279,2.92126346902521,100.41450777202073,113.35682210708116,100.1776811027471
1878,-0.0327922100181405,9.67,20.819835510401543,3.884837647058824,0.0,80.7237599975659,93.771398110503,-0.0631557245801264,75.6016531971542,91.8814358952742,,,,,,,,,-0.0743034055727554,-0.0238220336962913,-0.141498216409036,33.43706777316736,20.84,100.8224479922593,57.90419161676647,72.2,,71.61103646833014,4.24,,4.89,,4.24,99.76470588235294,89.7,,,89.7,89.91155660377359,-11.2195430680253,0.293430290944713,-5.46305638854027,1.0372540623905,92.95336787564769,101.00932642487048,92.73413823443153
1879,-0.0278387210557496,9.67,20.649999999999995,3.884837647058824,0.0,79.4566071312553,91.3877849296084,0.0421900258462659,75.9749487956535,89.6800558055302,,,,,,,,,-0.0457079152731327,-0.0247542301763831,-0.0124653739612189,33.43706777316736,20.67,100.0,57.90419161676647,71.3,,71.30000000000001,4.24,,4.85,,4.24,99.76470588235294,85.6,,,85.6,85.80188679245283,-11.7565690119776,-3.58600620513658,-7.67128760855712,-0.786372755692045,88.70466321243524,95.60391479562465,88.49545410108516
1880,-0.023478104323127,9.91,20.649999999999995,3.884837647058824,0.0,78.3209002920439,89.0163930576392,0.0672029274890225,78.0625021518951,88.5517045558383,,,,,,,,,0.0595794392523365,-0.0252253088531256,0.113604488078541,34.26694329183955,20.67,100.0,59.34131736526946,79.4,,79.40000000000002,4.24,,4.84,,4.24,99.76470588235294,90.7,,,90.7,90.91391509433964,-3.88639129529761,1.73666427673929,-1.07486350927916,-2.54848270943661,93.98963730569947,101.0910765687968,93.7679636328087
1881,-0.0210567880094119,9.91,20.649999999999995,3.884837647058824,0.0,77.1874044301828,86.6512266034935,0.113853169336246,79.9921963008716,87.2556343411566,,,,,,,,,-0.0341786108048512,-0.0258221162638076,0.0277078085642315,34.26694329183955,20.67,100.0,59.34131736526946,81.6,,81.60000000000001,4.24,,4.83,,4.24,99.76470588235294,87.6,,,87.6,87.80660377358491,-1.91872762394754,-1.16870507122495,-1.54371634758624,-4.31679067158603,90.77720207253886,97.4341968911917,90.56310489783948
1882,-0.0205503743797266,9.91,20.649999999999995,3.884837647058824,0.0,75.9376754930024,84.304925745493,0.0426046988632368,80.3377468936102,85.3271958378307,,,,,,,,,-0.0114155251141552,-0.0262834514646634,0.0502450980392157,34.26694329183955,20.67,100.0,59.34131736526946,85.7,,85.70000000000002,4.24,,4.87,,4.24,99.76470588235294,86.6,,,86.6,86.80424528301887,1.94670429611027,-2.00224189630379,-0.0277688000967586,-6.14427532288156,89.74093264248705,97.11963154864708,89.52927949946233
1883,-0.0214468197334574,9.71,20.649999999999995,3.884837647058824,0.0,74.4973953835315,82.0014183959246,-0.0405280695485489,78.2088041475146,82.4765282751536,,,,,,,,,-0.0242494226327943,-0.0264316784573378,-0.0665110851808635,33.57538035961273,20.67,100.0,58.14371257485031,80.0,,80.00000000000001,4.24,,4.85,,4.24,99.76470588235294,84.5,,,84.5,84.69929245283019,-3.98981324108664,-3.94405468524859,-3.96693396316762,-8.05618460082444,87.56476683937824,94.37535981577432,87.35824616287027
