Year,"Adjustment Credit 1940-2002, Primary Credit 2003+","ERP 2012, Table B-73",Calculated,"FRB, H.15 1966+",Calculated,"ERP2012, B-73",Calculated,"ERP2012, B-73","ERP2012, B-73",Calculated,Calculated,Calculated,"ERP2012, B-73",Calculated,Appendix 6.8A.3,Est using ib Corp Aaa,Ibbotson rbcorplong*100,Ibbotson rbcorp*100,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Appendix Table 6.8.II.7 - pIGcorpbea,Calculated_peq / pIGcorpbea,Calculated_dv /pIGcorpbea,Calculated_e / pIGcorpbea,Calculated_(Δpreq + dvr)/preq(-1),Appendix Table 6.8.II.7 - iroprcorp,Appendix Table 6.8.II.7 - iroprcorpnipa,Appendix Table 6.8.II.7 - rcorp,"Shiller (2014, p. 10) discount rate",Calculated_initial value = real peq + adj parameter (6.75),Calculated_final value = real peq + adj parameter (290),Shiller Real P* = PV of Real Dividends w/ Constant r - http://www.econ.yale.edu/~shiller/data.htm,Shiller,Calculated_pstarshiller='= prstarshiller*cpi/cpi2005,Calculated_pstarshiller*100/pIGcorpbea,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",HP filtered value
1949,1.5,,,,,1.102,,2.21,2.66,1.4733333333333334,1.7733333333333334,0.8308270676691729,0.02,2.0,0.13992644659654974,0.08333758865248217,0.0331,0.0331,,15.36,1.14,2.32,6.620689655172414,26.095421355358813,58.860900503703704,4.368582459259259,8.890448513580246,0.0806479857463557,-0.11933291420477785,-0.13003345730202254,0.13697282511983766,0.076,75.82191627452343,75.82670981964385,264.3502779078723,24.0,33.26904388982137,127.4899662924562,0.19998089995113355,0.010700543097244691
1950,1.59,,,,,1.218,,1.98,2.62,1.2452830188679245,1.6477987421383649,0.7557251908396946,0.0207,2.07,0.16765717438708103,0.04123759398496242,0.0212,0.0212,,16.88,1.47,2.84,5.943661971830986,26.736763049192643,63.13404494382022,5.498047752808988,10.622078651685392,0.16600480300689036,0.43918643202486496,0.4004315508535092,0.16228416548642546,0.076,103.62382539961044,103.63072420470905,269.7138189476993,23.5,33.236889068017476,124.31156683726198,-0.2731816290179746,0.03875488117135578
1951,1.75,,,,,1.552,,2.0,2.86,1.1428571428571428,1.6342857142857141,0.6993006993006994,0.0256,2.56,0.16818787317315273,-0.0630030534351144,-0.0269,-0.0269,,21.21,1.41,2.44,8.692622950819672,29.409212027733457,72.12025939354838,4.794416112442396,8.29672008110599,0.21827574289645527,0.07423948026439547,0.08489271268057841,0.15983193761787534,0.076,106.52238822784359,106.52979919664718,273.1306257971484,25.4,36.37922336259869,123.70009549488226,0.1440362626320598,-0.010653232416182934
1952,1.75,,,,,1.766,,2.19,2.96,1.2514285714285713,1.6914285714285715,0.7398648648648648,0.03,3.0,0.14647356224627878,-0.005365034965034994,0.0352,0.0352,,24.19,1.41,2.4,10.079166666666667,30.027549681573046,80.55935384845816,4.6956878431718065,7.992660158590309,0.1821233368893925,-0.08652761196412544,-0.10417077200760254,0.13620216468779806,0.076,92.60957251060101,92.61634222597168,277.91535040686324,26.5,38.619595101111045,128.6138746273082,0.2686509488535179,0.017643160043477102
1953,1.99,,,,,1.931,,2.72,3.2,1.3668341708542715,1.6080402010050252,0.85,0.0317,3.17,0.13792492383728228,-0.049081081081081154,0.0341,0.0341,,26.18,1.45,2.51,10.430278884462153,30.56986970529857,85.63988087741934,4.743232516129032,8.21069904516129,0.12194436866474738,0.016692636395081967,0.011677702125176218,0.12804516198321894,0.076,89.41223791509542,89.41912063486326,283.061625461567,26.6,39.48316327885518,129.15711993372253,0.10525173226966542,0.005014934269905749
1954,1.6,,,,,0.953,,2.37,2.9,1.48125,1.8124999999999998,0.8172413793103449,0.0305,3.05,0.13014671477527348,0.12275000000000008,0.053899999999999997,0.053899999999999997,,25.46,1.54,2.77,9.191335740072203,30.757013569024455,82.77786769792532,5.006988069709544,9.006075943568465,0.025046448783432172,-0.013296796656494017,-0.01693748038634573,0.11761730156428303,0.076,83.21635349922678,83.22314470086943,288.3242288071932,26.9,40.6708010220949,132.23260746958434,0.03834324543992619,0.0036406837298517142
1955,1.89,1.79,0.9470899470899472,,,1.753,,2.53,3.06,1.3386243386243386,1.619047619047619,0.826797385620915,0.0316,3.16,0.15867832664343182,-0.024572413793103494,0.0048,0.0048,42.0,35.6,1.64,3.62,9.834254143646408,31.109799769375808,114.43339482706764,5.27165077293233,11.636204754887217,0.4460996511389986,0.46831152881907867,0.43060746087565976,0.1435878447213399,0.076,116.91588045626624,116.92585205593267,293.00455021958726,26.7,41.023709967818455,131.86748314658652,-0.022211877680080094,0.037704067943418906
1956,2.77,2.73,0.9855595667870036,,,2.658,,2.93,3.36,1.0577617328519857,1.2129963898916967,0.8720238095238096,0.0377,3.7699999999999996,0.1399365360490001,-0.06443921568627445,-0.0681,-0.0681,48.0,44.15,1.74,3.41,12.947214076246333,33.505946535497614,131.76765489440993,5.193108029813665,10.177297920496894,0.19686008731279386,-0.11792891015619376,-0.1468235494679134,0.12550926044329552,0.076,97.93501006429327,97.94380572407852,297.12795989342715,26.8,41.756839670392495,124.62516057009024,0.31478899746898764,0.028894639311719636
1957,3.12,3.11,0.9967948717948717,,,3.267,,3.6,3.89,1.1538461538461537,1.2467948717948718,0.9254498714652957,0.042,4.2,0.12583529248271272,-0.11883809523809531,0.08710000000000001,0.08710000000000001,52.0,45.43,1.79,3.37,13.480712166172106,35.39736411550324,128.34288974670488,5.056873710028654,9.52048290659026,0.012386260980598576,-0.04495625858589183,-0.0657126578202028,0.112054004990328,0.076,88.47534471720233,88.48374495703183,301.06695526915547,27.6,43.57340306989351,123.09787510649517,0.057342519566490405,0.020756399234310975
1958,2.15,1.57,0.7302325581395349,,,1.839,,3.56,3.79,1.6558139534883722,1.7627906976744188,0.9393139841688655,0.0383,3.83,0.10828328829493139,0.06360694087403601,-0.0222,-0.0222,56.0,41.12,1.75,2.89,14.228373702422143,35.74767783321535,115.02845077615895,4.895422880794702,8.084441214569537,-0.06559783799762377,-0.09843976824313573,-0.10926808926736352,0.09505431759248864,0.076,74.8704294072147,74.87800272938219,305.3750792368652,28.6,45.798255197558184,128.11532936834357,0.03284193024551196,0.010828321024227788
1959,3.36,3.31,0.9851190476190477,,,3.405,,3.95,4.38,1.1755952380952381,1.3035714285714286,0.9018264840182649,0.044800000000000006,4.48,0.13229569446408443,-0.11187282321899733,-0.0097,-0.0097,52.0,55.62,1.83,3.39,16.4070796460177,36.59370650021059,151.99334891009175,5.0008599155963305,9.263888040366973,0.36482937713551344,0.3213454719068297,0.3467106106019984,0.11381225569497803,0.076,93.92884296134675,93.93884993630004,310.5147060236742,29.0,47.220380045550876,129.03962063880886,0.04348390522868373,-0.02536513869516871
1960,3.53,3.21,0.9093484419263457,,,2.93,,3.73,4.41,1.056657223796034,1.2492917847025498,0.8458049886621315,0.0482,4.82,0.12354481160659485,0.037250684931506794,0.0907,0.0907,57.0,58.03,1.95,3.27,17.74617737003058,36.59362072866615,158.57955251348315,5.328797646067416,8.93598374494382,0.07839159630930209,-0.005165949114381718,-0.024459527580788475,0.10570307830889546,0.076,88.11481369216825,88.12476897159816,315.47175128254446,29.3,48.470489316091005,132.45611762631876,0.08355754542368381,0.019293578466406756
1961,3.0,1.95,0.65,,,2.38,,3.46,4.35,1.1533333333333333,1.45,0.7954022988505748,0.045,4.5,0.12343224124638312,0.05710544217687086,0.0482,0.0482,64.0,59.72,2.02,3.19,18.721003134796238,36.45789659811367,163.8053908,5.5406378,8.7498191,0.06789321773121684,0.06979668790343385,0.05284946428373647,0.10516657955813914,0.076,88.72429804310975,88.73494816807101,320.0217481898709,29.8,50.00864234954459,137.16820501414236,-0.0019034701722170089,0.01694722361969738
1962,3.0,2.71,0.9033333333333333,,,2.78,,3.18,4.33,1.06,1.4433333333333334,0.7344110854503464,0.045,4.5,0.13679400427077842,0.04789770114942519,0.0795,0.0795,61.0,69.07,2.13,3.67,18.82016348773842,36.37767004499661,189.86922448459526,5.855240309138381,10.088606542036553,0.19485972859529144,0.2458098044092056,0.24959354886285895,0.11607789249317023,0.076,104.67836008229224,104.69162811238716,324.40350244465395,30.0,51.03358717010813,140.28822381142933,-0.05095007581391417,-0.0037837444536533427
1963,3.23,3.18,0.9845201238390093,,,3.16,,3.23,4.26,1.0,1.3188854489164086,0.7582159624413146,0.045,4.5,0.1441026105799619,0.05876628175519637,0.0219,0.0219,56.0,65.06,2.28,4.02,16.184079601990053,36.43688138247444,178.5553470316832,6.257396114851486,11.03277736039604,-0.026631389851549274,0.16852802621985055,0.17368463421612731,0.12143069203177961,0.076,116.06220138004026,116.0777054450589,328.40109567144617,30.4,52.35130208920799,143.6766817107134,-0.19515941607139983,-0.005156607996276763
1964,3.55,3.5,0.9859154929577465,3.92,1.1042253521126761,3.56,0.9081632653061225,3.22,4.4,0.9070422535211269,1.23943661971831,0.7318181818181818,0.045,4.5,0.15359940889398827,0.011136150234741654,0.04769999999999999,0.04769999999999999,53.0,76.45,2.5,4.55,16.802197802197803,36.670274194378734,208.47948830368765,6.817511062906725,12.407870134490238,0.20577178418740752,0.18526608515762,0.18980178246910548,0.12813738591915966,0.076,130.74708000158893,130.76545644403757,331.7470241496673,30.9,53.75449945581919,146.58875788842434,0.020505699029787522,-0.0045356973114854815
1965,4.04,4.07,1.0074257425742574,4.36,1.0792079207920793,3.95,0.9059633027522935,3.27,4.49,0.8094059405940595,1.1113861386138615,0.7282850779510022,0.0454,4.54,0.16562060705459006,0.024445454545454583,-0.0046,-0.0046,53.0,86.12,2.72,5.19,16.59344894026975,37.027469678467156,232.58408081306717,7.345897582577134,14.016620754990928,0.15085651997640842,0.25778757374461897,0.25849604615469496,0.13818209006945084,0.076,157.106154946815,157.12926860777654,333.75570389430806,31.2,54.60502339539807,147.471657851773,-0.10693105376821055,-0.0007084724100759887
1966,4.5,5.11,1.1355555555555557,5.45,1.2111111111111112,4.88,0.8954128440366972,3.82,5.13,0.8488888888888888,1.14,0.7446393762183235,0.056299999999999996,5.63,0.16579439004646634,-0.0912389755011135,0.002,0.002,52.0,93.32,2.87,5.55,16.814414414414415,37.528104903640994,248.66696636990602,7.6476017304075254,14.788916238244518,0.1020297141760062,0.13306828610762145,0.13755275198450667,0.13780250259730348,0.076,170.36439999213854,170.3905893483499,334.569276410192,31.8,55.7907865225176,148.6640123868998,-0.031038571931615244,-0.004484465876885224
1967,4.19,4.22,1.007159904534606,4.99,1.1909307875894988,4.32,0.8657314629258517,3.98,5.51,0.9498806682577565,1.315035799522673,0.7223230490018149,0.056299999999999996,5.63,0.1473738918618074,-0.01897407407407406,-0.0495,-0.0495,49.0,84.45,2.92,5.33,15.844277673545967,38.37954352589141,220.03909437596303,7.608219722650231,13.88760654853621,-0.08452933084817084,-0.0022424706322610095,-0.029987283574751496,0.12474159436916939,0.076,162.37414310572316,162.40027373307234,335.0190736984142,32.9,57.79825655310869,150.59651898704095,-0.08228686021590984,0.027744812942490486
1968,5.17,5.66,1.0947775628626693,5.82,1.125725338491296,5.34,0.9175257731958762,4.51,6.18,0.8723404255319148,1.195357833655706,0.7297734627831716,0.06309999999999999,6.309999999999999,0.14522282480795876,-0.059797096188747734,0.025699999999999997,0.025699999999999997,39.0,95.04,3.07,5.76,16.5,39.64676984029342,239.71688080225357,7.743379882816903,14.528295806197185,0.12461951993973902,0.10367347595546927,0.08892613886490411,0.12385229726692695,0.076,171.4646550439674,171.49349472428275,335.89162617316015,34.1,60.06242502624416,151.49386764215555,0.020946043984269747,0.014747337090565166
1969,5.87,8.21,1.3986371379897786,7.23,1.231686541737649,6.68,0.9239280774550483,5.81,7.03,0.9897785349233389,1.1976149914821124,0.8264580369843527,0.0796,7.960000000000001,0.1256366408086168,-0.06724045307443374,-0.0809,-0.0809,37.0,102.04,3.16,5.78,17.653979238754324,41.210638688722426,247.6059659515152,7.667922896969698,14.025504539393943,0.06489742397017324,-0.009082971339768335,-0.059871874996509374,0.11249342865334706,0.076,162.2393235994501,162.2679013297757,336.67263306754165,35.6,62.85026605770574,152.5098082862403,0.07398039530994158,0.05078890365674104
1970,5.95,7.17,1.2050420168067226,7.55,1.26890756302521,6.43,0.8516556291390728,6.51,8.04,1.0941176470588234,1.3512605042016805,0.8097014925373135,0.0791,7.91,0.09778880570710857,-0.0632699857752488,0.1837,0.1837,44.0,90.31,3.14,5.13,17.60428849902534,43.14452019222909,209.3197458162162,7.277865151842751,11.890270136609336,-0.12523266498969632,-0.11060145594467521,-0.1669864796319741,0.09331682372735287,0.076,137.01755304602887,137.04297003777288,338.1518150189251,37.8,67.02747041277068,155.35569781314484,-0.014631209045021104,0.05638502368729889
1971,4.88,4.67,0.9569672131147541,5.0,1.0245901639344261,4.35,0.8699999999999999,5.7,7.39,1.168032786885246,1.514344262295082,0.7713125845737484,0.057300000000000004,5.73,0.10347739383254609,0.15474577114427854,0.1101,0.1101,42.0,93.49,3.07,5.7,16.40175438596491,45.08498231389687,207.36394959432621,6.809362768794325,12.642790808510636,0.02318733250882981,0.13102393909408358,0.1405523559130199,0.09563354057371255,0.076,148.16076980235778,148.18951702848,340.88143551771185,39.8,71.14358224229119,157.7988469574315,-0.10783660658525376,-0.00952841681893632
1972,4.5,4.44,0.9866666666666668,4.66,1.0355555555555556,4.07,0.8733905579399142,5.27,7.21,1.171111111111111,1.6022222222222222,0.7309292649098473,0.0525,5.25,0.10785305245275689,0.09645723951285518,0.0726,0.0726,38.0,103.3,3.15,6.42,16.090342679127726,46.482926840299186,222.2321334345114,6.776681706860706,13.811522716839916,0.10438104400205801,0.16809635773610299,0.16237559238421603,0.09841455120006355,0.076,166.2893738586506,166.322953388779,344.81932020000403,41.1,74.31606743691749,159.87820150018584,-0.06371531373404497,0.005720765351886953
1973,6.45,8.74,1.3550387596899225,9.3,1.4418604651162792,7.04,0.7569892473118279,5.18,7.44,0.8031007751937984,1.1534883720930234,0.6962365591397849,0.0803,8.03,0.10674935796748831,0.042499861303744745,0.011399999999999999,0.011399999999999999,36.0,118.42,3.38,8.16,14.512254901960784,48.3830249758401,244.75526294425086,6.985921202090592,16.865419233449476,0.13278480594043313,0.10700337043676085,0.08279173469629297,0.09850663207383724,0.076,177.0969761272542,177.13414878028402,349.1989087710528,42.6,78.00667809987861,161.22736876999934,0.025781435503672276,0.024211635740467877
1974,7.83,10.51,1.342273307790549,10.29,1.314176245210728,7.89,0.7667638483965015,6.09,8.57,0.7777777777777778,1.0945083014048531,0.7106184364060676,0.1081,10.81,0.0833658970464559,-0.0661817204301075,-0.030600000000000002,-0.030600000000000002,38.0,96.11,3.6,8.89,10.811023622047243,53.22099894873923,180.5866141155488,6.764247329268294,16.70393298810976,-0.23453796583940692,-0.07667143614407788,-0.1398393243311935,0.08450813596683143,0.076,156.75444930153586,156.78877187387258,354.21077976180607,46.6,86.55596401101292,162.63498566492683,-0.15786652969532905,0.06316788818711562
1975,6.25,5.82,0.9312,6.44,1.0304,5.84,0.9068322981366459,6.89,8.83,1.1024,1.4128,0.7802944507361268,0.0786,7.86,0.08300481829922715,0.057961610268378094,0.1464,0.1464,43.0,72.56,3.68,7.96,9.115577889447236,60.488518638164734,119.9566490197015,6.083799178507463,13.159522136119405,-0.3020498843975132,0.05120665827171766,0.08372438810151077,0.08026290352493669,0.076,158.69752164098344,158.7336017575528,360.3924641751725,52.1,98.46065749096218,162.7757791192447,-0.35325654266923084,-0.03251772982979311
1976,5.5,5.05,0.9181818181818181,5.27,0.9581818181818181,4.99,0.9468690702087288,6.49,8.43,1.18,1.5327272727272727,0.7698695136417557,0.0684,6.84,0.09118663259961629,0.12960011325028317,0.1865,0.1865,35.0,96.86,4.05,9.91,9.773965691220988,63.922433301801696,151.52739812436073,6.335803865410499,15.503164520053838,0.3160020997572549,0.1788507473506982,0.17299058176008217,0.08282247340114034,0.076,180.74488812376643,180.78742119614873,367.69194473594735,55.6,107.2033147735641,167.7084385499175,0.1371513524065567,0.005860165590616029
1977,5.46,5.54,1.0146520146520146,5.63,1.031135531135531,5.27,0.9360568383658969,5.56,8.02,1.0183150183150182,1.4688644688644688,0.6932668329177057,0.0683,6.83,0.09827301428781315,0.12883582443653618,0.0171,0.0171,28.0,103.81,4.67,10.89,9.532598714416896,68.10955936324764,152.41619674317926,6.856599930552425,15.988945020067645,0.05111549888168865,0.134696972032776,0.15560351208530396,0.08615885286003797,0.076,198.2340773338882,198.28233948233165,374.72145576823794,58.5,114.95125937305673,168.77404647413587,-0.08358147315108735,-0.020906540052527955
1978,7.46,7.94,1.064343163538874,8.21,1.1005361930294908,7.22,0.8794153471376369,5.9,8.73,0.7908847184986596,1.1702412868632708,0.6758304696449027,0.0906,9.06,0.0994316245376604,-0.0012286783042395055,-0.0007000000000000001,-0.0007000000000000001,24.0,90.25,5.07,12.33,7.319545823195458,72.28603314312632,124.85122792850596,7.0138030537121905,17.05723701228231,-0.13483583897313578,0.13130832605576967,0.11349252181021038,0.08785924688851342,0.076,217.25005914209885,217.3046585124663,380.86343545583196,62.5,124.82414638694023,172.6808637289426,-0.2661441650289055,0.017815804245559286
1979,10.29,11.2,1.08843537414966,11.2,1.08843537414966,10.05,0.8973214285714287,6.39,9.63,0.6209912536443148,0.9358600583090381,0.6635514018691588,0.1267,12.67,0.08511630625757287,-0.006792783505154665,-0.0418,-0.0418,28.0,99.71,5.65,14.86,6.709959623149394,77.99462855952306,127.8421371337187,7.244088605009634,19.05259410096339,0.08197755024150238,0.0011555534987356892,-0.04273367429620755,0.08010459699416889,0.076,210.25701460303142,210.3116770658923,387.5264136018969,68.3,138.79420057162852,177.95353748714263,0.08082199674276669,0.04388922779494324
1980,11.77,13.35,1.1342395921835173,13.02,1.1062022090059473,11.51,0.8840245775729647,8.51,11.94,0.7230246389124894,1.014443500424809,0.7127303182579564,0.15259999999999999,15.259999999999998,0.0634882153132117,-0.12047538940809956,-0.0276,-0.0276,42.0,110.87,6.16,14.82,7.4811066126855605,84.5720031414428,131.09539313450458,7.28373429880534,17.52352959550246,0.08242188793018905,-0.05769377375211508,-0.103696642507401,0.06736088363840917,0.076,190.84275967392364,190.8942684530195,395.01930939231687,77.8,161.15627829429604,190.55511553246473,0.14011566168230413,0.04600286875528592
1981,13.42,16.39,1.2213114754098362,15.93,1.1870342771982116,14.03,0.8807281858129316,11.23,14.17,0.8368107302533533,1.0558867362146052,0.7925194071983063,0.1887,18.87,0.06387123467303782,-0.04506716917922954,-0.0124,-0.0124,61.0,132.97,6.63,15.36,8.656901041666666,92.6284286310064,143.5520411662146,7.1576297881627635,16.58238213366215,0.1496183607287285,0.11016305866131283,0.0735925961068428,0.06963231457283431,0.076,204.7089520148062,204.76613515855516,403.4474193923322,87.0,184.05834025764503,198.70610241145062,0.03945530206741567,0.03657046255447004
1982,11.01,12.24,1.111716621253406,12.27,1.1144414168937329,10.69,0.8712306438467807,11.57,13.79,1.0508628519527703,1.2524977293369663,0.8390137781000726,0.1485,14.85,0.05027046553056581,0.16471721947777,0.42560000000000003,0.42560000000000003,88.0,117.28,6.87,12.64,9.278481012658228,97.67437988295008,120.07242855346989,7.033574216936717,12.94095751121981,-0.11456499163788003,-0.03341401311443026,-0.05581746748033558,0.05987602052034288,0.076,190.83523019060544,190.89050261603927,412.5478908119606,94.3,204.0024441718295,208.85972802315166,-0.08115097852344977,0.022403454365905316
1983,8.5,9.09,1.0694117647058823,9.07,1.0670588235294118,8.63,0.9514884233737597,9.47,12.04,1.1141176470588237,1.416470588235294,0.786544850498339,0.1079,10.79,0.06124482217331941,0.24730355329949238,0.0626,0.0626,110.0,144.27,7.09,14.03,10.28296507483963,96.60380648721807,149.34194132307695,7.339255312820514,14.523237241025642,0.30488904508269515,0.20666415066877158,0.2016469558101208,0.06527648510942881,0.076,222.93477564280593,223.00147089709745,422.257935449456,97.8,216.55388614030832,224.16703235080203,0.09822489441392357,0.005017194858650792
1984,8.8,10.23,1.1624999999999999,10.39,1.1806818181818182,9.53,0.9172281039461019,10.15,12.71,1.1534090909090908,1.4443181818181818,0.7985837922895358,0.1204,12.04,0.07505893208089852,0.07145215946843841,0.1686,0.1686,107.0,166.39,7.53,16.64,9.999399038461537,96.12175770110433,173.103368040146,7.83381429979145,17.311377151199167,0.21156307958063392,0.2570833910827757,0.22361451287486117,0.0770929556450637,0.076,272.4137894555448,272.4976309519787,432.76584271412804,101.9,231.24719125626459,240.57736436254103,-0.04552031150214181,0.033468878207914554
1985,7.69,8.1,1.0533159947984394,8.04,1.0455136540962287,7.47,0.9291044776119404,9.18,11.37,1.1937581274382314,1.4785435630689205,0.8073878627968338,0.0993,9.93,0.07393880200939584,0.21912879622344622,0.3009,0.3009,115.0,171.61,7.9,14.61,11.746064339493499,96.45351576081312,177.9199012564364,8.190473864727274,15.147192805527274,0.07514011557534278,0.08261377556187442,0.0762560762187405,0.07569964867766976,0.076,286.7284472528576,286.81921521186064,443.5193092086067,105.5,245.3659523938543,254.38777473111136,-0.007473659986531642,0.0063576993431339185
1986,6.32,6.8,1.0759493670886076,6.51,1.0300632911392404,5.98,0.9185867895545315,7.38,9.02,1.1677215189873418,1.4272151898734176,0.8181818181818182,0.0833,8.33,0.06548724181160212,0.2968842568161829,0.1985,0.1985,120.0,208.19,8.28,14.48,14.377762430939226,97.35662461954323,213.84266434213276,8.50481416375839,14.873153271886652,0.2497054963256819,-0.0031225928221011914,-0.016580004678153903,0.06899255106995522,0.076,277.3282968978152,277.418781425441,454.80189366227904,109.6,261.385881202862,268.4828918672184,0.2528280891477831,0.013457411856052712
1987,5.66,6.66,1.176678445229682,6.87,1.2137809187279152,5.82,0.8471615720524017,7.73,9.38,1.3657243816254416,1.657243816254417,0.82409381663113,0.0821,8.21,0.07270689420459894,0.05388869179600874,-0.0027,-0.0027,102.0,264.51,8.81,17.5,15.114857142857142,97.92932200196461,270.1029626189933,8.996284074981402,17.870030795933545,0.3051616596369942,0.13243243643085692,0.14426096219213994,0.07252272292510364,0.076,305.0592748722315,305.1617424863101,466.2374248307585,111.2,271.86996141153827,277.6185475950545,0.1727292232061373,-0.011828525761283015
