Year,Adjustment Ratio 1925-1947; Source: Appendix 6.8B4 (KNHcorpirsIndx),"Net Historical-Cost Capital Stock, using BEA 1993 depreciation rate and initial value,adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KNH GPIM rule thereafter","Net Current-Cost Capital Stock, using BEA 1993 depreciation rate and initial value,adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KNC GPIM rule thereafter","Gross Current-Cost Capital Stock, using BEA 1993 depreciation rate and initial value, adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KGC GPIM rule thereafter",Ratio of new net stock to BEA,Ratio of new gross stock to BEA,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S213A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
1992,,3406.661773803796,4534.086319000641,8013.034801142843,0.8634999413767342,1.5260527908435697,,
1993,,3567.161773803796,4760.179144740486,8456.67930893906,0.8653938346584255,1.537412335358298,,
1994,,3758.361773803796,5039.103609611528,8977.803393596974,0.8679190392120799,1.5463080538259333,,
1995,,3979.961773803796,5352.00432043499,9530.43269703201,0.8721450152326589,1.553047955882676,,
1996,,4245.961773803796,5657.812458290044,10053.447802744928,0.87696261440043,1.5582874006216272,,
1997,,4538.161773803796,6010.76351989286,10645.467618064265,0.8823561454842265,1.5627122483301028,,
1998,,4855.761773803796,6392.930342530286,11273.091065707426,0.8882344560239329,1.5662845321248637,,
1999,,5200.061773803796,6820.8096947881095,11967.667396537861,0.894928212442352,1.5702246022890924,,
2000,,5571.061773803796,7358.470947300596,12840.566656941339,0.9023675563137056,1.5746356598931714,,
2001,,5981.461773803796,7789.9967768644,13620.733166343192,0.9069789057872851,1.5858437451373508,,
2002,,6304.461773803796,8079.8634754946725,14281.23387252014,0.9077641246715885,1.6044815367037861,,
2003,,6497.761773803796,8328.17365576649,14892.479153434093,0.9073428997045978,1.6225148246651833,,
2004,,6682.461773803796,8958.441220393472,16199.660108377739,0.9044501507871036,1.635528399111217,,
2005,,6914.561773803796,9708.448126981471,17723.462355358093,0.9005300747327715,1.6439816817928956,,
2006,,7225.3617738037965,10478.50360494466,19265.16196987102,0.8968229667972996,1.6488460914874574,,
2007,,7629.661773803797,11015.545141571272,20353.55816995345,0.8943050955466532,1.652418518553516,,
2008,,8093.061773803796,11694.580884627594,21776.885775207476,0.8899078762583054,1.6571284052777502,,
2009,,8536.261773803797,11238.499630906794,21294.719040537588,0.8846336157237202,1.6762045574878526,,
2010,,8701.361773803797,11406.91836245093,21982.081961583935,0.8777074651801617,1.691415404654378,,
2011,,8876.561773803798,11797.97007262885,23023.968602353023,0.8719073699807376,1.7015442306613342,,
2012,,,,,,,,
2013,,,,,,,,
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
2021,,,,,,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
