Year,"Book Value of Total Corporate Assets (incl. land) less Reserves [1]; Source: HS 1975, Series V 115, pp. 924-926",KTHcorpirs relative to its initial value,KNHcorbea relative to its initial value; Source: Appendix Table 6.8B1,Adjusted KNCcorp; Source: See text at top of sheet,Adjusted KNRcorp; Source: See text at top of sheet,Adjusted KNHcorp; Source: See text at top of sheet,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S212A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
1940,100214.0,1.0736273032139032,1.166184971098266,105.32283844528389,1507.341549133671,74.2950093824021,,
1941,100698.0,1.078812562905718,1.2023121387283238,105.83151242105092,1514.6215031299257,74.65382935307568,,
1942,99772.0,1.0688920040738574,1.2138728323699421,104.8583055996454,1500.6933266825454,73.96732668191093,,
1943,97728.0,1.0469939238877635,1.2153179190751444,102.71010393338959,1469.9490581529064,72.45197953303324,,
1944,95128.0,1.0191392230639649,1.2341040462427744,99.97755778257495,1430.8418672639334,70.52443423602637,,
1945,92057.0,0.9862385360524706,1.283236994219653,96.75000038674736,1384.6502583331503,68.24770669483097,,
1946,100329.0,1.0748593380580327,1.3815028901734103,105.443701063493,1509.0712902691446,74.38026619361587,,
1947,112194.0,1.2019731939327905,1.5216763005780345,117.91357032480674,1687.5354517682467,83.1765450201491,,
1948,125650.0,1.3461319840424186,1.6791907514450868,132.6790727817832,1702.9506167817888,95.77654502014911,,
1949,135617.0,1.4529119083158033,1.8020231213872833,138.24071474080273,1704.9416240913363,105.97654502014912,,
1950,144691.0,1.5501248141908603,1.9364161849710981,157.62852529401968,1710.7838509518574,116.87654502014912,,
1951,159325.0,1.7069039264429633,2.115606936416185,174.52509508108457,1731.0639846621382,130.87654502014914,,
1952,169546.0,1.8164050407199037,2.297687861271676,187.6470054474738,1751.9064197343089,145.07654502014913,,
1953,180612.0,1.9349589327645786,2.495664739884393,200.04818180776377,1781.2866867916402,160.57654502014913,,
1954,191437.0,2.050930908309817,2.6690751445086702,208.42453588578124,1802.8943848610843,174.57654502014913,,
1955,206388.0,2.211106151393129,2.8656069364161847,231.63074619955412,1831.9122290922735,190.07654502014913,,
1956,225862.0,2.4197378605633806,3.125722543352601,260.0760630214572,1878.5419723141858,210.17654502014912,,
1957,244463.0,2.6190168182647175,3.4060693641618496,282.1494145935728,1927.7925983766904,232.07654502014913,,
1958,259613.0,2.781324017295698,3.5968208092485545,289.69138846883925,1947.3494151168277,248.07654502014913,,
1959,275772.0,2.9544409829156058,3.8121387283236987,304.42983749353493,1974.40832882387,265.2765450201491,,
1960,293215.0,3.141313885403882,4.059248554913294,312.61014025750876,2014.4580422282,283.87654502014914,,
1961,310266.0,3.323987156075647,4.284682080924855,321.9175464872374,2048.9518564827204,301.2765450201491,,
1962,333992.4528133036,3.5781768655850876,4.53757225433526,334.3294258339792,2097.0533116931497,321.0765450201491,,
1963,342026.0,3.664243039984817,4.800578034682081,347.3337766832103,2151.4779217331147,341.87654502014914,,
1964,365551.0,3.9162745157078405,5.122832369942197,369.7811391065325,2228.3024382769745,367.17654502014915,,
1965,395297.0,4.234953719825038,5.543352601156069,400.009371190676,2342.7366700713487,400.0765450201492,,
1966,432034.0,4.62852992911884,6.050578034682081,441.06170689862415,2486.635085049666,440.0765450201492,,
1967,467446.0,5.007910954338977,6.533236994219653,482.69379367733995,2613.6470840853704,478.97654502014916,,
1968,504865.0,5.408793665925791,7.0621387283237,535.7669998366205,2744.7203874731053,521.2765450201491,,
1969,561306.0,6.013465654078105,7.6618497109826595,595.4111587393223,2889.1032434161584,568.9765450201492,,
1970,599465.0,6.422276242053231,8.24421965317919,660.0082194553752,3015.189639115376,615.9765450201492,,
1971,,,8.826589595375722,728.0561900232797,3125.6394149383805,662.8765450201491,,
1972,,,9.518786127167628,795.5806463073883,3257.0135532500462,717.9765450201492,,
1973,,,10.40028901734104,905.1470932422044,3426.5495624653877,788.4765450201492,,
1974,,,11.433526011560692,1112.967142133053,3577.0633913578254,871.3765450201491,,
1975,,,12.420520231213871,1239.9425982142627,3680.959765234723,951.5765450201492,,
1976,,,13.521676300578031,1365.5208029982418,3785.3221561762457,1040.4765450201492,,
1977,,,14.911849710982656,1524.5716049491912,3920.3884308641495,1152.1765450201492,,
1978,,,16.73121387283237,1739.3585072042215,4097.912565324696,1297.9765450201492,,
1979,,,18.952312138728324,2010.474141529709,4296.3341801049255,1476.2765450201491,,
1980,,,21.323699421965316,2318.0229600561483,4478.624304134781,1668.576545020149,,
1981,,,24.037572254335256,2626.4198746206644,4658.865913320518,1887.176545020149,,
1982,,,26.52745664739884,2790.5906393417913,4795.358897215909,2093.776545020149,,
1983,,,28.73410404624277,2873.7902804724745,4914.51002205763,2280.876545020149,,
1984,,,31.547687861271672,3050.9877977155857,5107.239642927209,2509.676545020149,,
1985,,,34.46531791907514,3229.8052230851918,5315.8864846004935,2751.176545020149,,
1986,,,36.963872832369944,3381.6988677770983,5480.5214890267725,2964.5765450201493,,
1987,,,39.21820809248555,3562.3677517358155,5616.0555133117,3157.276545020149,,
1988,,,41.656069364161844,3794.1345024126667,5760.355729190624,3361.0765450201493,,
1989,,,44.375722543352595,4026.0676280906564,5916.564149977423,3585.276545020149,,
1990,,,47.258670520231206,4267.452171662989,6095.934897959919,3822.876545020149,,
1991,,,49.61271676300578,4378.866396135557,6225.777108271413,4021.976545020149,,
1992,,,51.932080924855484,4537.040182182915,6348.970613365323,4214.676545020149,,
1993,,,54.69508670520231,4762.924985922399,6511.187341742318,4440.576545020149,,
1994,,,57.897398843930624,5041.663839183284,6710.173395553125,4706.4765450201485,,
1995,,,61.74132947976877,5354.380678958654,6967.024608505701,5027.076545020149,,
1996,,,65.96387283236993,5659.998161322698,7263.118995689005,5383.176545020149,,
1997,,,70.55346820809247,6012.776520802989,7596.500401281991,5774.376545020149,,
1998,,,75.52890173410404,6394.779633517761,7971.1868317040835,6202.376545020149,,
1999,,,80.89017341040461,6822.509021583856,8385.429577124498,6666.276545020149,,
2000,,,86.8208092485549,7360.045670242368,8841.468305936409,7177.376545020148,,
2001,,,91.48843930635836,7791.451621760327,9172.298290186085,7593.776545020148,,
2002,,,94.28179190751443,8081.207155757907,9322.279462839753,7851.476545020148,,
2003,,,96.9508670520231,8329.410323754952,9444.941642526084,8074.576545020147,,
2004,,,100.30491329479767,8959.628925720437,9566.336377339909,8342.776545020148,,
2005,,,104.79624277456647,9709.59404417735,9713.313417219935,8700.876545020148,,
2006,,,110.63872832369941,10479.599600732467,9904.65211194424,9165.976545020148,,
2007,,,117.33526011560693,11016.561827553665,10138.532789124325,9706.876545020148,,
2008,,,123.73988439306356,11695.539196962915,10310.29645540213,10229.676545020147,,
2009,,,126.1257225433526,11239.334543815045,10264.319630331647,10447.576545020147,,
2010,,,128.65751445086704,11407.68674967562,10212.892549106069,10643.176545020147,,
2011,,,132.61416184971097,11798.685153439235,10236.166221529369,10940.876545020148,,
2012,,,,,,,,
2013,,,,,,,,
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
2021,,,,,,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
