Year,"[Noncorporate Sector] Proprietorships and Partnerships Income w/IVA and CCAdj; Source: T 1.13, line 23","[Noncorporate Sector] Employee Compensation, Proprietorships and Partnerships; Source: ECbusnipa (Appendix Table 6.8.1)  - ECcorpnipa (T 1.14, line 4)","[Noncorporate Sector] No. of Proprietors and Partners (Self-Employed Persons); Source: T 6.7, line 1 (Thousands-$)","[Noncorporate Sector] Private Sector Employee Compensation per Full Time Equivalent Employee (FEE); Source: T 6.2, line 3/Table 6.3, line 3 ($)",[Noncorporate Sector] Estimated Wage Equivalent of Prop & Partner's Income using SEP times Average Private Sector EC per FTE; Source: ecpriv*SEP,[Noncorporate Sector] Noncorporate Profit Estimate 1; Source: PropInc - WEQ1,"[Noncorporate Sector] Corporate Wage-Profit Ratio; Source: T1.14, line 4 ÷ line 11","[Noncorporate Sector] Employee Compensation, Proprietorships and Partnerships; Source: Ecbusnipa -Eccorpnipa (NIPA Table 1.14, 4)",[Noncorporate Sector] Estimated Wage Equivalent of Prop & Partner's Income using Corp Wage/Profit ratio; Source: (σ∙PropInc - ECprop)/(1+σ),[Noncorporate Sector] Noncorporate Profit Estimate 2; Source: PropInc - WEQ2,"[Corporate Sector] NIPA Corporate GVA; Source: T 1.14, line 1","[Corporate Sector] NIPA Corporate VA; Source: T 1.14, line 3","[Corporate Sector] NIPA Corporate GOS; Source: T 1.14, line 2 + line 8","[Corporate Sector] NIPA Corporate NOS; Source: T 1.14, line 8",[Corporate Sector] Corp Net interest,[Corporate Sector] Business net transfer payments,"[Corporate Sector] NIPA Corp Profits w/IVA & CCAdj; Source: T 1.14, line 11","BEA T1.13 line 23: Proprietors' Income, post-2011","Corporate wage-profit ratio sigma = ECcorp/Pcorp, from BEA T1.14","WEQ2 = (sigma*PropInc - ECprop)/(1+sigma), BEA-derived post-2011","Noncorporate Profit Est. 2 = PropInc - WEQ2, BEA-derived post-2011","NIPA Corporate GVA, BEA T1.14 line 1, post-2011","NIPA Corporate NOS, BEA T1.14 line 8, post-2011","NIPA Corp Profits w/IVA & CCAdj, BEA T1.14 line 11, post-2011",Spliced Shaikh sigma (1947-2011) + BEA-derived (post-2011),Spliced Shaikh WEQ2 (1947-2011) + BEA-derived (post-2011),Spliced Shaikh Corp NOS (1947-2011) + BEA T1.14 (post-2011),Spliced Shaikh Corp Profit (1947-2011) + BEA T1.14 (post-2011)
1958,50.2,36.468000000000075,8611.0,4823.44780532181,41.53470905162611,8.665290948373894,4.110275689223058,36.468000000000075,33.240445316331524,16.95955468366848,251.8,229.10000000000002,64.7,42.0,0.6,1.5,39.9,,,,,,,,4.1102756892,33.2404453163,42.0,39.9
1959,50.3,38.33099999999999,8428.0,5096.462030199493,42.95298199052133,7.347018009478667,3.528375733855186,38.33099999999999,30.727640017286085,19.572359982713913,281.9,258.2,76.1,52.4,-0.2,1.5,51.1,,,,,,,,3.5283757339,30.7276400173,52.4,51.1
1960,50.7,38.266999999999996,8305.0,5271.479079452531,43.779633754853265,6.920366245146738,3.8139999999999996,38.266999999999996,32.21911092646448,18.480889073535522,293.9,269.9,75.3,51.3,-0.2,1.6,50.0,,,,,,,,3.814,32.2191109265,51.3,50.0
1961,53.2,37.79599999999999,8177.0,5439.2275487166,44.476563665855636,8.723436334144367,3.8428290766208253,37.79599999999999,34.41015659229209,18.789843407707913,302.1,277.5,77.6,53.0,0.4,1.8,50.9,,,,,,,,3.8428290766,34.4101565923,53.0,50.9
1962,55.3,38.73599999999993,8009.0,5684.833311935636,45.52982999529251,9.770170004707488,3.6006825938566553,38.73599999999993,34.86042433234423,20.439575667655767,329.0,303.5,86.8,61.3,0.7,2.0,58.6,,,,,,,,3.6006825939,34.8604243323,61.3,58.6
1963,56.5,39.77999999999997,7722.0,5896.1587167581265,45.53013761080626,10.969862389193743,3.463452566096423,39.77999999999997,34.9292543554007,21.5707456445993,349.5,322.8,93.7,67.0,0.4,2.4,64.3,,,,,,,,3.4634525661,34.9292543554,67.0,64.3
1964,59.4,41.89499999999998,7652.0,6190.908714723165,47.37283348506166,12.027166514938337,3.3642756680731365,41.89499999999998,36.1899629390912,23.210037060908796,377.7,349.5,102.9,74.7,0.8,2.9,71.1,,,,,,,,3.3642756681,36.1899629391,74.7,71.1
1965,63.9,43.19700000000006,7526.0,6408.61774405022,48.231257141721954,15.668742858278044,3.177261613691931,43.19700000000006,38.26191220368743,25.63808779631257,414.4,384.0,116.69999999999999,86.3,1.2,3.3,81.8,,,,,,,,3.1772616137,38.2619122037,86.3,81.8
1966,68.2,45.80600000000004,7271.0,6742.1249029227365,49.021990169151216,19.178009830848787,3.278409090909091,45.80600000000004,41.55317928286852,26.646820717131483,454.1,420.70000000000005,126.69999999999999,93.3,2.3,3.0,88.0,,,,,,,,3.2784090909,41.5531792829,93.3,88.0
1967,69.8,46.762,7188.0,7016.073776411548,50.431538304846214,19.368461695153783,3.6112412177985944,46.762,44.52220721178262,25.277792788217376,479.3,442.5,129.5,92.7,4.0,3.3,85.4,,,,,,,,3.6112412178,44.5222072118,92.7,85.4
1968,74.2,48.750999999999976,7115.0,7516.429383424457,53.47939506306501,20.72060493693499,3.7259825327510923,48.750999999999976,48.1840341880342,26.015965811965806,529.1,488.5,140.0,99.4,3.9,3.8,91.6,,,,,,,,3.7259825328,48.184034188,99.4,91.6
1969,77.5,50.763000000000034,7199.0,8051.907968574635,57.96568546576879,19.534314534231207,4.30716723549488,50.763000000000034,53.33211639871382,24.167883601286178,576.7,531.6,145.1,100.0,7.8,4.4,87.9,,,,,,,,4.3071672355,53.3321163987,100.0,87.9
1970,78.5,51.98900000000009,7097.0,8575.591470099373,60.86097266329525,17.63902733670475,5.3076923076923075,51.98900000000009,57.81271951219511,20.68728048780489,597.8,547.8,140.6,90.6,11.3,3.9,75.4,,,,,,,,5.3076923077,57.8127195122,90.6,75.4
1971,84.7,52.56099999999998,7142.0,9144.023769704301,65.30661776322812,19.393382236771885,4.821995464852607,52.56099999999998,61.12371918208375,23.576280817916256,646.1,591.3000000000001,158.0,103.2,11.5,3.5,88.2,,,,,,,,4.8219954649,61.1237191821,103.2,88.2
1972,96.0,55.01400000000001,7234.0,9770.278189527387,70.67819242304112,25.321807576958875,4.636898920510304,55.01400000000001,69.20973781337047,26.790262186629533,716.7,657.0,176.9,117.2,11.3,4.0,101.9,,,,,,,,4.6368989205,69.2097378134,117.2,101.9
1973,113.6,61.5150000000001,7316.0,10446.78938076244,76.42871110965802,37.17128889034197,4.8713503649635035,61.5150000000001,83.77466355866353,29.82533644133646,802.6,735.7,194.5,127.6,13.0,5.0,109.6,,,,,,,,4.871350365,83.7746635587,127.6,109.6
1974,113.5,66.05999999999983,7527.0,11309.265381824047,85.1248405289896,28.375159471010406,6.012282497441146,66.05999999999983,87.89350167858709,25.606498321412914,869.9,791.1,203.8,125.0,20.7,6.6,97.7,,,,,,,,6.0122824974,87.8935016786,125.0,97.7
1975,119.6,69.77800000000002,7506.0,12302.350801675093,92.34144511737324,27.258554882626754,5.180286436394271,69.77800000000002,88.95773091603053,30.642269083969467,944.4,850.0,245.1,150.7,23.4,8.6,118.7,,,,,,,,5.1802864364,88.957730916,150.7,118.7
1976,132.2,75.99900000000002,7495.0,13328.69201704317,99.89854666773856,32.30145333226143,4.791178497587871,75.99900000000002,96.24894097346184,35.95105902653815,1062.9,958.4000000000001,276.2,171.7,18.8,7.9,145.1,,,,,,,,4.7911784976,96.2489409735,171.7,145.1
1977,146.0,81.66799999999989,7758.0,14353.17276516906,111.35191431218156,34.64808568781844,4.544296467863347,81.66799999999989,104.93653932114884,41.06346067885116,1205.1,1087.1,320.3,202.3,23.3,6.3,172.7,,,,,,,,4.5442964679,104.9365393211,202.3,172.7
1978,167.5,90.29499999999996,8118.0,15504.676715646932,125.8669655776218,41.6330344223782,4.610429447852761,90.29499999999996,121.55075451066158,45.94924548933842,1376.1,1241.8999999999999,365.5,231.3,27.5,8.2,195.6,,,,,,,,4.6104294479,121.5507545107,231.3,195.6
1979,181.1,100.81399999999985,8416.0,16870.94689519528,141.9858890699635,39.1141109300365,5.359202936549554,100.81399999999985,136.768343530964,44.331656469036005,1529.0,1373.9,392.0,236.9,34.9,11.3,190.7,,,,,,,,5.3592029365,136.768343531,236.9,190.7
1980,173.5,108.61400000000003,8658.0,18551.56571492996,160.6194559598636,12.880544040136414,6.747590361445782,108.61400000000003,137.08687193841848,36.41312806158152,1663.0,1483.2,414.3,234.5,55.9,12.6,166.0,,,,,,,,6.7475903614,137.0868719384,234.5,166.0
1981,181.6,115.89499999999998,8753.0,20228.07139577913,177.05630892725475,4.543691072745247,6.404958677685951,115.89499999999998,141.42489397321427,40.17510602678573,1889.0,1680.9,494.5,286.4,77.7,15.1,193.6,,,,,,,,6.4049586777,141.4248939732,286.4,193.6
1982,174.8,121.58400000000006,8923.0,21865.39289095447,195.10490076598674,-20.30490076598673,7.474292316580011,121.58400000000006,139.82551612243506,34.97448387756495,1967.3,1735.8999999999999,512.2,280.8,90.0,17.7,173.1,,,,,,,,7.4742923166,139.8255161224,280.8,173.1
1983,190.7,127.84600000000023,9213.0,22943.665975044765,211.37999462808745,-20.679994628087456,6.0814056939501775,127.84600000000023,145.716558326528,44.98344167347199,2116.7,1876.2999999999997,572.1,331.7,86.6,20.3,224.8,,,,,,,,6.081405694,145.7165583265,331.7,224.8
1984,233.1,140.58399999999983,9412.0,23992.96039550755,225.82174324251704,7.27825675748295,5.368439716312057,140.58399999999983,174.4225190712178,58.67748092878219,2371.3,2118.4,661.8,408.9,98.8,28.0,282.0,,,,,,,,5.3684397163,174.4225190712,408.9,282.0
1985,246.1,151.16999999999962,9327.0,25051.454811868753,233.65491903029985,12.445080969700143,5.5108695652173925,151.16999999999962,185.08357262103513,61.01642737896486,2526.5,2254.8,695.0,423.3,96.9,31.9,294.4,,,,,,,,5.5108695652,185.083572621,423.3,294.4
1986,262.6,158.79700000000003,9369.0,26145.202978126967,244.95440670207154,17.645593297928485,6.262832180560612,158.79700000000003,204.5789705277931,58.02102947220692,2640.6,2350.7999999999997,700.6,410.8,106.3,29.9,274.7,,,,,,,,6.2628321806,204.5789705278,410.8,274.7
1987,294.2,165.66100000000029,9665.0,27187.430582421286,262.76651657910173,31.433483420898256,5.7535959974984365,165.66100000000029,226.1087194184646,68.09128058153539,2832.6,2526.1,759.2,452.7,107.6,25.3,319.8,,,,,,,,5.7535959975,226.1087194185,452.7,319.8
1988,334.8,185.35899999999992,9956.0,28566.181012244306,284.4048981579043,50.3951018420957,5.358225108225108,185.35899999999992,252.99116323404257,81.80883676595744,3065.5,2736.7,833.1,504.3,107.8,26.9,369.6,,,,,,,,5.3582251082,252.991163234,504.3,369.6
1989,351.6,198.6359999999995,10070.0,29462.79763659736,296.6903722005354,54.9096277994646,5.8267299107142865,198.6359999999995,270.9997701393715,80.60022986062853,3229.5,2878.7,873.5999999999999,522.8,130.0,34.4,358.4,,,,,,,,5.8267299107,270.9997701394,522.8,358.4
1990,365.1,212.0709999999999,10132.0,30902.724235415062,313.10640195322543,51.99359804677459,6.140066964285714,212.0709999999999,284.26448362641656,80.83551637358346,3377.0,3004.0,891.9,518.9,125.8,34.8,358.4,,,,,,,,6.1400669643,284.2644836264,518.9,358.4
1991,367.3,215.57000000000062,10373.0,32313.30073873167,335.18586856286356,32.11413143713645,5.90703781512605,215.57000000000062,282.91216029199296,84.38783970800705,3467.4,3075.3,910.1,518.0,102.6,34.6,380.8,,,,,,,,5.9070378151,282.912160292,518.0,380.8
1992,414.9,226.35600000000022,10040.0,34127.186839793954,342.6369558715313,72.26304412846866,5.614511935712597,226.35600000000022,317.9531645822911,96.94683541770888,3642.2,3240.2,940.8,538.8,80.6,35.1,423.1,,,,,,,,5.6145119357,317.9531645823,538.8,423.1
1993,449.6,240.10699999999997,10505.0,35033.352688421786,368.0253699918709,81.57463000812913,5.330334190231362,240.10699999999997,340.64730030456855,108.95269969543148,3823.2,3403.1,993.0,572.9,73.5,32.7,466.8,,,,,,,,5.3303341902,340.6473003046,572.9,466.8
1994,485.1,253.94000000000005,10564.0,35902.41735002643,379.2731368856792,105.82686311432082,4.787933854261313,253.94000000000005,357.413675551788,127.68632444821202,4110.5,3665.6,1103.4,658.5,75.0,33.2,550.3,,,,,,,,4.7879338543,357.4136755518,658.5,550.3
1995,516.0,268.47099999999955,10514.0,36687.894341103005,385.73652110235696,130.26347889764304,4.454428754813864,268.47099999999955,372.177239585785,143.822760414215,4357.5,3880.7,1202.4,725.6,64.7,37.7,623.2,,,,,,,,4.4544287548,372.1772395858,725.6,623.2
1996,583.7,284.7640000000006,10524.0,37681.549426315956,396.5606261625491,187.13937383745093,4.167119370979271,284.7640000000006,415.624920318725,168.07507968127504,4625.0,4119.0,1319.4,813.4,69.3,44.6,699.5,,,,,,,,4.167119371,415.6249203187,813.4,699.5
1997,628.2,303.44100000000026,10544.0,39164.190693100056,412.947226668047,215.25277333195305,4.018911617136241,303.44100000000026,442.57389795447557,185.62610204552448,4978.9,4438.0,1448.1999999999998,907.3,94.8,35.2,777.3,,,,,,,,4.0189116171,442.5738979545,907.3,777.3
1998,687.5,330.2030000000009,10341.0,41314.997285286256,427.2383869271452,260.2616130728548,4.786247710300127,330.2030000000009,511.616931912821,175.88306808717903,5299.3,4721.0,1484.0,905.7,142.2,53.8,709.7,,,,,,,,4.7862477103,511.6169319128,905.7,709.7
1999,746.8,360.5170000000003,10121.0,43114.70198675497,436.36389880794707,310.4361011920529,4.938214480130648,360.5170000000003,560.3269442178117,186.47305578218823,5624.5,4998.7,1554.4,928.6,139.0,54.9,734.8,,,,,,,,4.9382144801,560.3269442178,928.6,734.8
2000,817.5,390.64699999999993,10233.0,45772.43654286892,468.38934314317765,349.11065685682235,5.865053444180522,390.64699999999993,641.5149170252795,175.9850829747205,6016.4,5331.299999999999,1599.2,914.1,166.6,73.8,673.6,,,,,,,,5.8650534442,641.5149170253,914.1,673.6
2001,870.7,462.09700000000066,10133.0,47025.970913344005,476.5141632649148,394.1858367350852,6.486899918633035,462.09700000000066,692.6827946834177,178.01720531658236,6034.7,5304.4,1586.0,855.7,154.2,87.0,614.5,,,,,,,,6.4868999186,692.6827946834,855.7,614.5
2002,890.3,493.0770000000002,9963.0,48345.15522931493,481.6627815496646,408.63721845033535,5.5728685426291475,493.0770000000002,679.8322276677316,210.4677723322684,6122.7,5366.8,1649.8,893.9,116.2,63.5,714.3,,,,,,,,5.5728685426,679.8322276677,893.9,714.3
2003,930.6,533.1810000000005,10297.0,50538.674655153845,520.3967329241192,410.20326707588083,5.056034482758621,533.1810000000005,688.8938135231316,241.70618647686842,6360.7,5585.2,1737.9,962.4,99.4,50.9,812.0,,,,,,,,5.0560344828,688.8938135231,962.4,812.0
2004,1033.8,588.5650000000005,10429.0,52347.31605334985,545.9301591203856,487.86984087961434,4.094346866301947,588.5650000000005,715.3362120841025,318.46378791589746,6774.2,5965.0,1954.6000000000001,1145.4,48.6,54.9,1041.9,,,,,,,,4.0943468663,715.3362120841,1145.4,1041.9
2005,1069.8,642.3470000000007,10453.0,54139.364604251125,565.9187782082371,503.88122179176287,3.697599868485945,642.3470000000007,705.3272803275531,364.47271967244683,7297.9,6435.0,2202.7,1339.8,61.6,61.6,1216.6,,,,,,,,3.6975998685,705.3272803276,1339.8,1216.6
2006,1133.0,712.5430000000006,10589.0,56256.745221748,595.7026751530897,537.2973248469103,3.509729929707732,712.5430000000006,723.7641857126449,409.2358142873551,7823.3,6897.400000000001,2446.2,1520.3,120.4,48.4,1351.5,,,,,,,,3.5097299297,723.7641857126,1520.3,1351.5
2007,1090.4,781.262999999999,10419.0,58413.320238281,608.6083835626497,481.7916164373504,4.262890153474737,781.262999999999,734.7659385966354,355.63406140336474,7965.6,6992.200000000001,2369.9,1396.5,164.2,72.6,1159.8,,,,,,,,4.2628901535,734.7659385966,1396.5,1159.8
2008,1097.9,797.9680000000017,10063.0,60165.86594092217,605.4491089634998,492.45089103650025,5.970420527441197,797.9680000000017,825.9123928626207,271.9876071373794,7999.0,6970.5,2312.2,1283.7,338.7,103.2,841.8,,,,,,,,5.9704205274,825.9123928626,1283.7,841.8
2009,979.4,761.3919999999989,9829.0,60920.857419062086,598.7911075719613,380.60889242803864,4.759575543203638,761.3919999999989,677.1568942464602,302.2431057535398,7659.9,6629.5,2313.8,1283.4,189.8,104.0,989.5,,,,,,,,4.7595755432,677.1568942465,1283.4,989.5
2010,1103.4,776.8859999999995,9681.0,62664.34379784083,606.653512306897,496.74648769310306,3.6958259666384805,776.8859999999995,702.9835422014145,400.4164577985856,8086.7,7060.2,2619.8,1593.3,182.6,109.8,1300.9,,,,,,,,3.6958259666,702.9835422014,1593.3,1300.9
2011,1157.3,811.2930000000006,9449.0,64560.32504126501,610.030511314913,547.2694886850869,3.6436856134284277,811.2930000000006,733.3709996586977,423.9290003413023,8493.4,7431.5,2741.5,1679.6,183.4,108.1,1388.1,,,,,,,,3.6436856134,733.3709996587,1679.6,1388.1
2012,,,,,,,,,,,,,,,,,,1294.329,3.1365002996,775.1582509545,519.1707490455,9173.994,1856.116,1652.37,3.1365002996,775.1582509545,1856.116,1652.37
2013,,,,,,,,,,,,,,,,,,1345.962,3.1841748608,813.5176113293,532.4443886707,9456.941,1875.859,1682.298,3.1841748608,813.5176113293,1875.859,1682.298
2014,,,,,,,,,,,,,,,,,,1363.602,3.1240881968,807.4870112136,556.1149887864,10046.512,2061.056,1807.956,3.1240881968,807.4870112136,2061.056,1807.956
2015,,,,,,,,,,,,,,,,,,1341.528,3.346502783,807.5239468492,534.0040531508,10489.514,2117.61,1777.928,3.346502783,807.5239468492,2117.61,1777.928
2016,,,,,,,,,,,,,,,,,,1343.388,3.5430906152,826.2886583769,517.0993416231,10684.384,2093.04,1724.401,3.5430906152,826.2886583769,2093.04,1724.401
2017,,,,,,,,,,,,,,,,,,1423.097,3.7258545955,897.8980485372,525.1989514628,11132.703,2106.659,1726.343,3.7258545955,897.8980485372,2106.659,1726.343
2018,,,,,,,,,,,,,,,,,,1489.525,3.6759907556,932.2478442155,557.2771557845,11796.349,2273.961,1844.577,3.6759907556,932.2478442155,2273.961,1844.577
2019,,,,,,,,,,,,,,,,,,1549.003,3.667249481,966.3840114724,582.6189885276,12332.556,2339.171,1938.296,3.667249481,966.3840114724,2339.171,1938.296
2020,,,,,,,,,,,,,,,,,,1592.847,3.6454741812,995.9417013355,596.9052986645,12095.295,2380.724,1966.263,3.6454741812,995.9417013355,2380.724,1966.263
2021,,,,,,,,,,,,,,,,,,1811.196,2.9222307889,1018.5177561911,792.6782438089,13818.844,3100.089,2697.79,2.9222307889,1018.5177561911,3100.089,2697.79
2022,,,,,,,,,,,,,,,,,,1861.278,2.9192277827,1029.1497237074,832.1282762926,15322.598,3350.735,2913.118,2.9192277827,1029.1497237074,3350.735,2913.118
2023,,,,,,,,,,,,,,,,,,1933.279,2.8498430468,1047.9272253499,885.3517746501,16125.928,3523.348,3144.25,2.8498430468,1047.9272253499,3523.348,3144.25
2024,,,,,,,,,,,,,,,,,,2011.841,2.8238236736,1079.1372744978,932.7037255022,16961.079,3683.673,3344.161,2.8238236736,1079.1372744978,3683.673,3344.161
