Year,"BEA 1993 Current-Cost Net stock; Source: BEA 1993, Table A13","BEA 1993 Constant-Cost Net stock (1987-$); Source: BEA 1993, Table A12","BEA 1993 Implicit Price Deflator, Net Stock (1985 = 100); Source: KNCbea93*100/KNRbea93","BEA 1993 Current-Cost Corporate Depreciation; Source: BEA 1993, Table A13","BEA 1993 Depreciation Rate, Net Stock; Source: DEPcorp*100/[pKN*KNR(-1)]","BEA 2011 Chain Index Net Stock Deflator, 2005 = 100; Source: Appendix Table 6.8.II.1",BEA 2011 Current-Cost Gross Investment; Source: Appendix Table 6.8.II.1,New Net Current Cost Corp Stock; Source: KNCnew = IGC + (1-dcorpnew)* (pKN/pKN(-1))*KNCnew(-1),"BEA 1993 Current-Cost Gross stock; Source: BEA 1993, Table A13","BEA 1993 Constant-Cost Gross stock (1987-$); Source: BEA 1993, Table A12","BEA 1993 Implicit Price Deflator, Gross Stock; Source: KGCbea93*100/KGRbea93","BEA 1993 Current-Cost Corporate Retirements (Discards); Source: BEA 1993, Table A13","BEA 1993 Retirement Rate, Gross Stock; Source: RETcorp/[pKG*KGR(-1)]",New Gross Current Cost Corp Stock; Source: KGCnew = IGC + (1-rcorpnew)*(pKN/pKN(-1))*KGCnew(-1),Ratio of New Current-Cost Net Stock to BEA Net Stock,Ratio of New Current-Cost Net Stock to BEA Net Stock,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S211A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
1936,64.147,760.488,8.434978592693113,4.435,0.06833457914343127,6.27882380658169,4.1,76.12454536477391,133.765,1586.129,8.433425024068029,3.877,0.02888995370425354,111.41167890536339,0.8274407104866729,1.2109965098409063,,
1937,67.517,759.942,8.884493816633375,4.919,0.07280341772487296,6.428711528949268,5.4,77.66735773712426,140.484,1588.158,8.845719380565411,4.385,0.03125344777875666,115.90617095297895,0.815833589675675,1.2175017957245688,,
1938,66.281,745.033,8.896384455453651,4.999,0.07394165154781916,6.367316082388961,4.1,75.33761201026756,139.427,1575.011,8.852446109900184,4.582,0.03259103004423221,115.15781883209442,0.8023174867973116,1.226387846987161,,
1939,66.356,733.611,9.045120642956553,4.939,0.07329074778531619,6.4016883009801395,4.4,74.59294505202064,140.596,1563.651,8.991520486348936,4.627,0.032672530353105154,116.3966587505598,0.7901795026697102,1.2330154528660995,,
1940,69.879,732.947,9.533977217998029,5.107,0.07301732414384035,6.72293586678971,5.6,78.21624970067333,147.741,1561.845,9.459389376026431,4.767,0.032228658033566594,123.89808519809283,0.7813811158908425,1.2377431088720563,,
1941,76.541,740.909,10.330688384133543,5.558,0.07340349001543692,7.412550165011831,6.8,86.70911593161935,160.425,1567.567,10.234012326107912,5.181,0.032413783346711994,138.97914700396248,0.7734979119680585,1.239778296199487,,
1942,80.512,728.618,11.049960335868725,6.136,0.0749479505432249,7.899319359964007,5.2,90.67772495400968,170.762,1555.591,10.977307017075827,5.719,0.03323519057523294,148.38334434956755,0.7626385614298543,1.2479675723260517,,
1943,81.242,709.837,11.445162762718766,6.263,0.07510356327630643,8.018249018587323,4.5,89.63018737561302,174.908,1535.969,11.387469408562282,6.0,0.03387104573462266,150.01578974825117,0.7513008162247529,1.2574668042602781,,
1944,82.345,701.423,11.739706282799395,6.356,0.07627250746847952,8.090449605810713,5.8,89.33938835148243,178.379,1525.874,11.6902837324707,6.228,0.03468495228456178,151.91646815507062,0.7432561426912015,1.2638641277460119,,
1945,90.328,711.493,12.695557089106991,6.487,0.07284707739510794,8.694719318353302,8.1,97.11788183800748,194.582,1534.589,12.679746824719844,6.514,0.03366809152799198,165.8662435600788,0.7402277579116424,1.2642244173786494,,
1946,109.554,741.333,14.777974270671884,7.57,0.0719963271564506,10.186284027201914,12.0,117.58667447330498,231.343,1565.906,14.773747594044599,7.244,0.0319518262487178,200.11143392440735,0.7376830268086887,1.2554042278821038,,
1947,131.622,777.865,16.920931009879606,9.221,0.07350898639159446,11.687301316453992,15.7,140.69647873779036,270.887,1602.502,16.904003863957737,8.553,0.032311952411090195,237.88039792077836,0.7401182469110488,1.251343492481738,,
1948,146.79,815.055,18.009827557649484,10.706,0.07642112974974527,12.328702827178615,17.8,154.87566462906798,294.768,1642.425,17.947120873099227,9.687,0.03368184955999165,260.283357493585,0.7442367353631331,1.2507609682536522,,
1949,155.144,838.928,18.49312455896096,11.503,0.07631570296704236,12.277109759362501,16.2,158.65755876192284,306.807,1670.512,18.36604585899413,10.077,0.03340642847966885,266.73537553463984,0.7476793532607109,1.2569998847061257,,
1950,171.295,866.531,19.767902129294857,12.337,0.07439166738216897,13.416174233016012,17.8,178.2798738926147,334.333,1705.878,19.5988810454206,10.33,0.031551458867176814,300.08624575034855,0.7487604951390789,1.2603370254109558,,
1951,189.284,901.859,20.988203255719572,14.195,0.07805056142752728,14.108519660463656,21.7,194.5471330164521,364.49,1750.068,20.82719071487508,11.647,0.032781997532363195,326.92719075812226,0.7526001277232189,1.2647086683099507,,
1952,201.502,937.206,21.500289157346412,15.236,0.07857565674264036,14.471325701210484,22.7,206.57021645538194,384.138,1797.486,21.37084795097152,11.966,0.0319942784567252,347.3054725670361,0.7552841552299157,1.2698554755650313,,
1953,213.013,976.67,21.81013034085208,16.277,0.07963079328246733,14.684464749597003,24.8,217.72103683250782,400.577,1850.221,21.65022448669645,12.574,0.03231063815561353,365.8337780451572,0.7586098844338252,1.2746821534674466,,
1954,222.866,1009.261,22.082097693262696,17.227,0.07987695099547626,14.704855179218828,24.1,224.7083169767935,415.992,1896.847,21.9307092243075,13.408,0.03304362757427828,378.33650358434903,0.7609492616891077,1.2811937134586828,,
1955,243.021,1046.118,23.230744524040308,18.276,0.07794971454241356,15.688314764964181,26.6,247.64937746986703,449.719,1949.082,23.073375055538968,14.06,0.03212490803710621,417.2727342360321,0.7619980845226678,1.2839161053416372,,
1956,271.506,1094.62,24.803676161590325,20.6,0.07939085753978622,16.764998238397013,32.2,275.8350358208909,496.142,2014.866,24.624069292945535,15.769,0.03285596428966952,463.4592103751736,0.7647214744133376,1.28488830156688,,
1957,292.041,1140.899,25.597445523223353,22.672,0.08091514683127979,17.34134558121361,34.9,297.13117321445196,528.464,2079.446,25.413691916019946,17.222,0.033633313524109754,498.16847553344473,0.7679792535912432,1.2875897532526357,,
1958,301.41,1163.212,25.911871610678023,23.71,0.08020206886896371,17.339403814644832,30.2,303.470036040506,545.673,2119.727,25.74260742067257,17.756,0.03316996061018077,511.7903155581975,0.7694473530438793,1.2976427879264643,,
1959,314.077,1191.814,26.352853717106864,24.826,0.08098791640724808,17.69761255001583,32.7,317.3541763401915,567.653,2167.912,26.18431928971287,18.654,0.03360862559915373,537.5073046559745,0.7710256956758782,1.3058972416325911,,
1960,323.054,1227.248,26.323448887266466,25.867,0.08245078420188111,17.550672647731936,35.6,324.37039656524973,582.198,2222.912,26.1907803817695,19.55,0.03443155791386843,550.2909319799381,0.7724943952494636,1.3105285353177856,,
1961,331.447,1259.146,26.323158712333598,26.644,0.08247628480608882,17.543961999809294,35.2,332.7037347786313,596.763,2275.488,26.225715099354517,20.047,0.03438743488890971,566.364665405496,0.7731901807544301,1.3162088436102626,,
1962,343.819,1297.596,26.496613738020155,27.623,0.08279505109893649,17.589420133427467,38.3,344.2482052285193,616.775,2334.487,26.420151407996702,20.77,0.034548297033788804,586.5145374953732,0.7749847033510114,1.3203839205208763,,
1963,357.177,1339.206,26.670803446221125,28.863,0.08339996578120848,17.617396713583393,40.4,356.4397906455158,638.342,2398.932,26.60942452724796,21.545,0.034683231626111054,607.4728345632388,0.777743379108697,1.325491674805234,,
1964,377.34,1394.866,27.05206091481189,30.381,0.08385989641253498,17.920503791927498,46.1,378.26705429792287,669.61,2479.204,27.00907226674368,22.707,0.035045491519169955,642.3689324750326,0.7817050099151124,1.327482811479712,,
1965,407.794,1472.725,27.68975878049195,32.495,0.08413271043844338,18.25063185026104,55.1,407.9245171056672,715.007,2584.572,27.664425676669094,23.933,0.03489500125999898,686.4741307654376,0.7884122866363881,1.326776441371159,,
1966,450.093,1563.775,28.782465508145354,35.424,0.08356952758590172,18.782393828615053,63.8,448.5267356537076,778.039,2706.592,28.74607624643832,25.593,0.03444720490674832,745.9395638045505,0.7961070920371097,1.3239963858795714,,
1967,489.841,1645.171,29.7744732918341,38.825,0.08338599417142079,19.410069213456318,64.9,489.7650098693491,840.995,2823.715,29.78328195302996,27.095,0.033611957723605194,809.8572158757959,0.8018418629164197,1.3258959002550688,,
1968,543.968,1734.351,31.364354735575436,42.89,0.08312059505489586,20.38348487760849,71.0,542.5755977050926,926.971,2952.597,31.395107425767893,29.426,0.03319314448211875,893.2417579991501,0.8066839097607681,1.3280430538197294,,
1969,602.442,1830.371,32.9136552097908,46.945,0.08223869933059277,21.399327381342918,79.2,601.9712383936233,1017.831,3092.516,32.912715730492586,31.43,0.032342716063355675,986.6282072745984,0.8122672222286105,1.3313023981576013,,
1970,665.399,1912.185,34.79783598344302,51.518,0.08088493329932873,22.6254833939936,81.4,666.3831688538669,1121.216,3223.135,34.786504443655005,33.437,0.031081685341950202,1092.137633645703,0.8169463881989296,1.3388962040525967,,
1971,731.546,1982.783,36.894909831282604,56.686,0.08034881055719233,23.985256590722237,84.6,734.2712651248133,1233.536,3346.056,36.865372247206864,36.046,0.03033611476495551,1207.2518478232798,0.8202315294066279,1.3485833867552277,,
1972,812.716,2055.337,39.54173938385774,63.319,0.08076126099468349,25.064829917030362,96.2,801.5509317069542,1367.632,3471.619,39.39464555298263,41.077,0.0311622147108011,1318.4761572915809,0.8244712319553118,1.3561779029948373,,
1973,922.601,2157.155,42.769342026882626,68.921,0.0784035921239545,27.01827634019609,114.8,911.0781044266446,1548.379,3631.866,42.6331533156785,43.136,0.029144751586026415,1494.6111201780457,0.8302151489216735,1.36195655201207,,
1974,1107.313,2258.035,49.03878814987368,81.145,0.07670800418793923,31.740071490819343,131.2,1119.4002091383832,1861.764,3797.505,49.02597889930362,49.836,0.0279889809552605,1837.8704097417885,0.8314024132043843,1.365025556849219,,
1975,1252.398,2320.562,53.96959874375259,97.739,0.08020252343871692,34.28987723496374,134.0,1246.3350626177723,2119.815,3926.325,53.98979962178373,60.504,0.029510326695687955,2060.920662518738,0.8334459426359317,1.378173507100935,,
1976,1369.168,2380.386,57.51873855752806,109.176,0.08179460308954585,36.65108401021321,148.6,1371.7945796442414,2332.965,4054.95,57.533755040136136,67.389,0.029831840379571574,2285.7213574476286,0.8345264506900119,1.3905106201774113,,
1977,1520.544,2457.278,61.879201295091576,122.479,0.08315139604681525,39.437901289145174,177.4,1530.7610776651882,2602.04,4202.794,61.91214701458125,76.393,0.030429316472086812,2562.0779353140197,0.8365271750725111,1.400119096843554,,
1978,1723.549,2559.33,67.34375793664748,139.412,0.08424585026299838,42.969623074481575,218.2,1745.5341233881272,2952.598,4381.082,67.39426470447253,86.116,0.0304034457030228,2924.8440665358517,0.8385943422474789,1.4051616942281295,,
1979,1976.173,2678.474,73.77980895091757,161.376,0.08546240944679255,47.29885306076161,259.5,2016.6909991822538,3381.143,4579.184,73.83723825030835,100.625,0.031106350926664632,3378.877190239398,0.84039296544662,1.4080415011207226,,
1980,2277.833,2787.287,81.72222666700631,184.656,0.08435984972081813,52.24623664119977,284.6,2324.310780838796,3904.797,4769.888,81.86349448875949,115.714,0.030867931837313945,3901.6938305492677,0.8417755978700551,1.4130428185387758,,
1981,2579.67,2894.056,89.13683771150247,216.612,0.08718536707058709,56.841267698094235,324.4,2632.664285767203,4435.338,4962.458,89.37784460845815,135.809,0.03185594497491515,4434.022324462089,0.8423717037619438,1.4187509437372696,,
1982,2756.942,2970.881,92.79880277937757,242.989,0.09047681624393361,58.61877544907526,327.1,2796.4476801585884,4768.501,5124.66,93.05009503069473,155.672,0.033712956480541435,4745.62196508649,0.8426588561919449,1.4300072214447326,,
1983,2844.878,3028.835,93.92647668162842,250.712,0.08984663856490105,58.8547592076622,323.7,2879.142546279102,4954.932,5266.702,94.0803561697624,164.233,0.034064060557756,4926.120654737414,0.8430130724326127,1.442368358486052,,
1984,2993.218,3130.834,95.60449388246072,262.662,0.09070752661391397,60.077116450416256,383.6,3055.9556510066695,5215.763,5451.561,95.67467006239131,173.461,0.03442437996475111,5238.930848631084,0.8445599300814364,1.4478584038887585,,
1985,3158.155,3253.706,97.06331795189854,277.837,0.0914270920178915,61.05802134566461,412.5,3234.392576412193,5497.031,5660.945,97.10447637276108,185.16,0.03497736148805488,5550.733242476657,0.846854810151649,1.4533378478979544,,
1986,3317.184,3344.065,99.19615796941747,294.178,0.09114587768881599,61.97276323539892,402.3,3385.9305642307645,5795.792,5840.868,99.22826538795262,197.971,0.03524335478849933,5837.634413964583,0.848667961057414,1.463176282418373,,
1987,3459.685,3415.174,101.30333037203961,307.715,0.09083437525205657,63.6768926361342,403.3,3566.320858243699,6082.296,6002.256,101.33349860452469,209.399,0.035378887687871126,6189.24975219831,0.8496095050132693,1.4744734496374854,,
1988,3681.151,3492.368,105.40558726915376,327.639,0.09101628897703024,66.09172083346888,433.2,3797.8640814398696,6510.176,6171.324,105.49075044512331,225.605,0.03563032832287049,6628.2775811120755,0.8509857002038741,1.4851951827538319,,
1989,3886.439,3574.711,108.72036928299937,352.382,0.09280744081616492,68.25298332935563,471.5,4029.561716365089,6909.898,6346.12,108.88382192583816,248.01,0.0369085928463828,7063.888225181094,0.8522401159775579,1.493990995554565,,
1990,,,,,0.09058601858472726,70.19150403249778,502.1,4270.719993788062,,,,,0.03495169836130585,7512.709526494662,0.8553243463555831,1.5046182785232944,,
1991,,,,,0.09094593787683192,70.50129743081519,482.4,4381.850134110044,,,,,0.03505443442475778,7763.75110462428,0.8583279728330578,1.5207833548068166,,
1992,,,,,0.09130585716893658,71.61204535664628,495.3,4539.794204017248,,,,,0.03515717048820974,8104.117129233522,0.8605266138481401,1.5361507940771706,,
1993,,,,,0.09166577646104124,73.28674601066925,545.4,4765.485059325251,,,,,0.035259906551661696,8546.605005696425,0.862702992328835,1.547204874399686,,
1994,,,,,0.0920256957531459,75.25846850921079,600.7,5044.050858387098,,,,,0.035362642615113626,9066.882904827986,0.8660950322613881,1.5568404170449333,,
1995,,,,,0.09238561504525056,76.96389881566103,674.8,5356.596266769102,,,,,0.035465378678565584,9618.30000685254,0.870396845531361,1.5628838852901337,,
1996,,,,,0.09274553433735522,78.02560351514525,735.2,5662.035992293144,,,,,0.03556811474201754,10139.358840857944,0.875135008623494,1.5671585095376968,,
1997,,,,,0.09310545362945988,79.23793749955475,800.0,6014.653333680543,,,,,0.03567085080546947,10729.601375992072,0.8805582803133801,1.5708368898312088,,
1998,,,,,0.09346537292156454,80.2989833852433,871.0,6396.503812141911,,,,,0.03577358686892143,11355.301358675688,0.8862369502524261,1.5732793946291963,,
1999,,,,,0.0938252922136692,81.42724909889219,946.3,6824.093381728645,,,,,0.03587632293237339,12048.04196614783,0.8930189203476555,1.5766386576303169,,
2000,,,,,0.09418521150577397,83.30241753164165,1037.8,7361.51385651135,,,,,0.03597905899582532,12919.833757105986,0.9004469330566517,1.5803304739958883,,
2001,,,,,0.09454513079787863,84.99694900398005,991.7,7792.808040240707,,,,,0.03608179505927728,13698.694432673914,0.9066043138629888,1.59368682031201,,
2002,,,,,0.09490505008998329,86.73381282582554,885.1,8082.459930363552,,,,,0.03618453112272921,14357.909595323243,0.9073565488693548,1.6118537439881497,,
2003,,,,,0.09526496938208795,88.23161187820936,891.8,8330.563325919195,,,,,0.036287267186181166,14967.64858230883,0.9068957876199346,1.6294333190695236,,
2004,,,,,0.09562488867419261,93.69818893542455,960.0,8960.736277754495,,,,,0.036390003249633124,16276.58192473816,0.904257155028457,1.6425230258578294,,
2005,,,,,0.09598480796629727,100.0,1065.2,9710.662435224274,,,,,0.036492739313085054,17802.561780235526,0.9017823087417953,1.6532379094411864,,
2006,,,,,0.09634472725840193,105.84073849688174,1193.0,10480.62144776589,,,,,0.03659547537653701,19345.817633501916,0.8973211626611436,1.6563341838116694,,
2007,,,,,0.09670464655050659,108.69286489676857,1295.3,11017.50973042573,,,,,0.03669821143998897,20433.34760866933,0.8944381083006487,1.6588471649701515,,
2008,,,,,0.09706456584261125,113.4656961622613,1311.5,11696.432675412227,,,,,0.0368009475034409,21857.11359731469,0.890274979099728,1.6636560813909795,,
2009,,,,,0.09742448513471591,109.52547149964857,1049.8,11240.112971330878,,,,,0.03690368356689286,21369.302972332294,0.8849298102876684,1.6823970785274642,,
2010,,,,,0.09778440442682057,111.72330165912993,1063.9,11408.40315225199,,,,,0.03700641963034482,22055.34708678808,0.8779341535908755,1.697270180443267,,
2011,,,,,0.09814432371892523,115.2873632496994,1182.4,11799.351856005873,,,,,0.03710915569379675,23096.765403907255,0.8720365282175387,1.7069770748150335,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
