Year,"IRS corporate Inventories, 1947-2011; Source: IRS Corporate Balance Sheets (to 1997).xlsx;  IRS Corporate Balance Sheets (extended to 2011).xlsx (Thousands $)","Depreciable Assets, 1990-2011; Source: IRS Corporate Balance Sheets (extended to 2011).xlsx (Thousands $)","Accumulated Depreciation, 1990-2011; Source: ""","IRS Net Fixed Capital, 1990-2011; Source: Depreciable assets - accumulated depreciation (Thousand $)","BEA Net Historical Cost Capital Stock; Source: Appndx 6.8.II.1 (Bills $), BEA Historical Cost Net Stock","See AppFig6.7.11 for graph and trend line; Source: (KNHIRS corp/ KNHcorpbea), actual for 1990-2011","Source: (KNHIRS / KHNBEA), actual for 1990-2011 and extrapolated via linear time trend for 1947-2011","Source: KNHIRS actual for 1990-2011, and estimated as KNHcorpbea*(KNHIRScorp / KHNcorpbea)' for 1947-1989 (Bill $)",Final Corporate Net Historical Cost Stock; Source: Appendix 6.8.II.5,Source: INVcorp = (INVIRScorp)*KNHcorp/KNHIRScorp,"Inventory/net capital, IRS Corporate; Source: see variables above",Estimated Corporate Inventories; Source: (INVIRScorp / KNHIRScorpest)*KNHcorp,"Final Corporate Gross Current Cost Fixed Capital Stock (plant, equipment); Source: Appendix 6.8.II.5","Final Corporate Current Cost Total Stock (plant, equipment, inventories); Source: KGCcorp + INVcorp","Estimated Corp Inventories, held at 2011 INV/KGC ratio (IRS not API-accessible). MVP proxy: constant ratio applied to BEA FA-derived KGC.","Corp Gross Current-Cost Fixed Capital, BEA FA-derived via ratio splice post-2011","Corp Current-Cost Total Stock (KGC+INV), BEA-derived post-2011",Spliced Shaikh INVcorp (1946-2011) + ratio proxy (post-2011),Spliced Shaikh KGCcorp (1946-2011) + BEA-derived (post-2011),Spliced Shaikh KTCcorp (1946-2011) + BEA-derived (post-2011)
1965,126341000.0,,,,382.1,,0.9798000000000001,374.38158000000004,327.96177380379635,110.67590041194181,0.33746585502417076,110.67590041194183,629.5138499735924,740.1897503855342,,,,110.6759004119,629.5138499736,740.1897503855
1966,141019000.0,,,,417.3,,0.9704000000000002,404.94792000000007,357.06177380379637,124.34313597668942,0.34823984279262377,124.34313597668944,689.3389442732511,813.6820802499406,,,,124.3431359767,689.3389442733,813.6820802499
1967,151581000.0,,,,450.7,,0.9610000000000001,433.1227,392.16177380379634,137.24580548411166,0.3499724212099712,137.24580548411166,753.3311352268145,890.5769407109261,,,,137.2458054841,753.3311352268,890.5769407109
1968,164433000.0,,,,487.4,,0.9516000000000001,463.80984,425.5617738037963,150.87303700128405,0.35452676036368697,150.87303700128405,835.8512661760232,986.7243031773072,,,,150.8730370013,835.851266176,986.7243031773
1969,184583000.0,,,,529.0,,0.9422000000000001,498.4238000000001,462.16177380379634,171.15395912880993,0.37033343913352446,171.1539591288099,928.3262407092185,1099.4801998380285,,,,171.1539591288,928.3262407092,1099.480199838
1970,190401642.0,,,,569.4,,0.9328000000000001,531.1363200000001,503.66177380379634,180.55257216240722,0.3584798004399322,180.5525721624072,1032.4109896184032,1212.9635617808103,,,,180.5525721624,1032.4109896184,1212.9635617808
1971,199091682.0,,,,609.7,,0.9234000000000001,562.9969800000001,543.9617738037963,192.3602938159656,0.35362833029761537,192.3602938159656,1145.8564474489679,1338.2167412649335,,,,192.360293816,1145.856447449,1338.2167412649
1972,223847520.0,,,,657.3,,0.9140000000000001,600.7722,584.2617738037962,217.69574074296509,0.37259966423213325,217.69574074296506,1256.3166880969834,1474.0124288399484,,,,217.695740743,1256.316688097,1474.0124288399
1973,262566242.0,,,,718.2,,0.9046000000000001,649.6837200000001,632.1617738037962,255.48484004450162,0.4041447152161977,255.48484004450162,1429.5600183096162,1685.0448583541179,,,,255.4848400445,1429.5600183096,1685.0448583541
1974,312096928.0,,,,790.1,,0.8952000000000001,707.2975200000001,693.1617738037962,305.8594920722974,0.4412526824638095,305.8594920722974,1763.5896893717154,2069.449181444013,,,,305.8594920723,1763.5896893717,2069.449181444
1975,317718545.0,,,,858.5,,0.8858000000000001,760.4593000000001,764.6617738037962,319.4743310918299,0.41779822404696737,319.4743310918299,1983.0408217262743,2302.515152818104,,,,319.4743310918,1983.0408217263,2302.5151528181
1976,350644363.0,,,,934.6,,0.8764000000000001,819.0834400000001,832.9617738037962,356.5855886169328,0.42809358103980216,356.5855886169328,2204.961979321552,2561.547567938485,,,,356.5855886169,2204.9619793216,2561.5475679385
1977,396032639.0,,,,1030.7,,0.8670000000000001,893.6169000000001,909.1617738037962,402.9218074965217,0.4431794418838766,402.92180749652164,2477.8222116408647,2880.744019137386,,,,402.9218074965,2477.8222116409,2880.7440191374
1978,442652820.0,,,,1156.7,,0.8576000000000001,991.9859200000002,1005.3617738037963,448.6215129892695,0.44622893437842337,448.62151298926955,2835.8341845926316,3284.455697581901,,,,448.6215129893,2835.8341845926,3284.4556975819
1979,503033064.0,,,,1310.3,,0.8482000000000001,1111.39646,1131.2617738037964,512.0243736088548,0.4526135201114461,512.0243736088548,3283.9472079486036,3795.971581557458,,,,512.0243736089,3283.9472079486,3795.9715815575
1980,534806547.0,,,,1474.4,,0.8388000000000001,1236.7267200000001,1284.9617738037964,555.6651749830419,0.43243712483223457,555.6651749830419,3800.0711216002474,4355.736296583289,,,,555.665174983,3800.0711216002,4355.7362965833
1981,588219956.0,,,,1662.3,,0.8294000000000001,1378.7116200000003,1449.0617738037963,618.2344737387148,0.4266446640958897,618.2344737387148,4326.983953050354,4945.218426789069,,,,618.2344737387,4326.9839530504,4945.2184267891
1982,581241455.0,,,,1834.5,,0.8200000000000001,1504.2900000000002,1636.8617738037963,632.4657606176995,0.38638923013514676,632.4657606176995,4638.957776099302,5271.423536717001,,,,632.4657606177,4638.9577760993,5271.423536717
1983,599445162.0,,,,1987.1,,0.8106000000000001,1610.7432600000002,1809.1617738037962,673.2874813221468,0.3721543816982974,673.2874813221467,4822.675106371553,5495.9625876937,,,,673.2874813221,4822.6751063716,5495.9625876937
1984,664243060.0,,,,2181.8,,0.8012000000000001,1748.0581600000005,1961.8617738037963,745.4861043802233,0.37998910745624154,745.4861043802234,5136.971843292613,5882.457947672836,,,,745.4861043802,5136.9718432926,5882.4579476728
1985,714722928.0,,,,2383.8,,0.7918000000000001,1887.4928400000003,2156.5617738037963,816.6092674480941,0.37866259031742866,816.6092674480942,5450.733993443455,6267.343260891549,,,,816.6092674481,5450.7339934435,6267.3432608915
1986,732587518.0,,,,2556.7,,0.7824000000000001,2000.36208,2358.4617738037964,863.7334582791135,0.3662274571811519,863.7334582791134,5739.714132823804,6603.447591102918,,,,863.7334582791,5739.7141328238,6603.4475911029
1987,829272682.0,,,,2712.7,,0.7730000000000001,2096.9171,2531.3617738037965,1001.0835274673241,0.39547232553924044,1001.0835274673242,6092.1964278163705,7093.279955283695,,,,1001.0835274673,6092.1964278164,7093.2799552837
1988,845783686.0,,,,2881.4,,0.7636000000000001,2200.2370400000004,2687.3617738037965,1033.0372161461623,0.38440571203182716,1033.0372161461623,6531.132870828345,7564.170086974507,,,,1033.0372161462,6531.1328708283,7564.1700869745
1989,879318508.0,,,,3067.8,,0.7542000000000001,2313.7347600000003,2856.0617738037963,1085.42604844515,0.3800429172789019,1085.42604844515,6967.269512947614,8052.695561392764,,,,1085.4260484451,6967.2695129476,8052.6955613928
1990,893586141.0,4317781452.0,1848022862.0,2469758590.0,3267.3,0.7559019955314785,0.7448000000000001,2433.4850400000005,3044.261773803796,1117.8659765449588,0.3672042878061004,1117.865976544959,7416.819551621183,8534.685528166141,,,,1117.865976545,7416.8195516212,8534.6855281661
1991,883913179.0,4549055093.0,1999540977.0,2549514116.0,3430.2,0.7432552375954755,0.7354,2522.56908,3243.761773803796,1136.620520775428,0.3504019715487831,1136.620520775428,7670.814119372146,8807.434640147574,,,,1136.6205207754,7670.8141193721,8807.4346401476
1992,915412953.0,4755145257.0,2131890499.0,2623254758.0,3587.9,0.7311393177067366,0.7260000000000001,2604.8154000000004,3406.661773803796,1197.2066482062226,0.351431027703537,1197.2066482062226,8013.034801142843,9210.241449349065,,,,1197.2066482062,8013.0348011428,9210.2414493491
1993,947287758.0,4968959443.0,2265345826.0,2703613617.0,3777.9,0.7156392749940443,0.7166000000000001,2707.2431400000005,3567.161773803796,1248.1807153567675,0.34990863731581934,1248.1807153567672,8456.67930893906,9704.860024295827,,,,1248.1807153568,8456.6793089391,9704.8600242958
1994,1125766128.0,5284097003.0,2438539251.0,2845557752.0,3995.7,0.7121550046299773,0.7072,2825.75904,3758.361773803796,1497.3096862916916,0.39839424100364906,1497.3096862916916,8977.803393596974,10475.113079888666,,,,1497.3096862917,8977.803393597,10475.1130798887
1995,1045010082.0,5571142501.0,2600545415.0,2970597086.0,4261.1,0.6971432461101593,0.6978000000000001,2973.395580000001,3979.961773803796,1398.7712255896906,0.35145343224059,1398.7712255896909,9530.43269703201,10929.203922621702,,,,1398.7712255897,9530.432697032,10929.2039226217
1996,1079396261.0,5923297939.0,2760002783.0,3163295156.0,4553.3,0.6947258375244328,0.6884000000000001,3134.491720000001,4245.961773803796,1462.14304339995,0.3443608589273925,1462.14304339995,10053.447802744928,11515.590846144878,,,,1462.1430434,10053.4478027449,11515.5908461449
1997,1114311184.0,6208236257.0,2898167422.0,3310068835.0,4871.0,0.6795460552247998,0.679,3307.409,4538.161773803796,1528.9685730887372,0.3369136336026176,1528.9685730887372,10645.467618064265,12174.436191153003,,,,1528.9685730887,10645.4676180643,12174.436191153
1998,1139210381.0,6541280743.0,3031634536.0,3509646207.0,5215.3,0.6729519312407722,0.6696000000000001,3492.1648800000007,4855.761773803796,1584.0415359713077,0.3262189559045104,1584.0415359713077,11273.091065707426,12857.132601678733,,,,1584.0415359713,11273.0910657074,12857.1326016787
1999,1198184825.0,6935503013.0,3227243753.0,3708259260.0,5585.3,0.6639319750058188,0.6602000000000001,3687.4150600000007,5200.061773803796,1689.702679262337,0.3249389627974237,1689.7026792623367,11967.667396537861,13657.370075800198,,,,1689.7026792623,11967.6673965379,13657.3700758002
2000,1271967443.0,7291998758.0,3369214883.0,3922783875.0,5995.7,0.6542662032790166,0.6508,3902.00156,5571.061773803796,1816.0446863635439,0.3259781995064092,1816.0446863635439,12840.566656941339,14656.611343304883,,,,1816.0446863635,12840.5666569413,14656.6113433049
2001,1208206944.0,7613590480.0,3549239594.0,4064350886.0,6306.5,0.64447013176881,0.6414000000000001,4044.9891000000007,5981.461773803796,1786.6163472184146,0.2986922619890372,1786.6163472184146,13620.733166343192,15407.349513561607,,,,1786.6163472184,13620.7331663432,15407.3495135616
2002,1221112550.0,7677626201.0,3699383948.0,3978242253.0,6499.8,0.6120561021877596,0.6320000000000001,4107.873600000001,6304.461773803796,1874.073582251186,0.2972614712390371,1874.073582251186,14281.23387252014,16155.307454771326,,,,1874.0735822512,14281.2338725201,16155.3074547713
2003,1267289489.0,7804548186.0,3812960901.0,3991587285.0,6684.5,0.5971407412671105,0.6226,4161.7697,6497.761773803796,1978.6162598011001,0.30450735632968834,1978.6162598011003,14892.479153434093,16871.095413235194,,,,1978.6162598011,14892.4791534341,16871.0954132352
2004,1386128237.0,7973940602.0,3930550044.0,4043390558.0,6906.9,0.5854132183758272,0.6132000000000001,4235.31108,6682.461773803796,2187.029189209532,0.32727896742829093,2187.029189209532,16199.660108377739,18386.68929758727,,,,2187.0291892095,16199.6601083777,18386.6892975873
2005,1505452196.0,8415761105.0,4096350302.0,4319410803.0,7201.1,0.5998265269194983,0.6038000000000001,4348.024180000001,6914.561773803796,2394.0856296596257,0.34623822998150844,2394.0856296596257,17723.462355358093,20117.547985017718,,,,2394.0856296596,17723.4623553581,20117.5479850177
2006,1612997968.0,8817095391.0,4241564417.0,4575530974.0,7605.3,0.6016239956346232,0.5944,4520.59032,7225.3617738037965,2578.091141691955,0.3568113573273324,2578.0911416919544,19265.16196987102,21843.253111562975,,,,2578.091141692,19265.161969871,21843.253111563
2007,1655695450.0,9221635446.0,4335284540.0,4886350906.0,8068.8,0.6055858251536783,0.5850000000000001,4720.2480000000005,7629.661773803797,2676.214530237791,0.35076450432265416,2676.214530237791,20353.55816995345,23029.77270019124,,,,2676.2145302378,20353.5581699534,23029.7727001912
2008,1619270780.0,9466523654.0,4514037135.0,4952486519.0,8508.3,0.5820770916634346,0.5756000000000001,4897.37748,8093.061773803796,2675.8930681927864,0.33064038592344736,2675.893068192787,21776.885775207476,24452.778843400265,,,,2675.8930681928,21776.8857752075,24452.7788434003
2009,1473962805.0,9613451456.0,4711042846.0,4902408610.0,8673.5,0.5652168801521877,0.5662,4910.9357,8536.261773803797,2562.064159856566,0.3001388930830432,2562.0641598565667,21294.719040537588,23856.783200394155,,,,2562.0641598566,21294.7190405376,23856.7832003942
2010,1544085221.0,9875410289.0,4874203678.0,5001206611.0,8848.6,0.5651975014126528,0.5568000000000001,4926.900480000001,8701.361773803797,2726.997261674907,0.31339890612119686,2726.9972616749073,21982.081961583935,24709.079223258843,,,,2726.9972616749,21982.0819615839,24709.0792232588
2011,1652538308.0,10225874777.0,5021678762.0,5204196015.0,9122.4,0.5704854002236255,0.5474000000000001,4993.6017600000005,8876.561773803798,2937.530680167656,0.3309311369675582,2937.530680167656,23023.968602353023,25961.49928252068,,,,2937.5306801677,23023.968602353,25961.4992825207
2012,,,,,,,,,,,,,,,3037.9327400068,23810.9063827665,26848.8391227732,3037.9327400068,23810.9063827665,26848.8391227732
2013,,,,,,,,,,,,,,,3152.8154048917,24711.3411891581,27864.1565940498,3152.8154048917,24711.3411891581,27864.1565940498
2014,,,,,,,,,,,,,,,3302.7813495822,25886.7540028135,29189.5353523957,3302.7813495822,25886.7540028135,29189.5353523957
2015,,,,,,,,,,,,,,,3364.8624499062,26373.3372798185,29738.1997297246,3364.8624499062,26373.3372798185,29738.1997297246
2016,,,,,,,,,,,,,,,3463.4361044191,27145.9442663084,30609.3803707275,3463.4361044191,27145.9442663084,30609.3803707275
2017,,,,,,,,,,,,,,,3597.3841774229,28195.8111657442,31793.1953431671,3597.3841774229,28195.8111657442,31793.1953431671
2018,,,,,,,,,,,,,,,3765.4562680795,29513.1375052897,33278.5937733692,3765.4562680795,29513.1375052897,33278.5937733692
2019,,,,,,,,,,,,,,,3937.1471018884,30858.8270647612,34795.9741666496,3937.1471018884,30858.8270647612,34795.9741666496
2020,,,,,,,,,,,,,,,4017.1094391741,31485.5610612655,35502.6705004395,4017.1094391741,31485.5610612655,35502.6705004395
2021,,,,,,,,,,,,,,,4461.8753469725,34971.5761574429,39433.4515044154,4461.8753469725,34971.5761574429,39433.4515044154
2022,,,,,,,,,,,,,,,4976.8280134635,39007.7055858203,43984.5335992837,4976.8280134635,39007.7055858203,43984.5335992837
2023,,,,,,,,,,,,,,,5148.3861936886,40352.355424424,45500.7416181126,5148.3861936886,40352.355424424,45500.7416181126
2024,,,,,,,,,,,,,,,5315.8839700739,41665.180366303,46981.064336377,5315.8839700739,41665.180366303,46981.064336377
