Year,"BEA Current-Cost Corporate Net Stock; Source: FA Table 6.1, line 2: Bill-$","BEA Chain-Index Real Corporate Net Stock; Source: FA Table 6.2, line 2: 2005 = 100",BEA Constant-Cost Corporate Net Stock; Source: KNRIndex(t)*KNC(2005)/100: Bills-2005$,"Implicit Price Deflator, Net Corporate Capital Stock; Source: (KNCcorp/KNRcorp)*100","BEA Historical-Cost Corporate Net Stock; Source: FA Table 6.3, line 2: Bill-$","Current-Cost Corporate Depreciation; Source: FA Table 6.4, line 2: Bill-$",Correct Depreciation Rate; Source: DEPcorp/[(pKN/100)*KNR(-1)],"Historical-Cost Corporate Depreciation; Source: FA Table 6.6, line 2: Bill-$","Current-Cost Gross Investment; Source: FA Table 6.7, line 2: Bill-$","Chain-Type Quantity Index Gross Investment; Source: FA Table 6.8, line 2: Bill-$",Constant-Cost Quantity Index Gross Investment; Source: (IGRcorpindexbea(t)/100)*IGCcorpbea(2005): Bills-2005$,"Implicit Price Deflator, Gross Investment; Source: (IGCcorpbea/IGRcorpbea)*100",Current-cost approximation using Ch 6 eq. 6.57; Source: KNC' = IGC + (1-d)*(pKN/pKN(-1))*KNC'(-1),Constant-cost approximation using Ch 6 eq. 6.58; Source: KNR' = (IGC*100/pKN) + (1-d)*KNR'(-1),"Historical-cost approximation using Ch 6 eq. 6.59; Source: KNH = INH + KNH(-1)                                                                              where INH = IGC - DEPH, DEPH = hist cost deprec",Whelan-Liu Depreciation Rate; Source: Depcorp/KNCcorpbea(-1),Relative Current-Cost Approximation; Source: KNCcorp'/KNCcorp,Relative Constant-Cost Approximation; Source: KNRcorp'/KNRcorp,Relative Historical-Cost Approximation; Source: KNHcorp'/KNhcorp,"BEA FA T6.1 line 2: Corp current-cost net stock, post-2011","BEA FA T6.2 line 2: Corp chain index net stock, post-2011","Implicit price deflator net capital stock, BEA-derived post-2011","BEA FA T6.3 line 2: Corp historical-cost net stock, post-2011","BEA FA T6.4 line 2: Corp current-cost depreciation, post-2011","Correct depreciation rate, BEA-derived post-2011","BEA FA T6.7 line 2: Corp gross investment, post-2011","BEA FA T6.8 line 2: Corp chain-type investment index, post-2011",Spliced Shaikh KNCcorp (1925-2011) + BEA (post-2011),Spliced Shaikh KNR index (1925-2011) + BEA (post-2011),Spliced Shaikh DEPcorp (1925-2011) + BEA (post-2011),Spliced Shaikh IGCcorp (1925-2011) + BEA (post-2011)
,S209A,S209B,S209C,S209D,S209E,S209F,S209G,S209H,S209I,S209J,S209K,S209L,S209M,S209N,S209O,S209P,S209Q,S209R,S209S,S209A_EXT,S209B_EXT,S209D_EXT,S209E_EXT,S209F_EXT,S209G_EXT,S209I_EXT,S209J_EXT,S209A_COMBINED,S209B_COMBINED,S209F_COMBINED,S209I_COMBINED
1937,95.2,13.752,1480.856616,6.428711528949268,78.5,4.4,0.04671100453115767,4.0,5.4,3.627,38.634803999999995,13.977034800021249,95.30173765222506,1482.4391672121194,78.7,0.04782608695652174,1.00106867281749,1.00106867281749,1.002547770700637,,,,,,,,,95.2,13.752,4.4,5.4
1938,93.9,13.695,1474.7186849999998,6.367316082388961,78.6,4.5,0.04772468762022648,4.0,4.1,2.719,28.962788,14.156095746031077,93.98677847785156,1476.0815587246384,78.8,0.04726890756302521,1.0009241584435735,1.0009241584435737,1.0025445292620865,,,,,,,,,93.9,13.695,4.5,4.1
1939,94.4,13.694,1474.6110019999999,6.4016883009801395,79.0,4.5,0.04766601073013162,4.0,4.4,2.979,31.732308000000003,13.865994241578647,94.38998174480437,1474.4545080452085,79.2,0.04792332268370607,0.9998938744153005,0.9998938744153006,1.0025316455696203,,,,,,,,,94.4,13.694,4.5,4.4
1940,100.1,13.827,1488.9328409999998,6.72293586678971,80.5,4.6,0.04640036464193029,4.1,5.6,3.652,38.901104000000004,14.395478339123741,100.1271191385587,1489.3362233778191,80.7,0.04872881355932203,1.000270920465122,1.0002709204651221,1.0024844720496895,,,,,,,,,100.1,13.827,4.6,5.6
1941,112.1,14.044,1512.3000519999998,7.412550165011831,83.0,5.1,0.04620909058006008,4.3,6.8,4.138,44.077976,15.427205641202763,112.09641298920137,1512.2516609507825,83.2,0.05094905094905095,0.999968001687791,0.9999680016877912,1.002409638554217,,,,,,,,,112.1,14.044,5.1,6.8
1942,118.9,13.978,1505.1929739999998,7.899319359964007,83.7,5.8,0.04855124313134331,4.4,5.2,2.87,30.57124,17.009450712499724,118.85777381507322,1504.6584192744272,84.0,0.05173951828724353,0.999644859672609,0.9996448596726092,1.003584229390681,,,,,,,,,118.9,13.978,5.8,5.2
1943,119.3,13.817,1487.856011,8.018249018587323,83.8,5.8,0.04805695742453385,4.4,4.5,2.375,25.2985,17.787615866553352,119.34931875046212,1488.4710923020127,84.1,0.048780487804878044,1.0004134010935635,1.0004134010935637,1.003579952267303,,,,,,,,,119.3,13.817,5.8,4.5
1944,120.2,13.797,1485.702351,8.090449605810713,85.1,6.0,0.04984455113711833,4.5,5.8,2.999,31.945348000000003,18.15600819249175,120.22152321319321,1485.968383349769,85.39999999999999,0.05029337803855826,1.0001790616738204,1.0001790616738204,1.0035252643948296,,,,,,,,,120.2,13.797,6.0,5.8
1945,131.2,14.013,1508.961879,8.694719318353302,88.5,6.1,0.04722179132260991,4.7,8.1,4.106,43.737112,18.519741312595123,131.1996878155243,1508.9582884933461,88.8,0.050748752079866885,0.9999976205451548,0.9999976205451551,1.0033898305084745,,,,,,,,,131.2,14.013,6.1,8.1
1946,159.4,14.532,1564.849356,10.186284027201914,95.3,6.9,0.04489056182908128,5.2,12.0,5.658,60.26901600000001,19.91072825877894,158.80679353617552,1559.025775367059,95.6,0.05259146341463415,0.9962785039910634,0.9962785039910634,1.0031479538300105,,,,,,,,,159.4,14.532,6.9,12.0
1947,190.1,15.105,1626.551715,11.687301316453992,105.0,8.9,0.04866348755555228,6.0,15.7,6.328,67.405856,23.2917448596751,189.04116128281086,1617.4919783805767,105.3,0.055834378920953574,0.9944300961747021,0.9944300961747021,1.002857142857143,,,,,,,,,190.1,15.105,8.9,15.7
1948,208.1,15.675,1687.931025,12.328702827178615,115.9,10.4,0.05186185886683653,6.9,17.8,6.593,70.22863600000001,25.34578629720218,206.87370626777658,1677.9843684099812,116.2,0.05470804839558128,0.9941071901382825,0.9941071901382825,1.002588438308887,,,,,,,,,208.1,15.675,10.4,17.8
1949,212.2,16.051,1728.4198329999997,12.277109759362501,124.4,11.2,0.054046451919362255,7.7,16.2,5.828,62.07985600000001,26.095421355358813,211.07398212509025,1719.2481476686776,124.7,0.05382027871215762,0.9946936009664952,0.994693600966495,1.002411575562701,,,,,,,,,212.2,16.051,11.2,16.2
1950,238.1,16.481,1774.723523,13.416174233016012,133.7,12.0,0.051749161266229554,8.5,17.8,6.25,66.575,26.736763049192643,236.5210037775323,1762.9541750842436,134.0,0.05655042412818097,0.9933683484986656,0.9933683484986657,1.0022438294689604,,,,,,,,,238.1,16.481,12.0,17.8
