Count of 1997 NAICS,Unnamed: 1,Unnamed: 2
314110,314110,1
314110 Total,,1
314121,314121,1
314121 Total,,1
314129,314129,1
314129 Total,,1
314911,314911,1
314911 Total,,1
314912,314912,1
314912 Total,,1
314991,314991,1
314991 Total,,1
314992,314992,1
314992 Total,,1
314999,314999,1
314999 Total,,1
315111,315111,1
315111 Total,,1
315119,315119,1
315119 Total,,1
315191,315191,1
315191 Total,,1
315192,315192,1
315192 Total,,1
315211,315211,1
315211 Total,,1
315212,315212,1
315212 Total,,1
315221,315221,1
315221 Total,,1
315222,315222,1
315222 Total,,1
315223,315223,1
315223 Total,,1
315224,315224,1
315224 Total,,1
315225,315225,1
315225 Total,,1
315228,315228,1
315228 Total,,1
315231,315231,1
315231 Total,,1
315232,315232,1
315232 Total,,1
315233,315233,1
315233 Total,,1
315234,315234,1
315234 Total,,1
315239,315239,1
315239 Total,,1
315291,315291,1
315291 Total,,1
315292,315292,1
315292 Total,,1
315299,315299,1
315299 Total,,1
315991,315991,1
315991 Total,,1
315992,315992,1
315992 Total,,1
315993,315993,1
315993 Total,,1
315999,315999,1
315999 Total,,1
316110,316110,1
316110 Total,,1
316211,316211,1
316211 Total,,1
316212,316212,1
316212 Total,,1
316213,316213,1
316213 Total,,1
316214,316214,1
316214 Total,,1
316219,316219,1
316219 Total,,1
316991,316991,1
316991 Total,,1
316992,316992,1
316992 Total,,1
316993,316993,1
316993 Total,,1
316999,316999,1
316999 Total,,1
321113,321113,1
321113 Total,,1
321114,321114,1
321114 Total,,1
321211,321211,1
321211 Total,,1
321212,321212,1
321212 Total,,1
321213,321213,1
321213 Total,,1
321214,321214,1
321214 Total,,1
321219,321219,1
321219 Total,,1
321911,321911,1
321911 Total,,1
321912,321912,1
321912 Total,,1
321918,321918,1
321918 Total,,1
321920,321920,1
321920 Total,,1
321991,321991,1
321991 Total,,1
321992,321992,1
321992 Total,,1
321999,321999,1
321999 Total,,1
322110,322110,1
322110 Total,,1
322121,322121,1
322121 Total,,1
322122,322122,1
322122 Total,,1
322130,322130,1
322130 Total,,1
322211,322211,1
322211 Total,,1
322212,322212,1
322212 Total,,1
322213,322213,1
322213 Total,,1
322214,322214,1
322214 Total,,1
322215,322215,1
322215 Total,,1
322221,322221,1
322221 Total,,1
322222,322222,1
322222 Total,,1
322223,322223,1
322223 Total,,1
322224,322224,1
322224 Total,,1
322225,322225,1
322225 Total,,1
322226,322226,1
322226 Total,,1
322231,322231,1
322231 Total,,1
322232,322232,1
322232 Total,,1
322233,322233,1
322233 Total,,1
322291,322291,1
322291 Total,,1
322299,322299,1
322299 Total,,1
323110,323110,1
323110 Total,,1
323111,323111,1
323111 Total,,1
323112,323112,1
323112 Total,,1
323113,323113,1
323113 Total,,1
323114,323114,1
323114 Total,,1
323115,323115,1
323115 Total,,1
323116,323116,1
323116 Total,,1
323117,323117,1
323117 Total,,1
323118,323118,1
323118 Total,,1
323119,323119,1
323119 Total,,1
323121,323121,1
323121 Total,,1
323122,323122,1
323122 Total,,1
324110,324110,1
324110 Total,,1
324121,324121,1
324121 Total,,1
324122,324122,1
324122 Total,,1
324191,324191,1
324191 Total,,1
324199,324199,1
324199 Total,,1
325110,325110,1
325110 Total,,1
325120,325120,1
325120 Total,,1
325131,325131,1
325131 Total,,1
325132,325132,1
325132 Total,,1
325181,325181,1
325181 Total,,1
325182,325182,1
325182 Total,,1
325188,325188,1
325188 Total,,1
325191,325191,1
325191 Total,,1
325192,325192,1
325192 Total,,1
325193,325193,1
325193 Total,,1
325199,325199,1
325199 Total,,1
325211,325211,1
325211 Total,,1
325212,325212,1
325212 Total,,1
325221,325221,1
325221 Total,,1
325222,325222,1
325222 Total,,1
325311,325311,1
325311 Total,,1
325312,325312,1
325312 Total,,1
325314,325314,1
325314 Total,,1
325320,325320,1
325320 Total,,1
325411,325411,1
325411 Total,,1
325412,325412,1
325412 Total,,1
325413,325413,1
325413 Total,,1
325414,325414,1
325414 Total,,1
325510,325510,1
325510 Total,,1
325520,325520,1
325520 Total,,1
325611,325611,1
325611 Total,,1
325612,325612,1
325612 Total,,1
325613,325613,1
325613 Total,,1
325620,325620,1
325620 Total,,1
325910,325910,1
325910 Total,,1
325920,325920,1
325920 Total,,1
325991,325991,1
325991 Total,,1
325992,325992,1
325992 Total,,1
325998,325998,1
325998 Total,,1
326111,326111,1
326111 Total,,1
326112,326112,1
326112 Total,,1
326113,326113,1
326113 Total,,1
326121,326121,1
326121 Total,,1
326122,326122,1
326122 Total,,1
326130,326130,1
326130 Total,,1
326140,326140,1
326140 Total,,1
326150,326150,1
326150 Total,,1
326160,326160,1
326160 Total,,1
326191,326191,1
326191 Total,,1
326192,326192,1
326192 Total,,1
326199,326199,1
326199 Total,,1
326211,326211,1
326211 Total,,1
326212,326212,1
326212 Total,,1
326220,326220,1
326220 Total,,1
326291,326291,1
326291 Total,,1
326299,326299,1
326299 Total,,1
327111,327111,1
327111 Total,,1
327112,327112,1
327112 Total,,1
327113,327113,1
327113 Total,,1
327121,327121,1
327121 Total,,1
327122,327122,1
327122 Total,,1
327123,327123,1
327123 Total,,1
327124,327124,1
327124 Total,,1
327125,327125,1
327125 Total,,1
327211,327211,1
327211 Total,,1
327212,327212,1
327212 Total,,1
327213,327213,1
327213 Total,,1
327215,327215,1
327215 Total,,1
327310,327310,1
327310 Total,,1
327320,327320,1
327320 Total,,1
327331,327331,1
327331 Total,,1
327332,327332,1
327332 Total,,1
327390,327390,1
327390 Total,,1
327410,327410,1
327410 Total,,1
327420,327420,1
327420 Total,,1
327910,327910,1
327910 Total,,1
327991,327991,1
327991 Total,,1
327992,327992,1
327992 Total,,1
327993,327993,1
327993 Total,,1
327999,327999,1
327999 Total,,1
331111,331111,1
331111 Total,,1
331112,331112,1
331112 Total,,1
331210,331210,1
331210 Total,,1
331221,331221,1
331221 Total,,1
331222,331222,1
331222 Total,,1
331311,331311,1
331311 Total,,1
331312,331312,1
331312 Total,,1
331314,331314,1
331314 Total,,1
331315,331315,1
331315 Total,,1
331316,331316,1
331316 Total,,1
331319,331319,1
331319 Total,,1
331411,331411,1
331411 Total,,1
331419,331419,1
331419 Total,,1
331421,331421,1
331421 Total,,1
331422,331422,1
331422 Total,,1
331423,331423,1
331423 Total,,1
331491,331491,1
331491 Total,,1
331492,331492,1
331492 Total,,1
331511,331511,1
331511 Total,,1
331512,331512,1
331512 Total,,1
331513,331513,1
331513 Total,,1
331521,331521,1
331521 Total,,1
331522,331522,1
331522 Total,,1
331524,331524,1
331524 Total,,1
331525,331525,1
331525 Total,,1
331528,331528,1
331528 Total,,1
332111,332111,1
332111 Total,,1
332112,332112,1
332112 Total,,1
332114,332114,1
332114 Total,,1
332115,332115,1
332115 Total,,1
332116,332116,1
332116 Total,,1
332117,332117,1
332117 Total,,1
332211,332211,1
332211 Total,,1
332212,332212,1
332212 Total,,1
332213,332213,1
332213 Total,,1
332214,332214,1
332214 Total,,1
332311,332311,1
332311 Total,,1
332312,332312,1
332312 Total,,1
332313,332313,1
332313 Total,,1
332321,332321,1
332321 Total,,1
332322,332322,1
332322 Total,,1
332323,332323,1
332323 Total,,1
332410,332410,1
332410 Total,,1
332420,332420,1
332420 Total,,1
332431,332431,1
332431 Total,,1
332439,332439,1
332439 Total,,1
332510,332510,1
332510 Total,,1
332611,332611,1
332611 Total,,1
332612,332612,1
332612 Total,,1
332618,332618,1
332618 Total,,1
332710,332710,1
332710 Total,,1
332721,332721,1
332721 Total,,1
332722,332722,1
332722 Total,,1
332811,332811,1
332811 Total,,1
332812,332812,1
332812 Total,,1
332813,332813,1
332813 Total,,1
332911,332911,1
332911 Total,,1
332912,332912,1
332912 Total,,1
332913,332913,1
332913 Total,,1
332919,332919,1
332919 Total,,1
332991,332991,1
332991 Total,,1
332992,332992,1
332992 Total,,1
332993,332993,1
332993 Total,,1
332994,332994,1
332994 Total,,1
332995,332995,1
332995 Total,,1
332996,332996,1
332996 Total,,1
332997,332997,1
332997 Total,,1
332998,332998,1
332998 Total,,1
332999,332999,1
332999 Total,,1
333111,333111,1
333111 Total,,1
333112,333112,1
333112 Total,,1
333120,333120,1
333120 Total,,1
333131,333131,1
333131 Total,,1
333132,333132,1
333132 Total,,1
333210,333210,1
333210 Total,,1
333220,333220,1
333220 Total,,1
333291,333291,1
333291 Total,,1
333292,333292,1
333292 Total,,1
333293,333293,1
333293 Total,,1
333294,333294,1
333294 Total,,1
333295,333295,1
333295 Total,,1
333298,333298,1
333298 Total,,1
333311,333311,1
333311 Total,,1
333312,333312,1
333312 Total,,1
333313,333313,1
333313 Total,,1
333314,333314,1
333314 Total,,1
333315,333315,1
333315 Total,,1
333319,333319,1
333319 Total,,1
333411,333411,1
333411 Total,,1
333412,333412,1
333412 Total,,1
333414,333414,1
333414 Total,,1
333415,333415,1
333415 Total,,1
333511,333511,1
333511 Total,,1
333512,333512,1
333512 Total,,1
333513,333513,1
333513 Total,,1
333514,333514,1
333514 Total,,1
333515,333515,1
333515 Total,,1
333516,333516,1
333516 Total,,1
333518,333518,1
333518 Total,,1
333611,333611,1
333611 Total,,1
333612,333612,1
333612 Total,,1
333613,333613,1
333613 Total,,1
333618,333618,1
333618 Total,,1
333911,333911,1
333911 Total,,1
333912,333912,1
333912 Total,,1
333913,333913,1
333913 Total,,1
333921,333921,1
333921 Total,,1
333922,333922,1
333922 Total,,1
333923,333923,1
333923 Total,,1
333924,333924,1
333924 Total,,1
333991,333991,1
333991 Total,,1
333992,333992,1
333992 Total,,1
333993,333993,1
333993 Total,,1
333994,333994,1
333994 Total,,1
333995,333995,1
333995 Total,,1
333996,333996,1
333996 Total,,1
333997,333997,1
333997 Total,,1
333999,333999,1
333999 Total,,1
334111,334111,1
334111 Total,,1
334112,334112,1
334112 Total,,1
334113,334113,1
334113 Total,,1
334119,334119,1
334119 Total,,1
334210,334210,1
334210 Total,,1
334220,334220,1
334220 Total,,1
334290,334290,1
334290 Total,,1
334310,334310,1
334310 Total,,1
334411,334411,1
334411 Total,,1
334412,334412,1
334412 Total,,1
334413,334413,1
334413 Total,,1
334414,334414,1
334414 Total,,1
334415,334415,1
334415 Total,,1
334416,334416,1
334416 Total,,1
334417,334417,1
334417 Total,,1
334418,334418,1
334418 Total,,1
334419,334419,1
334419 Total,,1
334510,334510,1
334510 Total,,1
334511,334511,1
334511 Total,,1
334512,334512,1
334512 Total,,1
334513,334513,1
334513 Total,,1
334514,334514,1
334514 Total,,1
334515,334515,1
334515 Total,,1
334516,334516,1
334516 Total,,1
334517,334517,1
334517 Total,,1
334518,334518,1
334518 Total,,1
334519,334519,1
334519 Total,,1
334611,334611,1
334611 Total,,1
334612,334612,1
334612 Total,,1
334613,334613,1
334613 Total,,1
335110,335110,1
335110 Total,,1
335121,335121,1
335121 Total,,1
335122,335122,1
335122 Total,,1
335129,335129,1
335129 Total,,1
335211,335211,1
335211 Total,,1
335212,335212,1
335212 Total,,1
335221,335221,1
335221 Total,,1
335222,335222,1
335222 Total,,1
335224,335224,1
335224 Total,,1
335228,335228,1
335228 Total,,1
335311,335311,1
335311 Total,,1
335312,335312,1
335312 Total,,1
335313,335313,1
335313 Total,,1
335314,335314,1
335314 Total,,1
335911,335911,1
335911 Total,,1
335912,335912,1
335912 Total,,1
335921,335921,1
335921 Total,,1
335929,335929,1
335929 Total,,1
335931,335931,1
335931 Total,,1
335932,335932,1
335932 Total,,1
335991,335991,1
335991 Total,,1
335999,335999,1
335999 Total,,1
336111,336111,1
336111 Total,,1
336112,336112,1
336112 Total,,1
336120,336120,1
336120 Total,,1
336211,336211,1
336211 Total,,1
336212,336212,1
336212 Total,,1
336213,336213,1
336213 Total,,1
336214,336214,1
336214 Total,,1
336311,336311,1
336311 Total,,1
336312,336312,1
336312 Total,,1
336321,336321,1
336321 Total,,1
336322,336322,1
336322 Total,,1
336330,336330,1
336330 Total,,1
336340,336340,1
336340 Total,,1
336350,336350,1
336350 Total,,1
336360,336360,1
336360 Total,,1
336370,336370,1
336370 Total,,1
336391,336391,1
336391 Total,,1
336399,336399,1
336399 Total,,1
336411,336411,1
336411 Total,,1
336412,336412,1
336412 Total,,1
336413,336413,1
336413 Total,,1
336414,336414,1
336414 Total,,1
336415,336415,1
336415 Total,,1
336419,336419,1
336419 Total,,1
336510,336510,1
336510 Total,,1
336611,336611,1
336611 Total,,1
336612,336612,1
336612 Total,,1
336991,336991,1
336991 Total,,1
336992,336992,1
336992 Total,,1
336999,336999,1
336999 Total,,1
337110,337110,1
337110 Total,,1
337121,337121,1
337121 Total,,1
337122,337122,1
337122 Total,,1
337124,337124,1
337124 Total,,1
337125,337125,1
337125 Total,,1
337127,337127,1
337127 Total,,1
337129,337129,1
337129 Total,,1
337211,337211,1
337211 Total,,1
337212,337212,1
337212 Total,,1
337214,337214,1
337214 Total,,1
337215,337215,1
337215 Total,,1
337910,337910,1
337910 Total,,1
337920,337920,1
337920 Total,,1
339111,339111,1
339111 Total,,1
339112,339112,1
339112 Total,,1
339113,339113,1
339113 Total,,1
339114,339114,1
339114 Total,,1
339115,339115,1
339115 Total,,1
339116,339116,1
339116 Total,,1
339911,339911,1
339911 Total,,1
339912,339912,1
339912 Total,,1
339913,339913,1
339913 Total,,1
339914,339914,1
339914 Total,,1
339920,339920,1
339920 Total,,1
339931,339931,1
339931 Total,,1
339932,339932,1
339932 Total,,1
339941,339941,1
339941 Total,,1
339942,339942,1
339942 Total,,1
339943,339943,1
339943 Total,,1
339944,339944,1
339944 Total,,1
339950,339950,1
339950 Total,,1
339991,339991,1
339991 Total,,1
339992,339992,1
339992 Total,,1
339993,339993,1
339993 Total,,1
339994,339994,1
339994 Total,,1
339995,339995,1
339995 Total,,1
339999,339999,1
339999 Total,,1
423110,421110,1
423110 Total,,1
423120,421120,1
423120 Total,,1
423130,421130,1
423130 Total,,1
423140,421140,1
423140 Total,,1
423210,421210,1
423210 Total,,1
423220,421220,1
423220 Total,,1
423310,421310,1
423310 Total,,1
423320,421320,1
423320 Total,,1
423330,421330,1
423330 Total,,1
423390,421390,1
423390 Total,,1
423410,421410,1
423410 Total,,1
423420,421420,1
423420 Total,,1
423430,421430,1
423430 Total,,1
423440,421440,1
423440 Total,,1
423450,421450,1
423450 Total,,1
423460,421460,1
423460 Total,,1
423490,421490,1
423490 Total,,1
423510,421510,1
423510 Total,,1
423520,421520,1
423520 Total,,1
423610,421610,1
423610 Total,,1
423620,421620,1
423620 Total,,1
423690,421690,1
423690 Total,,1
423710,421710,1
423710 Total,,1
423720,421720,1
423720 Total,,1
423730,421730,1
423730 Total,,1
423740,421740,1
423740 Total,,1
423810,421810,1
423810 Total,,1
423820,421820,1
423820 Total,,1
423830,421830,1
423830 Total,,1
423840,421840,1
423840 Total,,1
423850,421850,1
423850 Total,,1
423860,421860,1
423860 Total,,1
423910,421910,1
423910 Total,,1
423920,421920,1
423920 Total,,1
423930,421930,1
423930 Total,,1
423940,421940,1
423940 Total,,1
423990,421990,1
423990 Total,,1
424110,422110,1
424110 Total,,1
424120,422120,1
424120 Total,,1
424130,422130,1
424130 Total,,1
424210,422210,1
424210 Total,,1
424310,422310,1
424310 Total,,1
424320,422320,1
424320 Total,,1
424330,422330,1
424330 Total,,1
424340,422340,1
424340 Total,,1
424410,422410,1
424410 Total,,1
424420,422420,1
424420 Total,,1
424430,422430,1
424430 Total,,1
424440,422440,1
424440 Total,,1
424450,422450,1
424450 Total,,1
424460,422460,1
424460 Total,,1
424470,422470,1
424470 Total,,1
424480,422480,1
424480 Total,,1
424490,422490,1
424490 Total,,1
424510,422510,1
424510 Total,,1
424520,422520,1
424520 Total,,1
424590,422590,1
424590 Total,,1
424610,422610,1
424610 Total,,1
424690,422690,1
424690 Total,,1
424710,422710,1
424710 Total,,1
424720,422720,1
424720 Total,,1
424810,422810,1
424810 Total,,1
424820,422820,1
424820 Total,,1
424910,422910,1
424910 Total,,1
424920,422920,1
424920 Total,,1
424930,422930,1
424930 Total,,1
424940,422940,1
424940 Total,,1
424950,422950,1
424950 Total,,1
424990,422990,1
424990 Total,,1
425110,421110,1
,421120,1
,421130,1
,421140,1
,421210,1
,421220,1
,421310,1
,421320,1
,421330,1
,421390,1
,421410,1
,421420,1
,421430,1
,421440,1
,421450,1
,421460,1
,421490,1
,421510,1
,421520,1
,421610,1
,421620,1
,421690,1
,421710,1
,421720,1
,421730,1
,421740,1
,421810,1
,421820,1
,421830,1
,421840,1
,421850,1
,421860,1
,421910,1
,421920,1
,421930,1
,421940,1
,421990,1
,422110,1
,422120,1
,422130,1
,422210,1
,422310,1
,422320,1
,422330,1
,422340,1
,422410,1
,422420,1
,422430,1
,422440,1
,422450,1
,422460,1
,422470,1
,422480,1
,422490,1
,422510,1
,422520,1
,422590,1
,422610,1
,422690,1
,422720,1
,422810,1
,422820,1
,422910,1
,422920,1
,422930,1
,422940,1
,422950,1
,422990,1
425110 Total,,68
425120,421110,1
,421120,1
,421130,1
,421140,1
,421210,1
,421220,1
,421310,1
,421320,1
,421330,1
,421390,1
,421410,1
,421420,1
,421430,1
,421440,1
,421450,1
,421460,1
,421490,1
,421510,1
,421520,1
,421610,1
,421620,1
,421690,1
,421710,1
,421720,1
,421730,1
,421740,1
,421810,1
,421820,1
,421830,1
,421840,1
,421850,1
,421860,1
,421910,1
,421920,1
,421930,1
,421940,1
,421990,1
,422110,1
,422120,1
,422130,1
,422210,1
,422310,1
,422320,1
,422330,1
,422340,1
,422410,1
,422420,1
,422430,1
,422440,1
,422450,1
,422460,1
,422470,1
,422480,1
,422490,1
,422510,1
,422520,1
,422590,1
,422610,1
,422690,1
,422720,1
,422810,1
,422820,1
,422910,1
,422920,1
,422930,1
,422940,1
,422950,1
,422990,1
425120 Total,,68
441110,441110,1
441110 Total,,1
441120,441120,1
441120 Total,,1
441210,441210,1
441210 Total,,1
441221,441221,1
441221 Total,,1
441222,441222,1
441222 Total,,1
441229,441229,1
441229 Total,,1
441310,441310,1
441310 Total,,1
441320,441320,1
441320 Total,,1
442110,442110,1
442110 Total,,1
442210,442210,1
442210 Total,,1
442291,442291,1
442291 Total,,1
442299,442299,1
442299 Total,,1
443111,443111,1
443111 Total,,1
443112,443112,1
443112 Total,,1
443120,443120,1
443120 Total,,1
443130,443130,1
443130 Total,,1
444110,444110,1
444110 Total,,1
444120,444120,1
444120 Total,,1
444130,444130,1
444130 Total,,1
444190,444190,1
444190 Total,,1
444210,444210,1
444210 Total,,1
444220,444220,1
444220 Total,,1
445110,445110,1
445110 Total,,1
445120,445120,1
445120 Total,,1
445210,445210,1
445210 Total,,1
445220,445220,1
445220 Total,,1
445230,445230,1
445230 Total,,1
445291,445291,1
445291 Total,,1
445292,445292,1
445292 Total,,1
445299,445299,1
445299 Total,,1
445310,445310,1
445310 Total,,1
446110,446110,1
446110 Total,,1
446120,446120,1
446120 Total,,1
446130,446130,1
446130 Total,,1
446191,446191,1
446191 Total,,1
446199,446199,1
446199 Total,,1
447110,447110,1
447110 Total,,1
447190,447190,1
447190 Total,,1
448110,448110,1
448110 Total,,1
448120,448120,1
448120 Total,,1
448130,448130,1
448130 Total,,1
448140,448140,1
448140 Total,,1
448150,448150,1
448150 Total,,1
448190,448190,1
448190 Total,,1
448210,448210,1
448210 Total,,1
448310,448310,1
448310 Total,,1
448320,448320,1
448320 Total,,1
451110,451110,1
451110 Total,,1
451120,451120,1
451120 Total,,1
451130,451130,1
451130 Total,,1
451140,451140,1
451140 Total,,1
451211,451211,1
451211 Total,,1
451212,451212,1
451212 Total,,1
451220,451220,1
451220 Total,,1
452111,452110,1
452111 Total,,1
452112,452110,1
452112 Total,,1
452910,452910,1
452910 Total,,1
452990,452990,1
452990 Total,,1
453110,453110,1
453110 Total,,1
453210,453210,1
453210 Total,,1
453220,453220,1
453220 Total,,1
453310,453310,1
453310 Total,,1
453910,453910,1
453910 Total,,1
453920,453920,1
453920 Total,,1
453930,453930,1
453930 Total,,1
453991,453991,1
453991 Total,,1
453998,453998,1
453998 Total,,1
454111,454110,1
454111 Total,,1
454112,454110,1
454112 Total,,1
454113,454110,1
454113 Total,,1
454210,454210,1
454210 Total,,1
454311,454311,1
454311 Total,,1
454312,454312,1
454312 Total,,1
454319,454319,1
454319 Total,,1
454390,454390,1
454390 Total,,1
481111,481111,1
481111 Total,,1
481112,481112,1
481112 Total,,1
481211,481211,1
481211 Total,,1
481212,481212,1
481212 Total,,1
481219,481219,1
481219 Total,,1
482111,482111,1
482111 Total,,1
482112,482112,1
