1997 NAICS,NAICS Part Indicator,1997 NAICS Title,SIC,SIC Part Indicator,SIC Title and Part Description
115112,a,"Soil Preparation, Planting, and Cultivating",0711,,Soil Preparation Services
115112,b,"Soil Preparation, Planting, and Cultivating",0721,,"Crop Planting, Cultivating, and Protecting"
115113,,"Crop Harvesting, Primarily by Machine",0722,,"Crop Harvesting, Primarily by Machine"
115114,,Postharvest Crop Activities (except Cotton Ginning),0723,*,"Crop Preparation Services For Market, Except Cotton Ginning (except custom grain grinding)"
115115,,Farm Labor Contractors and Crew Leaders,0761,,Farm Labor Contractors and Crew Leaders
115116,,Farm Management Services,0762,,Farm Management Services
11521,a,Support Activities for Animal Production,0751,*,"Livestock Services, Except Veterinary (except custom slaughtering)"
11521,b,Support Activities for Animal Production,0752,*,"Animal Specialty Services, Except Veterinary (horses and equines services and animal production breeding)"
11521,c,Support Activities for Animal Production,7699,*,"Repair Services, NEC (farriers)"
11531,,Support Activities for Forestry,0851,,Forestry Services
211111,,Crude Petroleum and Natural Gas Extraction,1311,,Crude Petroleum and Natural Gas
211112,a,Natural Gas Liquid Extraction,1321,,Natural Gas Liquids
211112,b,Natural Gas Liquid Extraction,2819,*,"Industrial Inorganic Chemicals, NEC (recovering sulfur from natural gas)"
212111,,Bituminous Coal and Lignite Surface Mining,1221,,Bituminous Coal and Lignite Surface Mining
212112,,Bituminous Coal Underground Mining,1222,,Bituminous Coal Underground Mining
212113,,Anthracite Mining,1231,,Anthracite Mining
21221,,Iron Ore Mining,1011,,Iron Ores
212221,,Gold Ore Mining,1041,,Gold Ores
212222,,Silver Ore Mining,1044,,Silver Ores
212231,,Lead Ore and Zinc Ore Mining,1031,,Lead and Zinc Ores
212234,a,Copper Ore and Nickel Ore Mining,1021,,Copper Ores
212234,b,Copper Ore and Nickel Ore Mining,1061,*,"Ferroalloy Ores, Except Vanadium (nickel)"
212291,,Uranium-Radium-Vanadium Ore Mining,1094,,Uranium-Radium-Vanadium Ores
212299,a,All Other Metal Ore Mining,1061,*,"Ferroalloy Ores, Except Vanadium (other ferroalloys except nickel)"
212299,b,All Other Metal Ore Mining,1099,,"Miscellaneous Metal Ores, NEC"
212311,,Dimension Stone Mining and Quarrying,1411,,Dimension Stone
212312,,Crushed and Broken Limestone Mining and Quarrying,1422,,Crushed and Broken Limestone
212313,,Crushed and Broken Granite Mining and Quarrying,1423,,Crushed and Broken Granite
212319,a,Other Crushed and Broken Stone Mining and Quarrying,1429,,"Crushed and Broken Stone, NEC"
212319,b,Other Crushed and Broken Stone Mining and Quarrying,1499,*,"Miscellaneous Nonmetallic Minerals, Except Fuels (bituminous limestone and bituminous sandstone)"
212321,,Construction Sand and Gravel Mining,1442,,Construction Sand and Gravel
212322,,Industrial Sand Mining,1446,,Industrial Sand
212324,a,Kaolin and Ball Clay Mining,1455,,Kaolin and Ball Clay
212324,b,Kaolin and Ball Clay Mining,3295,*,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of minerals in SIC 1455)"
212325,a,Clay and Ceramic and Refractory Minerals Mining,1459,,"Clay, Ceramic, and Refractory Minerals, NEC"
212325,b,Clay and Ceramic and Refractory Minerals Mining,3295,*,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of minerals in SIC 1459)"
212391,,"Potash, Soda, and Borate Mineral Mining",1474,,"Potash, Soda, and Borate Minerals"
212392,,Phosphate Rock Mining,1475,,Phosphate Rock
212393,a,Other Chemical and Fertilizer Mineral Mining,1479,,"Chemical and Fertilizer Mineral Mining, NEC"
212393,b,Other Chemical and Fertilizer Mineral Mining,3295,*,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of minerals in SIC 1479)"
212399,a,All Other Nonmetallic Mineral Mining,1499,*,"Miscellaneous Nonmetallic Minerals, Except Fuels (except bituminous limestone and bituminous sandstone)"
212399,b,All Other Nonmetallic Mineral Mining,3295,*,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of minerals in SIC 1499)"
213111,,Drilling Oil and Gas Wells,1381,,Drilling Oil and Gas Wells
213112,a,Support Activities for Oil and Gas Operations,1382,*,Oil and Gas Field Exploration Services (except geophysical mapping and surveying)
213112,b,Support Activities for Oil and Gas Operations,1389,,"Oil and Gas Field Services, NEC"
213113,,Support Activities for Coal Mining,1241,,Coal Mining Services
213114,,Support Activities for Metal Mining,1081,*,Metal Mining Services (except geophysical surveying and mapping)
213115,,Support Activities for Nonmetallic Minerals (except Fuels),1481,*,"Nonmetallic Minerals Services, Except Fuels (except geophysical surveying and mapping)"
221111,a,Hydroelectric Power Generation,4911,*,Electric Services (hydroelectric power generation)
221111,b,Hydroelectric Power Generation,4931,*,Electric and Other Services Combined (hydroelectric power generation)
221111,c,Hydroelectric Power Generation,4939,*,"Combination Utilities, NEC (hydroelectric power generation)"
221112,a,Fossil Fuel Electric Power Generation,4911,*,Electric Services (fossil fuel power generation)
221112,b,Fossil Fuel Electric Power Generation,4931,*,Electric and Other Services Combined (fossil fuel power generation)
221112,c,Fossil Fuel Electric Power Generation,4939,*,"Combination Utilities, NEC (fossil fuel power generation)"
221113,a,Nuclear Electric Power Generation,4911,*,Electric Services (nuclear electric power generation)
221113,b,Nuclear Electric Power Generation,4931,*,Electric and Other Services Combined (nuclear power generation)
221113,c,Nuclear Electric Power Generation,4939,*,"Combination Utilities, NEC (nuclear power generation)"
221119,a,Other Electric Power Generation,4911,*,Electric Services (other electric power generation)
221119,b,Other Electric Power Generation,4931,*,Electric and Other Services Combined (other electric power generation)
221119,c,Other Electric Power Generation,4939,*,"Combination Utilities, NEC (other electric power generation)"
221121,a,Electric Bulk Power Transmission and Control,4911,*,Electric Services (electric power transmission and control)
221121,b,Electric Bulk Power Transmission and Control,4931,*,Electric and Other Services Combined (electric power transmission and control)
221121,c,Electric Bulk Power Transmission and Control,4939,*,"Combination Utilities, NEC (electric power transmission and control)"
221122,a,Electric Power Distribution,4911,*,Electric Services (electric power distribution)
221122,b,Electric Power Distribution,4931,*,Electric and Other Services Combined (electric power distribution)
221122,c,Electric Power Distribution,4939,*,"Combination Utilities, NEC (electric power distribution)"
22121,a,Natural Gas Distribution,4923,*,Natural Gas Transmission and Distribution (distribution)
22121,b,Natural Gas Distribution,4924,,Natural Gas Distribution
22121,c,Natural Gas Distribution,4925,,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or Distribution"
22121,d,Natural Gas Distribution,4931,*,Electric and Other Services Combined (natural gas distribution)
22121,e,Natural Gas Distribution,4932,,Gas and Other Services Combined (natural gas distribution)
22121,f,Natural Gas Distribution,4939,*,"Combination Utilities, NEC (natural gas distribution)"
22131,a,Water Supply and Irrigation Systems,4941,,Water Supply
22131,b,Water Supply and Irrigation Systems,4971,,Irrigation Systems
22132,,Sewage Treatment Facilities,4952,,Sewerage Systems
22133,,Steam and Air-Conditioning Supply,4961,,Steam and Air-Conditioning Supply
23311,,Land Subdivision and Land Development,6552,,"Land Subdividers and Developers, Except Cemeteries"
23321,a,Single Family Housing Construction,1521,,General Contractors-Single-Family Houses
23321,b,Single Family Housing Construction,1531,*,Operative Builders (single family housing construction)
23321,c,Single Family Housing Construction,8741,*,Management Services (single family housing construction management)
23322,a,Multifamily Housing Construction,1522,*,"General Contractors-Residential Building, Other Than Single-Family (except hotel and motel construction)"
23322,b,Multifamily Housing Construction,1531,*,Operative Builders (multi-family housing construction)
23322,c,Multifamily Housing Construction,8741,*,Management Services (multi-family housing construction management)
23331,a,Manufacturing and Industrial Building Construction,1531,*,Operative Builders (manufacturing and light industrial building construction)
23331,b,Manufacturing and Industrial Building Construction,1541,*,General Contractors-Industrial Buildings and Warehouses (except public warehouse construction)
23331,c,Manufacturing and Industrial Building Construction,8741,*,Management Services (manufacturing and industrial building construction management)
23332,a,Commercial and Institutional Building Construction,1522,*,General Contractors-Residential Building Other than Single-Family (hotel and motel construction)
23332,b,Commercial and Institutional Building Construction,1531,*,Operative Builders (commercial and institutional building construction)
23332,c,Commercial and Institutional Building Construction,1541,*,General Contractors-Industrial Buildings and Warehouses (public warehouse construction)
23332,d,Commercial and Institutional Building Construction,1542,,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses"
23332,e,Commercial and Institutional Building Construction,8741,*,Management Services (commercial and institutional building construction management)
23411,a,Highway and Street Construction,1611,,"Highway and Street Construction, Except Elevated Highways"
23411,b,Highway and Street Construction,8741,*,Management Services (highway and street construction management)
23412,a,Bridge and Tunnel Construction,1622,,"Bridge, Tunnel, and Elevated Highway Construction"
23412,b,Bridge and Tunnel Construction,8741,*,Management Services (bridge and tunnel construction management)
23491,a,"Water, Sewer, and Pipeline Construction",1623,*,"Water, Sewer, Pipeline, and Communications and Power Line Construction (water, sewer, and pipeline construction)"
23491,b,"Water, Sewer, and Pipeline Construction",8741,*,"Management Services (water, sewer, and pipeline construction management)"
23492,a,Power and Communication Transmission Line Construction,1623,*,"Water, Sewer, Pipeline, and Communications and Power Line Construction (communications and power line construction)"
23492,b,Power and Communication Transmission Line Construction,8741,*,Management Services (power and communication transmission line construction management)
23493,a,Industrial Nonbuilding Structure Construction,1629,*,"Heavy Construction, NEC (industrial nonbuilding structures construction)"
23493,b,Industrial Nonbuilding Structure Construction,8741,*,Management Services (industrial nonbuilding structure construction management)
23499,a,All Other Heavy Construction,1629,*,"Heavy Construction, NEC (nonbuilding structures except industrial construction)"
23499,b,All Other Heavy Construction,7353,*,Construction Equipment Rental and Leasing (construction equipment with operator)
23499,c,All Other Heavy Construction,8741,*,Management Services (other heavy construction management)
23511,a,"Plumbing, Heating, and Air-Conditioning Contractors",1711,,"Plumbing, Heating and Air-Conditioning"
23511,b,"Plumbing, Heating, and Air-Conditioning Contractors",7699,*,Repair Shops and Related Services (boiler cleaning)
23521,a,Painting and Wall Covering Contractors,1721,,Painting and Paper Hanging
23521,b,Painting and Wall Covering Contractors,1799,*,"Special Trade Contractors, NEC (paint and wallpaper stripping and wallpaper removal contractors)"
23531,,Electrical Contractors,1731,,Electrical Work
23541,,Masonry and Stone Contractors,1741,,"Masonry, Stone Setting and Other Stone Work"
23542,a,"Drywall, Plastering, Acoustical, and Insulation Contractors",1742,,"Plastering, Drywall, Acoustical, and Insulation Work"
23542,b,"Drywall, Plastering, Acoustical, and Insulation Contractors",1743,*,"Terrazzo, Tile, Marble and Mosaic work (fresco work)"
23542,c,"Drywall, Plastering, Acoustical, and Insulation Contractors",1771,*,Concrete Work (stucco construction)
23543,,"Tile, Marble, Terrazzo, and Mosaic Contractors",1743,*,"Terrazzo, Tile, Marble, and Mosaic Work (except fresco work)"
23551,,Carpentry Contractors,1751,,Carpentry Work
23552,,Floor Laying and Other Floor Contractors,1752,,"Floor Laying and Other Floor Work, NEC"
23561,,"Roofing, Siding, and Sheet Metal Contractors",1761,,"Roofing, Siding, and Sheet Metal Work"
23571,,Concrete Contractors,1771,*,Concrete Work (except stucco construction)
23581,,Water Well Drilling Contractors,1781,,Water Well Drilling
23591,,Structural Steel Erection Contractors,1791,,Structural Steel Erection
23592,a,Glass and Glazing Contractors,1793,,Glass and Glazing Work
23592,b,Glass and Glazing Contractors,1799,*,"Specialty Trade Contractors, NEC (tinting glass work)"
23593,,Excavation Contractors,1794,,Excavation Work
23594,,Wrecking and Demolition Contractors,1795,,Wrecking and Demolition Work
23595,,Building Equipment and Other Machinery Installation Contractors,1796,,"Installation or Erection of Building Equipment, NEC"
23599,,All Other Special Trade Contractors,1799,*,"Special Trade Contractors, NEC (except paint and wallpaper stripping, wall paper removal contractors, and tinting glass work)"
311111,,Dog and Cat Food Manufacturing,2047,,Dog and Cat Food
311119,a,Other Animal Food Manufacturing,2048,*,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (except slaughtering animals for pet food)"
311119,b,Other Animal Food Manufacturing,0723,*,"Crop Production Services for Market, Except Cotton Ginning (custom grain grinding)"
311211,a,Flour Milling,2034,*,"Dehydrated Fruits, Vegetables and Soup Mixes (vegetable flour)"
311211,b,Flour Milling,2041,,Flour and Other Grain Mill Products
311212,a,Rice Milling,2044,,Rice Milling
311212,b,Rice Milling,2099,*,"Food Preparations, NEC (rice, uncooked and packaged with other ingredients made in rice mills)"
311213,,Malt Manufacturing,2083,,Malt
311221,,Wet Corn Milling,2046,*,Wet Corn Milling (except refining purchased oil)
311222,a,Soybean Processing,2075,*,Soybean Oil Mills (soybean processing)
311222,b,Soybean Processing,2079,*,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (processing soybean oil from soybeans crushed in the same establishment)"
311223,a,Other Oilseed Processing,2074,*,Cottonseed Oil Mills (cottonseed processing)
311223,b,Other Oilseed Processing,2079,*,"Shortening, Table Oils, Margarine and Other Edible Fats and Oils, NEC (processing vegetable oils, except soybeans, from oilseeds crushed in the same establishment)"
311223,c,Other Oilseed Processing,2076,*,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (oilseed processing)"
311225,a,Fats and Oils Refining and Blending,2046,*,Wet Corn Milling (refining purchased oil)
311225,b,Fats and Oils Refining and Blending,2074,*,Cottonseed Oil Mills (processing purchased cottonseed oil)
311225,c,Fats and Oils Refining and Blending,2075,*,Soybean Oil Mills (processing purchased soybean oil)
311225,d,Fats and Oils Refining and Blending,2076,*,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (processing purchased vegetable oils)"
311225,e,Fats and Oils Refining and Blending,2079,*,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (processing fats and oils from purchased fats and oils)"
31123,,Breakfast Cereal Manufacturing,2043,*,Cereal Breakfast Foods (breakfast cereal)
311311,,Sugarcane Mills,2061,,"Cane Sugar, Except Refining"
311312,,Cane Sugar Refining,2062,,Cane Sugar Refining
311313,,Beet Sugar Manufacturing,2063,,Beet Sugar
31132,,Chocolate and Confectionery Manufacturing from Cacao Beans,2066,*,"Chocolate and Cocoa Products (except chocolate products, made from purchased chocolate)"
31133,a,Confectionery Manufacturing from Purchased Chocolate,2064,*,Candy and Other Confectionery Products (chocolate confectionery)
31133,b,Confectionery Manufacturing from Purchased Chocolate,2066,*,Chocolate and Cocoa Products (chocolate products made from purchased chocolate)
31133,c,Confectionery Manufacturing from Purchased Chocolate,5441,*,"Candy, Nut, and Confectionery Stores (chocolate candy stores, preparing on premises)"
31134,a,Nonchocolate Confectionery Manufacturing,2064,*,Candy and Other Confectionery Products (nonchocolate confectionery )
31134,b,Nonchocolate Confectionery Manufacturing,5441,*,"Candy, Nut, and Confectionery Stores (nonchocolate candy stores, preparing on premises)"
31134,c,Nonchocolate Confectionery Manufacturing,2067,,Chewing Gum
31134,d,Nonchocolate Confectionery Manufacturing,2099,*,"Food Preparations, NEC (marshmallow creme)"
311411,,"Frozen Fruit, Juice, and Vegetable Manufacturing",2037,,"Frozen Fruits, Fruit Juices, and Vegetables"
311412,,Frozen Specialty Food Manufacturing,2038,,"Frozen Specialties, NEC"
311421,a,Fruit and Vegetable Canning,2033,,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies"
311421,b,Fruit and Vegetable Canning,2035,*,"Pickled Fruits and Vegetables, Vegetable Sauces, and Seasonings and Salad Dressings (pickled fruits and vegetables)"
311422,,Specialty Canning,2032,*,Canned Specialties (except canned puddings)
311423,a,Dried and Dehydrated Food Manufacturing,2034,*,"Dried and Dehydrated Fruits, Vegetables and Soup Mixes (except vegetable flour and soup mixes made from purchased dried and dehydrated ingredients made in dehydration plants)"
311423,b,Dried and Dehydrated Food Manufacturing,2099,*,"Food Preparation, NEC (bouillon, and potatoes dried and packaged with other ingredients)"
311511,,Fluid Milk Manufacturing,2026,*,Fluid Milk (except ultra-high temperature)
311512,,Creamery Butter Manufacturing,2021,,Creamery Butter
311513,,Cheese Manufacturing,2022,,"Natural, Processed, and Imitation Cheese"
311514,a,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",2023,,"Dry, Condensed and Evaporated Dairy Products"
311514,b,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",2026,*,Fluid Milk (ultra-high temperature)
31152,,Ice Cream and Frozen Dessert Manufacturing,2024,,Ice Cream and Frozen Desserts
311611,a,Animal (except Poultry) Slaughtering,0751,*,"Livestock Services, Except Veterinary (custom slaughtering)"
311611,b,Animal (except Poultry) Slaughtering,2011,,Meat Packing Plants
311611,c,Animal (except Poultry) Slaughtering,2048,*,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (animal slaughtering for pet food)"
311612,a,Meat Processed from Carcasses,2013,*,Sausages and Other Prepared Meats (except lard made from purchased materials)
311612,b,Meat Processed from Carcasses,5147,*,Meat and Meat Products (boxed beef)
311613,a,Rendering and Meat Byproduct Processing,2077,*,Animal and Marine Fats and Oils (animal fats and oils)
311613,b,Rendering and Meat Byproduct Processing,2013,*,Sausages and Other Prepared Meats (lard made from purchased materials)
311615,,Poultry Processing,2015,*,Poultry Slaughtering and Processing (poultry processing)
311711,a,Seafood Canning,2077,*,Animal and Marine Fats and Oils (canned marine fats and oils)
311711,b,Seafood Canning,2091,,Canned and Cured Fish and Seafood
311712,a,Fresh and Frozen Seafood Processing,2077,*,Animal and Marine Fats and Oils (fresh and frozen marine fats and oils)
311712,b,Fresh and Frozen Seafood Processing,2092,,Prepared Fresh or Frozen Fish and Seafood
311811,,Retail Bakeries,5461,*,"Retail Bakeries (bread, cake and related products baked and sold on premise)"
311812,a,Commercial Bakeries,2051,,"Bread and Other Bakery Products, Except Cookies and Crackers"
311812,b,Commercial Bakeries,2052,*,Cookies and Crackers (unleavened bread and soft pretzels)
311813,,"Frozen Cakes, Pies, and Other Pastries Manufacturing",2053,,"Frozen Bakery Products, Except Bread"
311821,,Cookie and Cracker Manufacturing,2052,*,Cookies and Crackers (except unleavened bread and pretzels)
311822,,Flour Mixes and Dough Manufacturing from Purchased Flour,2045,,Prepared Flour Mixes and Doughs
311823,a,Dry Pasta Manufacturing,2098,,"Macaroni, Spaghetti, Vermicelli and Noodles"
311823,b,Dry Pasta Manufacturing,2099,*,"Food Preparations, NEC (dry pasta packaged with other ingredients made in dry pasta plants)"
31183,,Tortilla Manufacturing,2099,*,"Food Preparations, NEC (tortillas)"
311911,a,Roasted Nuts and Peanut Butter Manufacturing,2068,,Salted and Roasted Nuts and Seeds
311911,b,Roasted Nuts and Peanut Butter Manufacturing,2099,*,"Food Preparations, NEC (peanut butter)"
311919,a,Other Snack Food Manufacturing,2052,*,"Cookies and Crackers (pretzel, except soft)"
311919,b,Other Snack Food Manufacturing,2096,,"Potato Chips, Corn Chips, and Similar Snacks"
31192,a,Coffee and Tea Manufacturing,2043,*,Cereal Breakfast Foods (coffee substitute)
31192,b,Coffee and Tea Manufacturing,2087,*,"Flavoring Extracts and Flavoring Syrups, NEC (coffee flavoring and syrups)"
31192,c,Coffee and Tea Manufacturing,2095,,Roasted Coffee
31192,d,Coffee and Tea Manufacturing,2099,*,"Food Preparations, NEC (tea)"
31193,,Flavoring Syrup and Concentrate Manufacturing,2087,*,"Flavoring Extracts and Flavoring Syrups (flavoring syrup and concentrate, except coffee)"
311941,a,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",2035,*,"Pickled Fruits and Vegetables, Vegetable Seasonings, and Sauces and Salad Dressings (sauces and salad dressing)"
311941,b,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",2099,*,"Food Preparations, NEC (vinegar, prepared dips (except dairy), and cider)"
311942,a,Spice and Extract Manufacturing,2082,*,Malt Beverages (malt extract)
311942,b,Spice and Extract Manufacturing,2087,*,Flavoring Extracts and Flavoring Syrups (flavoring extracts and natural food colorings)
311942,c,Spice and Extract Manufacturing,2099,*,"Food Preparations, NEC (spices, dip mix, salad dressing mix, and seasoning mix)"
311942,d,Spice and Extract Manufacturing,2899,*,"Chemical Preparations, NEC (table salt)"
311991,,Perishable Prepared Food Manufacturing,2099,*,"Food Preparations, NEC (perishable prepared food)"
311999,a,All Other Miscellaneous Food Manufacturing,2015,*,Poultry Slaughtering and Processing (egg processing)
311999,b,All Other Miscellaneous Food Manufacturing,2032,*,Canned Specialties (canned puddings)
311999,c,All Other Miscellaneous Food Manufacturing,2034,*,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes (soup mixes made from purchased dehydrated ingredients)"
311999,d,All Other Miscellaneous Food Manufacturing,2087,*,Flavoring Extracts and Flavoring Syrups (powered drink mix)
311999,e,All Other Miscellaneous Food Manufacturing,2099,*,"Food Preparations, NEC (except bouillon, marshmallow creme, spices, extracts, peanut butter, perishable prepared foods, tortillas, tea, spices, dip mix, salad dressing mix, seasoning mix, and vinegar)"
312111,,Soft Drink Manufacturing,2086,*,Bottled and Canned Soft Drinks and Carbonated Water (except bottled water)
312112,a,Bottled Water Manufacturing,2086,*,Bottled and Canned Soft Drinks and Carbonated Water (bottled water)
312112,b,Bottled Water Manufacturing,5149,*,"Groceries and Related Products, NEC (bottling mineral or spring water)"
312113,,Ice Manufacturing,2097,,Manufactured Ice
31212,,Breweries,2082,*,Malt Beverages (except malt extract)
31213,a,Wineries,2084,,"Wines, Brandy, and Brandy Spirits"
31213,b,Wineries,2085,*,Distilled and Blended Liquors (applejack)
31214,,Distilleries,2085,*,Distilled and Blended Liquors (except applejack)
31221,,Tobacco Stemming and Redrying,2141,*,Tobacco Stemming and Redrying (redrying and stemming)
312221,,Cigarette Manufacturing,2111,,Cigarettes
312229,a,Other Tobacco Product Manufacturing,2121,,Cigars
312229,b,Other Tobacco Product Manufacturing,2131,,Chewing and Smoking Tobacco and Snuff
312229,c,Other Tobacco Product Manufacturing,2141,*,Tobacco Stemming and Redrying (reconstituted tobacco)
313111,a,Yarn Spinning Mills,2281,,Yarn Spinning Mills
313111,b,Yarn Spinning Mills,2299,*,"Textile Goods, NEC (yarn of flax, hemp, jute, and ramie)"
313112,,"Yarn Texturizing, Throwing, and Twisting Mills",2282,,"Yarn Texturing, Throwing, Winding Mills"
313113,a,Thread Mills,2284,*,Thread Mills (except finishing)
313113,b,Thread Mills,2299,*,"Textile Goods, NEC (thread of hemp, linen, and ramie)"
31321,a,Broadwoven Fabric Mills,2211,,"Broadwoven Fabric Mills, Cotton"
