year,value,subseries_id,source_id,units,month
1836,16.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1836,16.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1836,17.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1836,18.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1836,18.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1836,18.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1837,17.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1837,21.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1837,19.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1837,-6.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1837,-14.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1837,-13.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1837,-11.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1837,-10.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1837,-10.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1837,-12.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1837,-11.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1837,-9.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1838,-9.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1838,-8.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1838,-7.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1838,-11.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1838,-10.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1838,-6.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1838,-4.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1838,-1.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1838,-1.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1838,7.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1838,10.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1838,13.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1839,14.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
