year,value,subseries_id,source_id,units,industry
1967,0.7249,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1967,0.4394,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1967,0.428,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1967,-0.184,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1967,0.2226,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1967,-0.0217,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1967,-0.2664,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1967,0.0531,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1967,0.2186,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1967,0.7813,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1967,-0.1691,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1967,0.7321,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
1968,-0.0163,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1968,0.0121,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
1968,-0.0833,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
1968,0.0925,S707-A-23-Textiles,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,23 Textiles
1968,0.4182,S707-A-24-Clothing---Footwear,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,24 Clothing & Footwear
1968,0.1058,S707-A-25-Wood---Cork,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,25 Wood & Cork
1968,0.47,S707-A-26-Furniture,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,26 Furniture
1968,-0.2769,S707-A-27-Paper,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,27 Paper
1968,0.5638,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1968,0.429,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1968,0.1665,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1968,-0.1105,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1968,1.0377,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1968,-0.0527,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1968,-0.2278,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1968,0.0701,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1968,0.2754,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1968,0.7571,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1968,-0.0998,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1968,0.8707,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
1969,-0.0451,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1969,0.2295,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
