year,value,subseries_id,source_id,units,industry,census_number,axis,decile_index,cr8_midpoint
1938,7.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Roofing…,1638,ROE,,
1938,90.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Rubber Tires and Tubes…,803,CR8,,
1938,8.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Rubber Tires and Tubes…,803,ROE,,
1938,32.9,S803-FIG83,BAIN_1951_TABLE_I,percent,Screw Machine Products…,1117,CR8,,
1938,8.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Screw Machine Products…,1117,ROE,,
1938,82.2,S803-FIG83,BAIN_1951_TABLE_I,percent,"Smelting and Refining, Zinc..",1218,CR8,,
1938,4.7,S803-FIG83,BAIN_1951_TABLE_I,percent,"Smelting and Refining, Zinc..",1218,ROE,,
1938,83.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Soap..,631,CR8,,
1938,15.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Soap..,631,ROE,,
1938,63.8,S803-FIG83,BAIN_1951_TABLE_I,percent,Steel Works and Rolling Mills…,1112,CR8,,
1938,4.9,S803-FIG83,BAIN_1951_TABLE_I,percent,Steel Works and Rolling Mills…,1112,ROE,,
1938,85.6,S803-FIG83,BAIN_1951_TABLE_I,percent,Tin Cans and Other Tinware…,1123,CR8,,
1938,9.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Tin Cans and Other Tinware…,1123,ROE,,
1938,84.3,S803-FIG83,BAIN_1951_TABLE_I,percent,"Tobacco, Chewing and Smoking....",1647,CR8,,
1938,11.7,S803-FIG83,BAIN_1951_TABLE_I,percent,"Tobacco, Chewing and Smoking....",1647,ROE,,
1938,99.3,S803-FIG83,BAIN_1951_TABLE_I,percent,Typewriters and Parts.....,1314,CR8,,
1938,15.8,S803-FIG83,BAIN_1951_TABLE_I,percent,Typewriters and Parts.....,1314,ROE,,
1938,79.7,S803-FIG83,BAIN_1951_TABLE_I,percent,Washing Machines…,1315,CR8,,
1938,14.0,S803-FIG83,BAIN_1951_TABLE_I,percent,Washing Machines…,1315,ROE,,
1938,54.0,S803-FIG83,BAIN_1951_TABLE_I,percent,Wire…,1126,CR8,,
1938,7.5,S803-FIG83,BAIN_1951_TABLE_I,percent,Wire…,1126,ROE,,
1938,9.1,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,1.0,
1938,17.0,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,2.0,
1938,10.4,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,3.0,
1938,6.3,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,4.0,
1938,8.3,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,5.0,
1938,5.8,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,6.0,
1938,5.8,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,7.0,
1938,16.3,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,8.0,
1938,10.5,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,9.0,
1938,12.7,S803-FIG84-BAIN,BAIN_1951_TABLE_II,percent,,,,10.0,
1938,9.0,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,5.0
1938,17.0,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,15.0
1938,10.5,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,25.0
1938,6.1,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,35.0
1938,8.5,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,45.0
1938,5.9,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,55.0
1938,5.9,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,65.0
1938,16.2,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,75.0
1938,9.9,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,85.0
1938,12.5,S803-FIG84-DEMSETZ,BAIN_DEMSETZ_CORRECTED_GROUPED,percent,,,,,95.0
