year,value,subseries_id,source_id,units,region
1640,933.0418283203768,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1640,430.4000000000001,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1640,586.4000000000001,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1640,421.5999999999999,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1650,605.1680923705482,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1650,943.8782565571844,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1650,438.0000000000001,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1650,590.0000000000001,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1650,421.4999999999999,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1660,607.1751208002811,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1660,954.714684793992,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1660,445.60000000000014,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1660,593.6000000000001,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1660,421.39999999999986,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1670,609.182149230014,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1670,965.5511130307996,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1670,453.20000000000016,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1670,597.2000000000002,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1670,421.29999999999984,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1680,611.189177659747,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1680,976.3875412676072,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1680,460.8000000000002,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1680,600.8000000000002,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1680,421.1999999999998,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1690,613.1962060894799,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1690,987.2239695044148,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1690,468.4000000000002,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1690,604.4000000000002,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1690,421.0999999999998,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1700,615.2032345192132,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1700,998.0603977412227,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1700,476.0,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1700,608.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1700,421.0,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1710,619.5196316426121,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1710,1015.2000078111939,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1710,536.4950880004749,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1710,605.75,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1710,420.89632613107744,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1720,623.836028766011,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1720,1032.3396178811652,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1720,596.9901760009498,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1720,603.5,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1720,420.7926522621549,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1730,628.15242588941,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1730,1049.4792279511364,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1730,657.4852640014246,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1730,601.25,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1730,420.68897839323233,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1740,632.4688230128089,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1740,1066.6188380211076,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1740,717.9803520018995,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1740,599.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1740,420.5853045243098,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1750,636.7852201362078,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1750,1083.758448091079,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1750,778.4754400023744,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1750,596.75,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1750,420.4816306553872,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1760,641.1016172596068,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1760,1100.8980581610501,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1760,838.9705280028493,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1760,594.5,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1760,420.37795678646467,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1770,645.4180143830057,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1770,1118.0376682310214,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1770,899.4656160033242,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1770,592.25,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1770,420.2742829175421,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1780,649.7344115064046,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1780,1135.1772783009926,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1780,959.960704003799,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1780,590.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1780,420.17060904861955,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1790,654.0508086298036,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1790,1152.3168883709639,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1790,1020.4557920042739,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1790,587.75,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1790,420.066935179697,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1800,658.3672057532025,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1800,1169.456498440935,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1800,1080.9508800047488,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1800,585.5,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1800,419.96326131077444,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1810,662.6836028766014,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1810,1186.5961085109063,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1810,1141.4459680052237,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1810,583.25,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1810,419.8595874418519,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1820,667.0,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1820,1203.7357185808778,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1820,1201.9410560056986,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1820,692.1907394609536,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1820,581.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1820,419.75591357292956,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1830,708.6,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1830,1327.1744828887943,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1830,1328.1218410944134,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1830,689.9886370154323,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1830,576.4,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1830,435.80473085834365,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1840,750.2,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1840,1450.6132471967107,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1840,1541.99989812032,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1840,687.786534569911,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1840,571.8,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1840,451.85354814375773,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1850,791.8000000000001,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1850,1574.052011504627,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1850,1763.2660687593423,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1850,685.5844321243898,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1850,567.1999999999999,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1850,467.9023654291718,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1860,833.4000000000001,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1860,1574.052011504627,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1860,2137.211585665194,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1860,683.3823296788685,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1860,562.5999999999999,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1860,483.9511827145859,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1870,875.0,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1870,1960.4460491509517,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1870,2419.132963027252,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1870,681.1802272333474,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1870,558.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1870,500.0,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1880,1004.0906092819534,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1880,1960.4460491509517,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1880,2860.700238016644,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1880,823.7201572690152,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1880,584.5385309461323,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1880,533.6666666666666,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1890,1133.181218563907,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1890,2490.471923324866,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1890,3372.0162934770533,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1890,966.260087304683,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1890,611.0770618922645,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1890,567.3333333333333,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1900,1262.2718278458603,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1900,2892.949563834102,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1900,4014.870040279643,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1900,1108.8000173403507,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1900,637.6155928383968,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1900,601.0,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1910,1432.0865033551431,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1910,2892.949563834102,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1910,4916.195520759194,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1910,1388.3209978475109,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1910,652.4106969584587,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1910,659.5074706360627,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1920,1601.901178864426,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1920,2892.949563834102,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1920,5397.0980879634935,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1920,1667.841978354671,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1920,667.2058010785207,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1920,718.0149412721255,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1930,1771.7158543737087,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1930,4014.474287237669,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1930,6027.602668205294,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1930,1947.3629588618312,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1930,682.0009051985827,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1930,776.5224119081882,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1940,1941.5305298829915,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1940,4547.5593879072885,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1940,6837.844865786945,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1940,2226.8839393689914,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1940,696.7960093186447,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1940,835.029882544251,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1950,2111.3452053922747,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1950,4578.569068058787,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1950,9268.434191014525,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1950,2506.4049198761513,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1950,711.5911134387069,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1950,893.5373531803135,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1960,2777.334256335963,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1960,6896.214150950702,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1960,10961.082848353792,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1960,3132.692581420823,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1960,1029.3734393489196,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1960,1065.949905114185,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1970,3736.384238452876,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1970,10194.61385171923,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1970,14560.481844671916,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1970,3985.7540465139,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1970,1530.0923957239386,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1970,1356.9908360419292,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1980,4519.7544082053555,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1980,13197.2260180974,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1980,18060.16296287559,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1980,5412.426128000692,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1980,2034.3918234986834,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1980,1535.588637173833,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1990,5156.66772950687,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1990,15965.772068289378,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1990,22344.91940545087,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1990,5052.86245019316,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
1990,2780.8097496388555,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1990,1443.6473077947514,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
2000,6012.354771793676,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
2000,19001.518052685897,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
2000,27065.406884724773,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
2000,5838.464855919026,S217-D,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Latin America
2000,3817.481304526442,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
2000,1463.8047832105344,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
