naics_1997_3digit,rscd_industry_label,rscd_chapters_using_it,corresponding_1987_sic_2digit_divisions,is_many_to_many,note_and_source
481,Air transportation,ch7(excluded #29),45,FALSE,"one-to-one at 2-digit SIC division level (sub-4-digit still many-to-many) | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
482,Rail transportation,ch7(excluded #30); ch9 IO,40,FALSE,"one-to-one at 2-digit SIC division level (sub-4-digit still many-to-many) | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
483,Water transportation,ch7(excluded #31),44,FALSE,"one-to-one at 2-digit SIC division level (sub-4-digit still many-to-many) | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
486,Pipeline transportation,ch7(excluded #34),46;49,TRUE,"MANY-TO-MANY: NAICS 486 draws from 2 distinct 1987 SIC 2-digit divisions (46,49) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
511,Publishing industries (incl. software),ch7(excluded #37),27;73,TRUE,"MANY-TO-MANY: NAICS 511 draws from 2 distinct 1987 SIC 2-digit divisions (27,73) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
523,"Securities, commodity contracts, investments",ch7(excluded #42),60;61;62;63;67,TRUE,"MANY-TO-MANY: NAICS 523 draws from 5 distinct 1987 SIC 2-digit divisions (60,61,62,63,67) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
525,"Funds, trusts, other financial vehicles",ch7(excluded #44),63;67,TRUE,"MANY-TO-MANY: NAICS 525 draws from 2 distinct 1987 SIC 2-digit divisions (63,67) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
541,"Professional, scientific, technical (incl. legal)",ch7(excluded #47/#48/#49),07;10;13;14;37;47;51;65;72;73;78;80;81;87;89,TRUE,"MANY-TO-MANY: NAICS 541 draws from 15 distinct 1987 SIC 2-digit divisions (07,10,13,14,37,47,51,65,72,73,78,80,81,87,89) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
551,Management of companies and enterprises,ch7(excluded #50),67,FALSE,"one-to-one at 2-digit SIC division level (sub-4-digit still many-to-many) | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
561,Administrative and support services,ch7(excluded #51),07;45;47;49;72;73;76;78;79;86;87,TRUE,"MANY-TO-MANY: NAICS 561 draws from 11 distinct 1987 SIC 2-digit divisions (07,45,47,49,72,73,76,78,79,86,87) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
611,Educational services,ch7(excluded #53),72;79;82;87,TRUE,"MANY-TO-MANY: NAICS 611 draws from 4 distinct 1987 SIC 2-digit divisions (72,79,82,87) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
621,Ambulatory health care services,ch7(excluded #54),41;45;80,TRUE,"MANY-TO-MANY: NAICS 621 draws from 3 distinct 1987 SIC 2-digit divisions (41,45,80) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
622,Hospitals,ch7(excluded #55),80,FALSE,"one-to-one at 2-digit SIC division level (sub-4-digit still many-to-many) | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
