Index,LTVCalc1998stdREadjFixed.xmcd; Column: tpm,LTVCalc1998stdREadjFixed.xmcd; Column: td,LTVCalc1998stdREadjFixed.xmcd; Column: tv,LTVCalc1998stdREadjFixed.xmcd; Column: tp(r),LTVCalc1998stdREadjFixed.xmcd; Column: tpmr = tpm/TPM,LTVCalc1998stdREadjFixed.xmcd; Column: tvr = tv/TV,LTVCalc1998stdREadjFixed.xmcd; Column: tdr = td/TD,LTVCalc1998stdREadjFixed.xmcd; Column: tp(r) = tp(r)/TP(r),LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: 
19,533904.0,464227.118651085,8228.1139175,9443.5075461,0.0348814,0.0303292,0.0303292,0.0316611,,,,,,,,,,,,,,,,,,,
20,87397.0,91419.2536890716,1620.3448773,1733.3199128,0.0057099,0.0059727,0.0059727,0.0058113,,,,,,,,,,,,,,,,,,,
21,70900.0,75005.0581904853,1329.4142853,1341.2959869,0.0046321,0.0049003,0.0049003,0.0044969,,,,,,,,,,,,,,,,,,,
22,151742.0,151303.936633718,2681.7606658,2966.1444166,0.0099137,0.0098851,0.0098851,0.0099446,,,,,,,,,,,,,,,,,,,
23,100311.0,114679.904925173,2032.6242993,2054.2201619,0.0065536,0.0074924,0.0074924,0.0068872,,,,,,,,,,,,,,,,,,,
24,133824.0,102463.646564931,1816.0993239,2789.7467879,0.0087431,0.0066942,0.0066942,0.0093531,,,,,,,,,,,,,,,,,,,
25,398472.0,351668.990387363,6233.0966846,6920.8379989,0.0260333,0.0229755,0.0229755,0.0232034,,,,,,,,,,,,,,,,,,,
26,160242.0,154707.914954456,2742.0938955,2894.8487743,0.0104691,0.0101075,0.0101075,0.0097055,,,,,,,,,,,,,,,,,,,
27,755953.0,668123.290398409,11842.0366313,11435.6947905,0.0493885,0.0436503,0.0436503,0.0383403,,,,,,,,,,,,,,,,,,,
28,789904.0,725202.356865979,12853.7247519,13096.870017,0.0516066,0.0473795,0.0473795,0.0439097,,,,,,,,,,,,,,,,,,,
29,113112.0,120209.428957954,2130.6313993,2473.327977,0.0073899,0.0078536,0.0078536,0.0082923,,,,,,,,,,,,,,,,,,,
30,38107.0,49594.750588035,879.0336479,1457.4626373,0.0024896,0.0032402,0.0032402,0.0048864,,,,,,,,,,,,,,,,,,,
31,24453.0,26530.1610995436,470.2292887,594.8536342,0.0015976,0.0017333,0.0017333,0.0019944,,,,,,,,,,,,,,,,,,,
32,173349.0,179830.14017642,3187.3684663,3325.0370853,0.0113254,0.0117488,0.0117488,0.0111478,,,,,,,,,,,,,,,,,,,
33,26183.0,25812.5736671686,457.5105333,513.3042204,0.0017106,0.0016864,0.0016864,0.0017209,,,,,,,,,,,,,,,,,,,
34,24334.0,25610.8026844996,453.9342782,654.2891995,0.0015898,0.0016732,0.0016732,0.0021936,,,,,,,,,,,,,,,,,,,
35,91472.0,102808.169432767,1822.2057604,1935.3792094,0.0059761,0.0067167,0.0067167,0.0064887,,,,,,,,,,,,,,,,,,,
36,29477.0,34819.539405098,617.1529522,596.8026496,0.0019258,0.0022749,0.0022749,0.0020009,,,,,,,,,,,,,,,,,,,
37,203768.0,208666.936433462,3698.481314,3646.7282322,0.0133127,0.0136328,0.0136328,0.0122263,,,,,,,,,,,,,,,,,,,
38,64779.0,57699.3273014903,1022.6818273,1037.5494106,0.0042322,0.0037697,0.0037697,0.0034786,,,,,,,,,,,,,,,,,,,
39,403881.0,355371.327588625,6298.7181251,7908.3416674,0.0263867,0.0232174,0.0232174,0.0265142,,,,,,,,,,,,,,,,,,,
40,51443.0,56404.6610105345,999.7347368,951.775127,0.0033609,0.0036851,0.0036851,0.003191,,,,,,,,,,,,,,,,,,,
41,468635.0,420684.854848973,7456.3565332,7985.5704172,0.0306172,0.0274845,0.0274845,0.0267731,,,,,,,,,,,,,,,,,,,
42,235059.0,269834.365635791,4782.6329185,4728.6304706,0.0153571,0.017629,0.017629,0.0158536,,,,,,,,,,,,,,,,,,,
43,374349.0,323767.87952606,5738.5682321,5520.5756482,0.0244573,0.0211526,0.0211526,0.0185088,,,,,,,,,,,,,,,,,,,
44,77952.0,82337.2844382279,1459.3730715,1589.926959,0.0050928,0.0053793,0.0053793,0.0053305,,,,,,,,,,,,,,,,,,,
45,607350.0,327660.308741852,5807.5589259,11936.4007662,0.0396798,0.021407,0.021407,0.040019,,,,,,,,,,,,,,,,,,,
46,188096.0,122743.772627326,2175.5509389,2483.7350258,0.0122888,0.0080192,0.0080192,0.0083272,,,,,,,,,,,,,,,,,,,
47,166178.0,138656.385490403,2457.5913155,2330.7963758,0.0108569,0.0090588,0.0090588,0.0078144,,,,,,,,,,,,,,,,,,,
48,172271.0,220692.731016863,3911.6304468,3553.4505535,0.0112549,0.0144185,0.0144185,0.0119136,,,,,,,,,,,,,,,,,,,
49,546739.0,546701.533632835,9689.9175358,9189.1719631,0.03572,0.0357175,0.0357175,0.0308084,,,,,,,,,,,,,,,,,,,
50,214567.0,263379.925472012,4668.2323012,4792.935504,0.0140183,0.0172073,0.0172073,0.0160692,,,,,,,,,,,,,,,,,,,
51,356048.0,398999.799272637,7072.0034861,6676.3430089,0.0232616,0.0260678,0.0260678,0.0223837,,,,,,,,,,,,,,,,,,,
52,46311.0,45914.5756805577,813.8050191,958.6373056,0.0030256,0.0029997,0.0029997,0.003214,,,,,,,,,,,,,,,,,,,
53,115551.0,136083.395632578,2411.9867982,2688.2558265,0.0075493,0.0088907,0.0088907,0.0090129,,,,,,,,,,,,,,,,,,,
54,403991.0,444169.74764785,7872.6104864,7656.4704837,0.0263938,0.0290188,0.0290188,0.0256697,,,,,,,,,,,,,,,,,,,
55,391683.0,469029.078792319,8313.2254361,8723.0921512,0.0255897,0.030643,0.030643,0.0292458,,,,,,,,,,,,,,,,,,,
56,66404.0,74628.3134251156,1322.7367374,1265.8342649,0.0043384,0.0048757,0.0048757,0.0042439,,,,,,,,,,,,,,,,,,,
57,55237.0,50468.9986136682,894.529107,922.9694655,0.0036088,0.0032973,0.0032973,0.0030944,,,,,,,,,,,,,,,,,,,
58,73403.0,66329.4628372977,1175.645184,1285.1766621,0.0047956,0.0043335,0.0043335,0.0043088,,,,,,,,,,,,,,,,,,,
59,91975.0,95406.6748111708,1691.0192388,1960.6183995,0.006009,0.0062332,0.0062332,0.0065733,,,,,,,,,,,,,,,,,,,
60,378874.0,368956.925724196,6539.5137284,6705.327879,0.0247529,0.024105,0.024105,0.0224809,,,,,,,,,,,,,,,,,,,
61,494144.0,473996.328710841,8401.2666051,8654.485838,0.0322838,0.0309675,0.0309675,0.0290158,,,,,,,,,,,,,,,,,,,
62,455775.0,558595.847597482,9900.7362629,10952.6518804,0.029777,0.0364946,0.0364946,0.0367208,,,,,,,,,,,,,,,,,,,
63,77109.0,104044.185633362,1844.1133175,2649.475074,0.0050377,0.0067975,0.0067975,0.0088829,,,,,,,,,,,,,,,,,,,
64,963874.0,1230873.72933873,21816.4102357,26190.2770224,0.0629725,0.0804164,0.0804164,0.0878078,,,,,,,,,,,,,,,,,,,
65,133002.0,150347.840611578,2664.8145059,4339.3289484,0.0086894,0.0098226,0.0098226,0.0145484,,,,,,,,,,,,,,,,,,,
