Index,LTVCalc1998stdREadjCirc.xmcd; Column: tpm,LTVCalc1998stdREadjCirc.xmcd; Column: td,LTVCalc1998stdREadjCirc.xmcd; Column: tv,LTVCalc1998stdREadjCirc.xmcd; Column: tp(r),LTVCalc1998stdREadjCirc.xmcd; Column: tpmr = tpm/TPM,LTVCalc1998stdREadjCirc.xmcd; Column: tvr = tv/TV,LTVCalc1998stdREadjCirc.xmcd; Column: tdr = td/TD,LTVCalc1998stdREadjCirc.xmcd; Column: tp(r) = tp(r)/TP(r),LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: 
10,164785.0,174827.7163762,2710.3948107,3127.9986013,0.0107659,0.011422,0.011422,0.0135522,,,,,,,,,,,,,,,,,,,
11,246438.0,259874.8664282,4028.9005885,4257.5301438,0.0161005,0.0169783,0.0169783,0.0184459,,,,,,,,,,,,,,,,,,,
12,265752.0,281806.3834537,4368.9100056,4710.5149552,0.0173623,0.0184112,0.0184112,0.0204085,,,,,,,,,,,,,,,,,,,
13,417930.0,477222.5117447,7398.491762,7921.9505739,0.0273045,0.0311783,0.0311783,0.0343222,,,,,,,,,,,,,,,,,,,
14,111452.0,119274.1528065,1849.1349742,2083.8357189,0.0072815,0.0077925,0.0077925,0.0090283,,,,,,,,,,,,,,,,,,,
15,432097.0,467867.8730221,7253.4646189,9115.7650601,0.0282301,0.0305671,0.0305671,0.0394945,,,,,,,,,,,,,,,,,,,
16,178070.0,211367.3873511,3276.8778412,3665.3288715,0.0116338,0.0138092,0.0138092,0.0158802,,,,,,,,,,,,,,,,,,,
17,67853.0,73326.0998169,1136.7916058,1198.1832164,0.004433,0.0047906,0.0047906,0.0051912,,,,,,,,,,,,,,,,,,,
18,105984.0,109627.933252,1699.5873855,1756.7328723,0.0069242,0.0071623,0.0071623,0.0076111,,,,,,,,,,,,,,,,,,,
19,533904.0,443037.4190305,6868.5123067,8590.5727534,0.0348814,0.0289449,0.0289449,0.037219,,,,,,,,,,,,,,,,,,,
20,87397.0,90445.6215778,1402.1995394,1619.4762363,0.0057099,0.0059091,0.0059091,0.0070165,,,,,,,,,,,,,,,,,,,
21,70900.0,77181.4280785,1196.5616579,1364.4001862,0.0046321,0.0050425,0.0050425,0.0059113,,,,,,,,,,,,,,,,,,,
22,151742.0,145562.6373481,2256.6914736,2543.2306297,0.0099137,0.00951,0.00951,0.0110187,,,,,,,,,,,,,,,,,,,
23,100311.0,116835.0409252,1811.3208546,1892.9850019,0.0065536,0.0076332,0.0076332,0.0082014,,,,,,,,,,,,,,,,,,,
24,133824.0,74862.7207393,1160.6141979,1392.376161,0.0087431,0.004891,0.004891,0.0060325,,,,,,,,,,,,,,,,,,,
25,398472.0,336545.3295837,5217.5406382,5970.1621088,0.0260333,0.0219874,0.0219874,0.025866,,,,,,,,,,,,,,,,,,,
26,160242.0,153148.6745348,2374.2995752,2643.9725109,0.0104691,0.0100056,0.0100056,0.0114551,,,,,,,,,,,,,,,,,,,
27,755953.0,694952.1242269,10774.0046615,9054.4207124,0.0493885,0.0454031,0.0454031,0.0392287,,,,,,,,,,,,,,,,,,,
28,789904.0,761434.9175219,11804.7028922,9953.0798044,0.0516066,0.0497466,0.0497466,0.0431222,,,,,,,,,,,,,,,,,,,
29,113112.0,110259.6070213,1709.3803711,1683.4642398,0.0073899,0.0072036,0.0072036,0.0072937,,,,,,,,,,,,,,,,,,,
30,38107.0,44015.5883486,682.383919,648.5772605,0.0024896,0.0028757,0.0028757,0.00281,,,,,,,,,,,,,,,,,,,
31,24453.0,23287.2960349,361.0283749,400.6913619,0.0015976,0.0015214,0.0015214,0.001736,,,,,,,,,,,,,,,,,,,
32,173349.0,180531.1742271,2798.8168463,2698.0524831,0.0113254,0.0117946,0.0117946,0.0116894,,,,,,,,,,,,,,,,,,,
33,26183.0,25396.7381138,393.7315468,372.6534605,0.0017106,0.0016592,0.0016592,0.0016145,,,,,,,,,,,,,,,,,,,
34,24334.0,21810.3655367,338.1311773,374.0893473,0.0015898,0.0014249,0.0014249,0.0016208,,,,,,,,,,,,,,,,,,,
35,91472.0,103193.4569703,1599.8322009,1368.4604921,0.0059761,0.0067419,0.0067419,0.0059289,,,,,,,,,,,,,,,,,,,
36,29477.0,37422.2574552,580.1659743,461.0215108,0.0019258,0.0024449,0.0024449,0.0019974,,,,,,,,,,,,,,,,,,,
37,203768.0,214606.5361297,3327.0951193,3311.4964888,0.0133127,0.0140208,0.0140208,0.0143472,,,,,,,,,,,,,,,,,,,
38,64779.0,59607.8110277,924.1137792,881.8944792,0.0042322,0.0038943,0.0038943,0.0038208,,,,,,,,,,,,,,,,,,,
39,403881.0,309412.5367427,4796.8946305,4902.9539486,0.0263867,0.0202148,0.0202148,0.0212423,,,,,,,,,,,,,,,,,,,
40,51443.0,57889.6082554,897.4760814,801.4282134,0.0033609,0.0037821,0.0037821,0.0034722,,,,,,,,,,,,,,,,,,,
41,468635.0,398107.6681892,6171.9559137,5862.8431553,0.0306172,0.0260095,0.0260095,0.025401,,,,,,,,,,,,,,,,,,,
42,235059.0,280735.6867132,4352.3107447,4028.1115083,0.0153571,0.0183412,0.0183412,0.017452,,,,,,,,,,,,,,,,,,,
43,374349.0,338120.6631495,5241.9634014,4785.9980319,0.0244573,0.0220904,0.0220904,0.0207356,,,,,,,,,,,,,,,,,,,
44,77952.0,83783.5419461,1298.915767,1393.0384247,0.0050928,0.0054738,0.0054738,0.0060354,,,,,,,,,,,,,,,,,,,
45,607350.0,274645.7706393,4257.8973572,4716.0180029,0.0396798,0.0179434,0.0179434,0.0204324,,,,,,,,,,,,,,,,,,,
46,188096.0,102917.3371186,1595.5514505,1556.1196665,0.0122888,0.0067239,0.0067239,0.006742,,,,,,,,,,,,,,,,,,,
47,166178.0,149639.5839108,2319.8973259,1990.3513868,0.0108569,0.0097764,0.0097764,0.0086233,,,,,,,,,,,,,,,,,,,
48,172271.0,236030.2884956,3659.2325426,2965.5182747,0.0112549,0.0154205,0.0154205,0.0128482,,,,,,,,,,,,,,,,,,,
49,546739.0,574323.8140947,8903.8758708,7880.5899026,0.03572,0.0375222,0.0375222,0.034143,,,,,,,,,,,,,,,,,,,
50,214567.0,270278.9066288,4190.1968472,3601.1679831,0.0140183,0.0176581,0.0176581,0.0156022,,,,,,,,,,,,,,,,,,,
51,356048.0,424624.0822988,6583.0460582,5785.5148833,0.0232616,0.0277419,0.0277419,0.025066,,,,,,,,,,,,,,,,,,,
52,46311.0,44693.8748955,692.8995533,680.9471276,0.0030256,0.00292,0.00292,0.0029502,,,,,,,,,,,,,,,,,,,
53,115551.0,140598.7633808,2179.7353793,1917.6626379,0.0075493,0.0091857,0.0091857,0.0083084,,,,,,,,,,,,,,,,,,,
54,403991.0,468459.0002204,7262.6290015,6335.6250948,0.0263938,0.0306057,0.0306057,0.0274494,,,,,,,,,,,,,,,,,,,
55,391683.0,487656.1127689,7560.2463091,6751.0916165,0.0255897,0.0318599,0.0318599,0.0292494,,,,,,,,,,,,,,,,,,,
56,66404.0,80517.1038082,1248.2754157,1088.0976183,0.0043384,0.0052604,0.0052604,0.0047142,,,,,,,,,,,,,,,,,,,
57,55237.0,52785.8420976,818.3512058,749.6893679,0.0036088,0.0034486,0.0034486,0.0032481,,,,,,,,,,,,,,,,,,,
58,73403.0,67210.6346774,1041.9821252,939.9605089,0.0047956,0.0043911,0.0043911,0.0040724,,,,,,,,,,,,,,,,,,,
59,91975.0,95555.3672038,1481.4171161,1362.7963911,0.006009,0.0062429,0.0062429,0.0059044,,,,,,,,,,,,,,,,,,,
60,378874.0,381809.1397281,5919.2760304,5820.3352602,0.0247529,0.0249446,0.0249446,0.0252169,,,,,,,,,,,,,,,,,,,
61,494144.0,499642.5500471,7746.0748383,7173.2349889,0.0322838,0.032643,0.032643,0.0310784,,,,,,,,,,,,,,,,,,,
62,455775.0,531666.7322038,8242.5531938,7478.2414019,0.029777,0.0347353,0.0347353,0.0323998,,,,,,,,,,,,,,,,,,,
63,77109.0,110176.0370181,1708.0847659,1362.8198076,0.0050377,0.0071981,0.0071981,0.0059045,,,,,,,,,,,,,,,,,,,
64,963874.0,1274172.6778321,19753.7958255,16748.5422735,0.0629725,0.0832452,0.0832452,0.0725638,,,,,,,,,,,,,,,,,,,
65,133002.0,133817.6717268,2074.6065358,2021.1169477,0.0086894,0.0087427,0.0087427,0.0087566,,,,,,,,,,,,,,,,,,,
