Year,"CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by NBER output/labor 1948/1950, Long Term  Eco Growth A163, pp. 208-209 Maximum real wage defined by relative real output levels","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N"
1963,0.16,0.823,0.16,0.7964,0.16,0.766,0.16,0.7368,0.16,0.7202,0.16,0.6913,0.16,0.869,0.5133759621219278,0.8547,,0.2654183309834383,0.3542733776050738,0.3932459869853967,0.4311816899299413,0.4433539144448097,0.6095357117986456,0.7662180436178548
1964,0.17,0.812,0.17,0.7843,0.17,0.7523,0.17,0.7215,0.17,0.7039,0.17,0.6744,0.17,0.8606,,,,0.26187081987673383,0.34889077103925087,0.3862127363043263,0.42222799848595644,0.4333196617296606,0.5946345783842132,0.7588115631041724
1965,0.18,0.802,0.18,0.7722,0.18,0.7387,0.18,0.7064,0.18,0.6878,0.18,0.6578,0.18,0.8521,,,,0.2586458097797297,0.34350816447342797,0.3792308232194681,0.4133913487601935,0.42340852867972806,0.5799979621309838,0.7513169102034224
1966,0.19,0.791,0.19,0.7603,0.19,0.7251,0.19,0.6914,0.19,0.6719,0.19,0.6414,0.19,0.8436,,,,0.2550982986730252,0.3382145266111723,0.37224891013460987,0.4046132198935416,0.4136205152950121,0.5655376906518896,0.7438222573026724
1967,0.2,0.78,0.2,0.7484,0.2,0.7117,0.2,0.6765,0.2,0.6561,0.2,0.6253,0.2,0.8351,0.5852085911101267,0.7644,,0.25155078756632065,0.3329208887489167,0.36536967224217604,0.3958936118860007,0.4038940617429043,0.5513419363339984,0.7363276044019224
1968,0.21,0.77,0.21,0.7366,0.21,0.6984,0.21,0.6617,0.21,0.6404,0.21,0.6093,0.21,0.8266,,,,0.24832577746931653,0.32767173523844473,0.3585417719459544,0.3872325247375708,0.3942291680234048,0.5372343544031748,0.7288329515011723
1969,0.22,0.759,0.22,0.7248,0.22,0.6851,0.22,0.6471,0.22,0.6248,0.22,0.5936,0.22,0.818,,,,0.244778266362612,0.3224225817279728,0.3517138716497328,0.378688479307363,0.38462583413651363,0.5233912896335542,0.7212501262133546
1970,0.23,0.749,0.23,0.7132,0.23,0.6719,0.23,0.6326,0.23,0.6093,0.23,0.5781,0.23,0.8094,,,,0.2415532562656079,0.3172623969210681,0.34493730894972335,0.3702029547362662,0.3750840600822307,0.5097245696380689,0.713667300925537
1971,0.24,0.738,0.24,0.7015,0.24,0.6589,0.24,0.6182,0.24,0.594,0.24,0.5629,0.24,0.8008,,,,0.23800574515890335,0.31205772776237983,0.3382634214421383,0.3617759510242803,0.36566540569316436,0.49632236680378644,0.7060844756377194
1972,0.25,0.728,0.25,0.69,0.25,0.6459,0.25,0.6039,0.25,0.5788,0.25,0.5478,0.25,0.7921,0.6155983260827683,0.7033,,0.23478073506189925,0.30694202730725884,0.3315895339345532,0.3534074681714055,0.3563083111367063,0.4830083363565717,0.698413477962834
1973,0.26,0.718,0.26,0.6785,0.26,0.633,0.26,0.5897,0.26,0.5638,0.26,0.5329,0.26,0.7834,,,,0.23155572496489513,0.30182632685213784,0.3249669840231803,0.34509750617764173,0.34707433624546474,0.4698706506834924,0.6907424802879487
1974,0.27,0.708,0.27,0.6671,0.27,0.6202,0.27,0.5757,0.27,0.5488,0.27,0.5183,0.27,0.7747,,,,0.22833071486789103,0.29675511074880057,0.31839577170801964,0.33690458590209993,0.33784036135422324,0.4569974821716158,0.6830714826130635
1975,0.28,0.697,0.28,0.6558,0.28,0.6075,0.28,0.5618,0.28,0.534,0.28,0.5038,0.28,0.7659,,,,0.2247832037611865,0.2917283789972469,0.31187589698907114,0.32877018648566914,0.3287295061281983,0.44421248604680696,0.6753123125511105
1976,0.29,0.687,0.29,0.6445,0.29,0.5949,0.29,0.5479,0.29,0.5193,0.29,0.4895,0.29,0.7571,,,,0.22155819366418242,0.2867016472456932,0.3054073598663348,0.32063578706923845,0.3196802107347816,0.4316038346961334,0.6675531424891575
1977,0.3,0.677,0.3,0.6332,0.3,0.5824,0.3,0.5342,0.3,0.5047,0.3,0.4754,0.3,0.7483,,,,0.21833318356717832,0.2816749154941396,0.2989901603398108,0.3126184293710297,0.3106924751739732,0.4191715281195951,0.6597939724272045
1978,0.31,0.667,0.31,0.6221,0.31,0.5699,0.31,0.5206,0.31,0.4902,0.31,0.4615,0.31,0.7395,,,,0.2151081734701742,0.2767371524461532,0.29257296081328665,0.3046595925319319,0.30176629944577305,0.40691556631719217,0.6520348023652516
1979,0.32,0.657,0.32,0.611,0.32,0.5575,0.32,0.5071,0.32,0.4759,0.32,0.4477,0.32,0.7306,,,,0.2118831633731701,0.2717993893981669,0.28620709888297474,0.29675927655194523,0.29296324338278945,0.3947477769018568,0.644187459916231
1980,0.33,0.647,0.33,0.6,0.33,0.5453,0.33,0.4938,0.33,0.4616,0.33,0.4342,0.33,0.7217,,,,0.20865815327616596,0.2669061107019642,0.27994391214508724,0.28897600229018056,0.28416018731980586,0.38284450464772446,0.6363401174672104
1981,0.34,0.637,0.34,0.589,0.34,0.5331,0.34,0.4805,0.34,0.4475,0.34,0.4208,0.34,0.7127,,,,0.20543314317916186,0.26201283200576153,0.27368072540719973,0.2811927280284159,0.2754802509220388,0.3710294047806597,0.6284046026311221
1982,0.35,0.627,0.35,0.5781,0.35,0.5209,0.35,0.4673,0.35,0.4335,0.35,0.4075,0.35,0.7038,,,,0.20220813308215774,0.2571640376613425,0.2674175386693122,0.2734679746257622,0.2668618743568801,0.3593024773006626,0.6205572601821014
1983,0.36,0.617,0.36,0.5672,0.36,0.5089,0.36,0.4542,0.36,0.4196,0.36,0.3945,0.36,0.6948,,,,0.19898312298515364,0.2523152433169235,0.2612570271238491,0.2658017420822195,0.2583050576243296,0.34784006698186853,0.6126217453460132
1984,0.37,0.607,0.37,0.5564,0.37,0.497,0.37,0.4413,0.37,0.4058,0.37,0.3815,0.37,0.6857,,,,0.1957581128881495,0.24751093332428814,0.25514785317459815,0.25825255125689894,0.24980980072438738,0.33637765666307434,0.6045980581228574
1985,0.38,0.597,0.38,0.5457,0.38,0.4851,0.38,0.4284,0.38,0.3921,0.38,0.3688,0.38,0.6766,,,,0.1925331027911454,0.24275110768343644,0.24903867922534717,0.25070336043157826,0.24137610365705345,0.32517976350548317,0.5965743708997014
1986,0.39,0.587,0.39,0.535,0.39,0.4733,0.39,0.4157,0.39,0.3785,0.39,0.3562,0.39,0.6675,,,,0.18930809269414128,0.23799128204258477,0.24298084287230845,0.24327121132447968,0.23300396642232782,0.3140700427349596,0.5885506836765455
1987,0.4,0.578,0.4,0.5244,0.4,0.4616,0.4,0.403,0.4,0.365,0.4,0.3437,0.4,0.6584,,,,0.1864055836068376,0.2332759407535167,0.23697434411548188,0.23583906221738107,0.22469338902021044,0.30304849435150366,0.5805269964533897
1988,0.41,0.568,0.41,0.5139,0.41,0.4499,0.41,0.3904,0.41,0.3516,0.41,0.3314,0.41,0.6492,,,,0.18318057350983347,0.22860508381623237,0.23096784535865533,0.22846543396939348,0.21644437145070136,0.29220329074218304,0.5724151368431661
1989,0.42,0.558,0.42,0.5034,0.42,0.4384,0.42,0.3779,0.42,0.3383,0.42,0.3193,0.42,0.64,,,,0.1799555634128294,0.22393422687894796,0.22506402179425317,0.2211503265805169,0.2082569137138005,0.28153443190699773,0.5643032772329426
1990,0.43,0.549,0.43,0.4929,0.43,0.4269,0.43,0.3656,0.43,0.3251,0.43,0.3073,0.43,0.6308,,,,0.17705305432552568,0.2192633699416636,0.219160198229851,0.2139522609098623,0.20013101580950798,0.27095374545888007,0.5561914176227191
1991,0.44,0.539,0.44,0.4825,0.44,0.4155,0.44,0.3533,0.44,0.3121,0.44,0.2954,0.44,0.6215,,,,0.17382804422852158,0.21463699735616287,0.213307712261661,0.20675419523920777,0.192128237570432,0.26046123139783006,0.5479913856254278
1992,0.45,0.53,0.45,0.4722,0.45,0.4041,0.45,0.3411,0.45,0.2991,0.45,0.2836,0.45,0.6122,,,,0.1709255351412179,0.21005510912244585,0.20745522629347105,0.19961465042766421,0.184125459331356,0.2500568897238477,0.5397913536281366
1993,0.46,0.52,0.46,0.4619,0.46,0.3929,0.46,0.329,0.46,0.2862,0.46,0.272,0.46,0.6029,,,,0.16770052504421376,0.20547322088872877,0.20170541551770546,0.1925336264752317,0.1761842409248883,0.2398288928240006,0.5315913216308454
1994,0.47,0.511,0.47,0.4517,0.47,0.3817,0.47,0.317,0.47,0.2734,0.47,0.2605,0.47,0.5935,,,,0.16479801595691007,0.2009358170067954,0.19595560474193985,0.18551112338191017,0.16830458235102885,0.22968906831122116,0.5233031172464866
1995,0.48,0.501,0.48,0.4416,0.48,0.3706,0.48,0.3051,0.48,0.2607,0.48,0.2492,0.48,0.5841,,,,0.16157300585990594,0.19644289747664567,0.19025713156238644,0.17854714114769965,0.16048648360977769,0.219725588572577,0.5150149128621276
1996,0.49,0.492,0.49,0.4314,0.49,0.3595,0.49,0.2933,0.49,0.2481,0.49,0.238,0.49,0.5747,,,,0.15867049677260225,0.19190549359471226,0.18455865838283306,0.17164167977260017,0.15272994470113482,0.2098502812210005,0.5067267084777689
1997,0.5,0.483,0.5,0.4214,0.5,0.3485,0.5,0.2815,0.5,0.2356,0.5,0.2269,0.5,0.5652,,,,0.15576798768529854,0.1874570584163462,0.17891152279949182,0.16473621839750063,0.1450349656251002,0.20006314625649166,0.4983503317063424
1998,0.51,0.473,0.51,0.4114,0.51,0.3376,0.51,0.2699,0.51,0.2232,0.51,0.2159,0.51,0.5557,0.8817238706764727,0.7317,1.0388,0.15254297758829444,0.18300862323798012,0.17331572481236285,0.15794779874062317,0.1374015463816739,0.19036418367905047,0.48997395493491586
1999,0.52,0.464,0.52,0.4014,0.52,0.3268,0.52,0.2583,0.52,0.2109,0.52,0.205,0.52,0.5461,,,,0.14964046850099075,0.17856018805961404,0.167771264421446,0.15115937908374572,0.12982968697085584,0.1807533934886769,0.48150940577642176
2000,0.53,0.455,0.53,0.3915,0.53,0.316,0.53,0.2468,0.53,0.1986,0.53,0.1943,0.53,0.5365,,,,0.14673795941368703,0.17415623723303167,0.1622268040305292,0.14442948028597927,0.1222578275600378,0.17131894807243866,0.4730448566179276
2001,0.54,0.446,0.54,0.3817,0.54,0.3053,0.54,0.2354,0.54,0.1865,0.54,0.1837,0.54,0.5269,,,,0.14383545032638334,0.1697967707582329,0.15673368123582457,0.13775810234732383,0.11480908781443629,0.16197267504326804,0.4645803074594335
2002,0.55,0.436,0.55,0.3719,0.55,0.2947,0.55,0.2241,0.55,0.1744,0.55,0.1732,0.55,0.5173,,,,0.1406104402293792,0.16543730428343414,0.15129189603733215,0.13114524526777938,0.1073603480688348,0.15271457440116507,0.4561157583009393
2003,0.56,0.427,0.56,0.3622,0.56,0.2841,0.56,0.2129,0.56,0.1625,0.56,0.1628,0.56,0.5076,,,,0.13770793114207552,0.16112232216041908,0.1458501108388397,0.12459090904734597,0.10003472798844985,0.14354464614612977,0.4475630367553776
2004,0.57,0.418,0.57,0.3525,0.57,0.2736,0.57,0.2017,0.57,0.1506,0.57,0.1525,0.57,0.4979,,,,0.13480542205477183,0.15680734003740396,0.14045966323655945,0.11803657282691254,0.09270910790806491,0.13446289027816208,0.43901031520981576
2005,0.58,0.409,0.58,0.3429,0.58,0.2632,0.58,0.1907,0.58,0.1388,0.58,0.1423,0.58,0.4881,,,,0.13190291296746812,0.15253684226617253,0.1351205532304914,0.11159927832470116,0.08544504766028825,0.12546930679726206,0.4303694212771863
2006,0.59,0.4,0.59,0.3333,0.59,0.2528,0.59,0.1797,0.59,0.1271,0.59,0.1322,0.59,0.4783,,,,0.12900040388016443,0.1482663444949411,0.12978144322442337,0.10516198382248977,0.07824254724511985,0.1165638957034297,0.4217285273445569
2007,0.6,0.391,0.6,0.3237,0.6,0.2425,0.6,0.1688,0.6,0.1155,0.6,0.1223,0.6,0.4685,,,,0.12609789479286074,0.1439958467237097,0.1244936708145675,0.09878321017938939,0.07110160666255974,0.10783482938373262,0.4130876334119275
2008,0.61,0.382,0.61,0.3142,0.61,0.2323,0.61,0.1579,0.61,0.1039,0.61,0.1124,0.61,0.4586,,,,0.12319538570555703,0.13976983330426193,0.11925723600092383,0.092404436536289,0.06396066607999963,0.09910576306403554,0.4043585670922304
2009,0.62,0.374,0.62,0.3048,0.62,0.2221,0.62,0.1472,0.62,0.0925,0.62,0.1026,0.62,0.4487,,,,0.12061537762795374,0.13558830423659782,0.11402080118728017,0.08614270461141064,0.05694284516265607,0.0904648691314061,0.3956295007725333
2010,0.63,0.365,0.63,0.2954,0.63,0.212,0.63,0.1365,0.63,0.0811,0.63,0.093,0.63,0.4388,,,,0.11771286854065004,0.1314067751689337,0.1088357039698487,0.0798809726865323,0.04992502424531251,0.08200031997291196,0.38690043445283623
2011,0.64,0.356,0.64,0.2861,0.64,0.2019,0.64,0.1259,0.64,0.0698,0.64,0.0834,0.64,0.4288,,,,0.11481035945334633,0.1272697304530533,0.10365060675241722,0.07367776162076496,0.04296876316057723,0.07353577081441783,0.3780831957460715
2012,0.65,0.347,0.65,0.2768,0.65,0.1919,0.65,0.1154,0.65,0.0586,0.65,0.0739,0.65,0.4188,,,,0.11190785036604263,0.12313268573717281,0.09851684713119795,0.06753307141410862,0.03607406190845022,0.06515939404299133,0.36926595703930676
