r/R,MathCad File PRICEmktpricedev.xmcd; Column: p(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: p(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: p(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: VR1/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR2/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR3/VRR,MathCad File PRICEmktpricedev.xmcd; Column: %NMAWDtptv(r) = m,MathCad File PRICEmktpricedev.xmcd; Column: CVpv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r),MathCad File PRICEmktpricedev.xmcd; Column: pm(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: dpmv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r)
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14
0.429,1.081,1.047,0.808,0.91,0.944,1.46,0.104,0.087,0.123,0.976,1.079,0.844,0.12,0.123
0.439,1.083,1.048,0.804,0.911,0.945,1.454,0.107,0.09,0.126,1.086,1.059,0.851,0.144,0.126
0.449,1.085,1.049,0.799,0.912,0.946,1.447,0.11,0.092,0.129,1.094,1.005,0.738,0.156,0.129
0.459,1.087,1.05,0.794,0.914,0.947,1.441,0.112,0.094,0.132,1.156,1.031,0.786,0.128,0.132
0.468,1.089,1.051,0.79,0.915,0.948,1.434,0.115,0.096,0.135,1.106,1.125,0.893,0.137,0.135
0.478,1.091,1.052,0.785,0.916,0.948,1.427,0.118,0.098,0.139,1.026,1.003,0.775,0.116,0.139
0.488,1.093,1.053,0.78,0.918,0.949,1.42,0.12,0.101,0.142,1.071,0.999,0.829,0.157,0.142
0.498,1.095,1.055,0.775,0.919,0.95,1.414,0.123,0.103,0.145,1.065,0.932,0.793,0.148,0.145
0.507,1.097,1.056,0.771,0.921,0.951,1.407,0.126,0.105,0.148,0.992,0.975,0.777,0.133,0.148
0.517,1.1,1.057,0.766,0.922,0.952,1.4,0.128,0.107,0.151,1.118,1.038,0.721,0.166,0.151
