Index,Ams1_72.xmcd; Column: tpm,Ams1_72.xmcd; Column: td,Ams1_72.xmcd; Column: tv,Ams1_72.xmcd; Column: tp(r),Ams1_72.xmcd; Column: tpmr = tpm/TPM,Ams1_72.xmcd; Column: tvr = tv/TV,Ams1_72.xmcd; Column: tdr = td/TD,Ams1_72.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_72.xmcd; Column: qtpmtv72,Ams1_72.xmcd; Column: qtpoptv72,Ams1_72.xmcd; Column: qtpmtpop72,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33,FPR009_C34,FPR009_C35,FPR009_C36
29,1063.597,999.225234,124.95465,139.9995261,0.0006055,0.0005689,0.0005689,0.0005683,1.0643346809632626,0.9989453330989629,1.0654583846559915,,,,,,,,,,,,,,,,,,,,,,,,,
30,4534.701,5254.0836327,657.0312269,623.720387,0.0025817,0.0029913,0.0029913,0.0025319,0.8630695684150704,0.8464212884030354,1.019669023263162,,,,,,,,,,,,,,,,,,,,,,,,,
31,5628.597,5539.6516846,692.7419504,778.5113353,0.0032045,0.0031539,0.0031539,0.0031603,1.0160436285234156,1.0020292336472305,1.013986013986014,,,,,,,,,,,,,,,,,,,,,,,,,
32,15411.4,15947.1278058,1994.212822,2298.8002352,0.0087741,0.0090792,0.0090792,0.0093318,0.9663957176843774,1.0278218345228654,0.9402366103002636,,,,,,,,,,,,,,,,,,,,,,,,,
33,37319.1,40597.582056,5076.7899816,6244.4446396,0.0212468,0.0231134,0.0231134,0.0253488,0.9192416520286933,1.0967144600102106,0.8381777441141197,,,,,,,,,,,,,,,,,,,,,,,,,
34,24126.4,26527.4098476,3317.2933394,3847.4155226,0.0137358,0.0151028,0.0151028,0.0156182,0.9094869825462828,1.0341261223084461,0.8794739470617612,,,,,,,,,,,,,,,,,,,,,,,,,
35,4890.295,5219.3365445,652.6860502,735.8534335,0.0027842,0.0029715,0.0029715,0.0029871,0.9369678613494867,1.0052498738011104,0.9320745873924543,,,,,,,,,,,,,,,,,,,,,,,,,
36,15383.8,17699.3878512,2213.3356316,2283.7389568,0.0087584,0.0100768,0.0100768,0.0092706,0.8691648142267385,0.9199944426802159,0.9447500701141242,,,,,,,,,,,,,,,,,,,,,,,,,
37,11310.4,12696.3782625,1587.7015995,1645.9550046,0.0064393,0.0072284,0.0072284,0.0066816,0.8908333794477339,0.9243539372475237,0.9637362308429119,,,,,,,,,,,,,,,,,,,,,,,,,
38,14298.4,14620.129366,1828.2696293,1893.7464832,0.0081405,0.0083237,0.0083237,0.0076875,0.9779905570839891,0.9235676441966914,1.0589268292682927,,,,,,,,,,,,,,,,,,,,,,,,,
