,"Shaikh PRICEmktpricedev.xmcd, Ratio (r/R)","Shaikh IO fixed capital 1947, Ratio","Shaikh IO fixed capital 1972, Ratio","Shaikh IO circ. capital 1998, Ratio","Shaikh IO fixed capital 1998, Ratio",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
10,0.02,0.1081181,0.0674542,0.0107659,0.0107659,0.017,0.023,17185.3319545,57854.0296088,68701.3842674,83461.300595,108418.5568567,174827.7163762,179082.784665106,0.087963,0.0809434,0.0752963,0.0694937,0.0617258,0.011422,0.0117,43532.5,61850.14,71053.2,85680.38,118480.2,164785.0,164785.0,0.0865343,0.0778739,0.0713414,18523.4979166,17638.3756285,17553.6515648,16580.3092458,16151.0706538,3127.9986013,3615.4591382,0.0883114,0.0826301,0.0778085,0.0730282,0.0655638,0.0135522,0.0121215,35417.2761966,15999.8024082,15195.5013269,13769.1134639,13557.9070326,2710.3948107,3174.1220917,0.087963,0.0809434,0.0752963,0.0694937,0.0617258,0.011422,0.0117
11,0.022,0.0098631,0.0052677,0.0161005,0.0161005,0.018,0.026,1016.2366754,3026.2400374,3521.876824,4122.5940552,4761.4739128,259874.8664282,254609.223593546,0.0052016,0.004234,0.00386,0.0034327,0.0027108,0.0169783,0.0166343,3971.242,5919.012,7329.855,7907.379,9252.497,246438.0,246438.0,0.0082813,0.0080335,0.006584,1040.7877524,911.8103194,895.8811404,827.3855742,713.7874932,4257.5301438,4669.0349954,0.004962,0.0042715,0.0039711,0.0036442,0.0028976,0.0184459,0.0156538,2094.3636764,836.9208327,778.9753368,680.1291725,595.429625,4028.9005885,4512.7775005,0.0052016,0.004234,0.00386,0.0034327,0.0027108,0.0169783,0.0166343
12,0.024,0.0256778,0.0101075,0.0173623,0.0173623,0.02,0.029,5041.5423214,10675.9241989,12674.5955431,15426.7954038,18992.7553372,281806.3834537,278531.188991106,0.0258051,0.0149366,0.0138913,0.0128451,0.0108131,0.0184112,0.0181972,10338.86,10494.63,12552.28,15247.07,17753.4,265752.0,265752.0,0.014683,0.0137572,0.0126954,4935.9139676,3225.9654366,3186.2825256,2958.9882526,2699.6991042,4710.5149552,5047.6731478,0.0235321,0.0151126,0.0141235,0.0130329,0.0109592,0.0204085,0.0169233,10390.122072,2952.4767568,2803.3908697,2545.0513566,2375.073222,4368.9100056,4936.7782719,0.0258051,0.0149366,0.0138913,0.0128451,0.0108131,0.0184112,0.0181972
13,0.027,0.0045525,0.0034015,0.0273045,0.0273045,0.022,0.031,710.6623216,1879.7127472,2931.8418592,3686.7090608,6124.3629894,477222.5117447,479498.234508069,0.0036375,0.0026299,0.0032133,0.0030697,0.0034868,0.0311783,0.0313269,1833.0,2020.267,2942.43,3942.99,5974.601,417930.0,417930.0,0.0028265,0.0032249,0.0032831,710.0781345,569.2914227,734.3851206,709.2636544,862.8244077,7921.9505739,8642.6971972,0.0033853,0.0026669,0.0032552,0.003124,0.0035026,0.0343222,0.0289763,1464.6050361,519.8433496,648.4702941,608.2185996,765.860997,7398.491762,8498.7841904,0.0036375,0.0026299,0.0032133,0.0030697,0.0034868,0.0311783,0.0313269
14,0.029,0.0273453,0.0172103,0.0072815,0.0072815,0.024,0.034,5653.5125893,15440.2010694,19187.4769234,24960.1153308,34640.927558,119274.1528065,118780.484650111,0.0289375,0.0216023,0.0210294,0.0207829,0.0197221,0.0077925,0.0077603,11010.28,14135.07,17790.78,22239.33,30229.2,111452.0,111452.0,0.0197763,0.0194986,0.0185175,5176.136501,4158.900847,4123.5230963,3940.4078753,4215.6697929,2083.8357189,2198.0012505,0.0246774,0.0194831,0.018278,0.0173556,0.0171131,0.0090283,0.0073692,11651.3325076,4270.0598026,4243.9222173,4117.8205661,4331.901189,1849.1349742,2105.3043211,0.0289375,0.0216023,0.0210294,0.0207829,0.0197221,0.0077925,0.0077603
15,0.031,0.0026872,0.0028097,0.0282301,0.0282301,0.026,0.037,596.7369464,1875.1077048,2512.4229607,3254.5229541,5315.5406427,467867.8730221,463129.398123482,0.0030544,0.0026235,0.0027536,0.0027099,0.0030263,0.0305671,0.0302575,1081.964,1839.459,2460.742,3397.75,4935.099,432097.0,432097.0,0.0025736,0.002697,0.0028291,566.3423333,534.1733305,575.3109476,560.0278481,683.6676163,9115.7650601,8334.5546615,0.0027001,0.0025024,0.0025501,0.0024666,0.0027753,0.0394945,0.0279432,1229.8160607,518.5698036,555.7024337,536.9182544,664.7165204,7253.4646189,8208.6575583,0.0030544,0.0026235,0.0027536,0.0027099,0.0030263,0.0305671,0.0302575
16,0.034,0.0131366,0.0122995,0.0116338,0.0116338,0.028,0.04,2864.6596218,9626.6049057,11127.5063355,13316.3851377,22635.5576045,211367.3873511,207743.143862988,0.0146627,0.0134685,0.0121957,0.0110878,0.0128871,0.0138092,0.0135724,5289.295,7596.173,9488.381,11635.76,21603.6,178070.0,178070.0,0.0106278,0.0103992,0.0096885,2831.4817064,2783.8082404,2642.0659804,2413.7061849,3054.2059414,3665.3288715,3701.3149267,0.0134992,0.0130412,0.0117112,0.0106312,0.0123983,0.0158802,0.0124093,5903.7812772,2662.2825997,2461.2027703,2196.8842635,2830.6112397,3276.8778412,3682.1077111,0.0146627,0.0134685,0.0121957,0.0110878,0.0128871,0.0138092,0.0135724
17,0.036,0.0013002,0.0002661,0.004433,0.004433,0.03,0.042,297.0584277,496.6533559,486.5113187,621.7490011,609.8787171,73326.0998169,70466.2441538683,0.0015205,0.0006949,0.0005332,0.0005177,0.0003472,0.0047906,0.0046038,523.5121,405.6464,373.8066,502.0299,467.391,67853.0,67853.0,0.0005675,0.0004097,0.000418,289.2694404,148.316518,119.3762005,108.5814873,79.4006459,1198.1832164,1234.2801936,0.0013791,0.0006948,0.0005291,0.0004782,0.0003223,0.0051912,0.0041382,612.2081556,137.3518079,107.6074881,102.5736776,76.2662702,1136.7916058,1248.9668547,0.0015205,0.0006949,0.0005332,0.0005177,0.0003472,0.0047906,0.0046038
18,0.038,0.004575,0.0041664,0.0069242,0.0069242,0.032,0.045,1006.6776848,3363.1955617,4360.5461336,5505.3037066,8487.5236898,109627.933252,107185.90866114,0.0051527,0.0047054,0.0047791,0.004584,0.0048322,0.0071623,0.0070028,1842.063,3177.381,3957.086,4988.375,7318.103,105984.0,105984.0,0.0044455,0.0043369,0.0041536,959.0736623,923.277292,953.3535947,888.7565298,1040.9189481,1756.7328723,1919.8938028,0.0045724,0.0043253,0.0042258,0.0039145,0.0042255,0.0076111,0.0064368,2074.6635386,930.1074586,964.4737914,908.2431121,1061.3778716,1699.5873855,1899.7982483,0.0051527,0.0047054,0.0047791,0.004584,0.0048322,0.0071623,0.0070028
19,0.04,0.0017266,0.0021316,0.0348814,0.0348814,0.034,0.048,401.4942389,1280.7579687,1777.8055096,2487.8691579,3784.6474438,443037.4190305,464227.118651085,0.002055,0.0017919,0.0019485,0.0020715,0.0021547,0.0289449,0.0303292,695.1997,1343.023,1772.558,2552.241,3744.004,533904.0,533904.0,0.001879,0.0019427,0.0021251,387.601216,360.0088002,402.3882088,415.6173101,481.9407398,8590.5727534,9443.5075461,0.0018479,0.0016865,0.0017836,0.0018306,0.0019564,0.037219,0.0316611,827.4400743,354.1996049,393.2183648,410.4387599,473.2759749,6868.5123067,8228.1139175,0.002055,0.0017919,0.0019485,0.0020715,0.0021547,0.0289449,0.0303292
20,0.043,0.0118092,0.0113498,0.0057099,0.0057099,0.036,0.051,2218.7485866,8606.1231071,10807.5608267,14194.2794653,20107.1095877,90445.6215778,91419.2536890716,0.0113567,0.0120408,0.011845,0.0118188,0.0114476,0.0059091,0.0059727,4754.833,9290.709,11607.21,14904.07,19935.5,87397.0,87397.0,0.0129986,0.0127214,0.0124098,2381.5221262,2725.6093788,2890.2663727,2973.0244774,3069.3873563,1619.4762363,1733.3199128,0.011354,0.0127686,0.0128114,0.0130947,0.0124599,0.0070165,0.0058113,4572.6222635,2380.0635867,2390.4366212,2341.7157785,2514.4249323,1402.1995394,1620.3448773,0.0113567,0.0120408,0.011845,0.0118188,0.0114476,0.0059091,0.0059727
21,0.045,0.0039535,0.0045529,0.0046321,0.0046321,0.038,0.053,764.8840104,3221.6829316,4193.1344933,5783.4654878,8203.6295298,77181.4280785,75005.0581904853,0.0039151,0.0045074,0.0045957,0.0048156,0.0046706,0.0050425,0.0049003,1591.838,3552.901,4587.913,5857.073,7996.903,70900.0,70900.0,0.0049709,0.0050283,0.0048769,789.1453464,977.8314834,1059.3861791,1120.7453901,1168.0271679,1364.4001862,1341.2959869,0.0037623,0.0045808,0.0046958,0.0049363,0.0047415,0.0059113,0.0044969,1576.3505952,890.971479,927.4453701,954.1331365,1025.876471,1196.5616579,1329.4142853,0.0039151,0.0045074,0.0045957,0.0048156,0.0046706,0.0050425,0.0049003
22,0.048,0.0159799,0.0169649,0.0099137,0.0099137,0.04,0.056,3599.5103216,13927.7972404,17623.6502056,23096.3171574,33225.2001835,145562.6373481,151303.936633718,0.0184241,0.0194863,0.0193154,0.0192311,0.0189161,0.00951,0.0098851,6434.115,12346.44,15895.92,21426.99,29798.0,151742.0,151742.0,0.0172739,0.0174218,0.0178411,3693.7015207,3919.6867395,3966.0626509,3916.8193873,4256.9407138,2543.2306297,2966.1444166,0.0176099,0.0183625,0.01758,0.0172517,0.0172807,0.0110187,0.0099446,7418.2361778,3851.7974519,3898.0320839,3810.3385554,4154.8623067,2256.6914736,2681.7606658,0.0184241,0.0194863,0.0193154,0.0192311,0.0189161,0.00951,0.0098851
23,0.05,0.0111717,0.0137782,0.0065536,0.0065536,0.042,0.059,1976.5401623,7840.2770106,10338.0194451,14317.2811451,20123.4159799,116835.0409252,114679.904925173,0.0101169,0.0109693,0.0113304,0.0119212,0.0114568,0.0076332,0.0074924,4498.15,10203.61,14199.73,18968.16,24200.8,100311.0,100311.0,0.0142758,0.0155628,0.0157938,2264.6991602,2709.3912608,3110.9405469,3420.9320672,3472.2454858,1892.9850019,2054.2201619,0.010797,0.0126926,0.0137896,0.0150675,0.0140953,0.0082014,0.0068872,4073.4545615,2168.2652677,2286.5825757,2362.0081065,2516.4640717,1811.3208546,2032.6242993,0.0101169,0.0109693,0.0113304,0.0119212,0.0114568,0.0076332,0.0074924
24,0.052,0.0035506,0.0055427,0.0087431,0.0087431,0.044,0.062,614.9573187,2830.8293107,4075.1317016,6087.1122676,8985.7854718,74862.7207393,102463.646564931,0.0031477,0.0039606,0.0044663,0.0050684,0.0051159,0.004891,0.0066942,1429.615,3769.769,5486.838,7370.291,9735.505,133824.0,133824.0,0.0052743,0.0060135,0.0061368,687.5960142,951.7448187,1168.278041,1388.9339098,1485.224705,1392.376161,2789.7467879,0.0032781,0.0044586,0.0051785,0.0061176,0.0060291,0.0060325,0.0093531,1267.3664532,782.8790826,901.3452908,1004.2275747,1123.6862727,1160.6141979,1816.0993239,0.0031477,0.0039606,0.0044663,0.0050684,0.0051159,0.004891,0.0066942
25,0.055,0.0075349,0.0098295,0.0260333,0.0260333,0.046,0.065,1265.9719248,4322.5854461,6228.2162339,8779.1060719,13954.3306411,336545.3295837,351668.990387363,0.0064799,0.0060477,0.0068261,0.0073099,0.0079446,0.0219874,0.0229755,3033.858,6086.365,8231.396,11410.86,17265.0,398472.0,398472.0,0.0085154,0.0090216,0.0095012,1316.6618433,1302.4743283,1543.7811201,1646.948925,1926.3980164,5970.1621088,6920.8379989,0.0062772,0.0061017,0.006843,0.007254,0.00782,0.025866,0.0232034,2609.0434237,1195.4312171,1377.5685753,1448.3420071,1745.0104762,5217.5406382,6233.0966846,0.0064799,0.0060477,0.0068261,0.0073099,0.0079446,0.0219874,0.0229755
26,0.057,0.0032259,0.0020652,0.0104691,0.0104691,0.048,0.067,461.4415518,1404.7403967,1834.0371175,2367.2730081,3179.0020324,153148.6745348,154707.914954456,0.0023619,0.0019654,0.0020101,0.0019711,0.0018099,0.0100056,0.0101075,1298.882,1790.365,2343.24,2768.381,3627.5,160242.0,160242.0,0.0025049,0.0025682,0.0023051,509.7899493,430.6677728,464.1871423,460.616423,459.335068,2643.9725109,2894.8487743,0.0024304,0.0020175,0.0020576,0.0020288,0.0018646,0.0114551,0.0097055,950.9855807,388.4875251,405.6557775,390.5432867,397.5390861,2374.2995752,2742.0938955,0.0023619,0.0019654,0.0020101,0.0019711,0.0018099,0.0100056,0.0101075
27,0.059,0.0195105,0.0179475,0.0493885,0.0493885,0.05,0.07,2826.5119642,10463.1919309,12057.8912675,14075.7281623,18955.5861197,694952.1242269,668123.290398409,0.0144675,0.014639,0.0132154,0.0117201,0.010792,0.0454031,0.0436503,7855.672,16754.39,19988.5,24406.17,31524.0,755953.0,755953.0,0.023441,0.0219073,0.0203217,4513.0347334,4018.1915837,4004.2661237,3712.7347082,3625.4893078,9054.4207124,11435.6947905,0.0215161,0.0188239,0.0177493,0.0163528,0.0147173,0.0392287,0.0383403,5825.1627128,2893.6446534,2666.9870587,2322.157656,2370.4251542,10774.0046615,11842.0366313,0.0144675,0.014639,0.0132154,0.0117201,0.010792,0.0454031,0.0436503
28,0.062,0.0086225,0.0117928,0.0516066,0.0516066,0.052,0.073,1620.0854514,5462.4701504,7673.2656428,11148.1288975,19131.5868706,761434.9175219,725202.356865979,0.0082924,0.0076425,0.0084099,0.0092824,0.0108922,0.0497466,0.0473795,3471.758,6467.722,9022.042,12561.07,20713.5,789904.0,789904.0,0.009049,0.0098881,0.0104589,1574.8902647,1603.163238,1871.0587202,2086.8544499,2669.161292,9953.0798044,13096.870017,0.0075083,0.0075103,0.0082937,0.0091916,0.0108352,0.0431222,0.0439097,3338.8365175,1510.6716621,1697.1873202,1839.1739717,2392.4343184,11804.7028922,12853.7247519,0.0082924,0.0076425,0.0084099,0.0092824,0.0108922,0.0497466,0.0473795
29,0.064,0.0028136,0.0006055,0.0073899,0.0073899,0.054,0.076,462.1793153,751.0068137,834.774017,898.0856431,999.225234,110259.6070213,120209.428957954,0.0023657,0.0010507,0.0009149,0.0007478,0.0005689,0.0072036,0.0078536,1132.851,871.6413,894.7586,997.321,1063.597,113112.0,113112.0,0.0012195,0.0009807,0.0008304,474.1707008,221.0017649,200.1013573,161.5676205,139.9995261,1683.4642398,2473.327977,0.0022606,0.0010353,0.000887,0.0007116,0.0005683,0.0072937,0.0082923,952.5060386,207.694446,184.6368864,148.1625979,124.95465,1709.3803711,2130.6313993,0.0023657,0.0010507,0.0009149,0.0007478,0.0005689,0.0072036,0.0078536
30,0.067,0.0064779,0.0025817,0.0024896,0.0024896,0.056,0.079,1419.6621996,3153.7211212,3665.1405137,4563.1020806,5254.0836327,44015.5883486,49594.750588035,0.0072665,0.0044124,0.004017,0.0037994,0.0029913,0.0028757,0.0032402,2608.263,3033.332,3331.063,4094.762,4534.701,38107.0,38107.0,0.0042439,0.0036508,0.0034095,1337.7321075,835.9423152,766.3930533,696.767061,623.720387,648.5772605,1457.4626373,0.0063777,0.0039161,0.0033971,0.0030689,0.0025319,0.00281,0.0048864,2925.7839396,872.1763226,810.6626691,752.8024347,657.0312269,682.383919,879.0336479,0.0072665,0.0044124,0.004017,0.0037994,0.0029913,0.0028757,0.0032402
31,0.069,0.0028052,0.0032045,0.0015976,0.0015976,0.058,0.082,681.7833971,1876.4981547,2576.3703454,3381.9113078,5539.6516846,23287.2960349,26530.1610995436,0.0034897,0.0026254,0.0028237,0.0028159,0.0031539,0.0015214,0.0017333,1129.465,2129.674,2802.6,3607.671,5628.597,24453.0,24453.0,0.0029796,0.0030716,0.0030039,677.7659497,563.8660181,639.0424828,646.5006664,778.5113353,400.6913619,594.8536342,0.0032313,0.0026415,0.0028326,0.0028475,0.0031603,0.001736,0.0019944,1405.0884176,518.954339,569.8464364,557.9342784,692.7419504,361.0283749,470.2292887,0.0034897,0.0026254,0.0028237,0.0028159,0.0031539,0.0015214,0.0017333
32,0.072,0.0073029,0.0087741,0.0113254,0.0113254,0.06,0.085,1598.2352593,6661.7307136,8654.6836057,10695.5425589,15947.1278058,180531.1742271,179830.14017642,0.0081806,0.0093204,0.0094855,0.0089056,0.0090792,0.0117946,0.0117488,2940.421,7267.85,9088.688,10400.99,15411.4,173349.0,173349.0,0.0101684,0.0099611,0.0086603,1681.8274397,2066.428792,2244.9972328,2121.4157917,2298.8002352,2698.0524831,3325.0370853,0.0080182,0.0096805,0.0099512,0.0093438,0.0093318,0.0116894,0.0111478,3293.8054239,1842.3327784,1914.2591902,1764.5080774,1994.212822,2798.8168463,3187.3684663,0.0081806,0.0093204,0.0094855,0.0089056,0.0090792,0.0117946,0.0117488
33,0.074,0.0277343,0.0212468,0.0017106,0.0017106,0.062,0.087,6445.806831,19235.1339418,22943.1740399,30308.0511636,40597.582056,25396.7381138,25812.5736671686,0.0329928,0.0269118,0.0251456,0.0252359,0.0231134,0.0016592,0.0016864,11166.87,19023.64,23657.97,29777.76,37319.1,26183.0,26183.0,0.0266159,0.025929,0.0247943,7660.5202359,6232.9767831,6232.2130341,6371.2373925,6244.4446396,372.6534605,513.3042204,0.0365218,0.0291995,0.027625,0.0280622,0.0253488,0.0016145,0.0017209,13284.1728893,5319.5662332,5074.614366,5000.1017521,5076.7899816,393.7315468,457.5105333,0.0329928,0.0269118,0.0251456,0.0252359,0.0231134,0.0016592,0.0016864
34,0.077,0.0137611,0.0137358,0.0015898,0.0015898,0.064,0.09,2622.955736,8697.9157602,12317.1183341,17248.6992514,26527.4098476,21810.3655367,25610.8026844996,0.0134256,0.0121692,0.0134995,0.0143621,0.0151028,0.0014249,0.0016732,5540.736,8905.06,12753.31,18207.99,24126.4,24334.0,24334.0,0.012459,0.0139776,0.0151608,2699.8431627,2665.5922363,3138.8266003,3388.3406076,3847.4155226,374.0893473,654.2891995,0.0128716,0.0124874,0.0139132,0.014924,0.0156182,0.0016208,0.0021936,5405.6533793,2405.4492741,2724.3233886,2845.621808,3317.2933394,338.1311773,453.9342782,0.0134256,0.0121692,0.0134995,0.0143621,0.0151028,0.0014249,0.0016732
35,0.079,0.0021408,0.0027842,0.0059761,0.0059761,0.066,0.093,449.4485375,2033.6150475,2340.8218787,3223.0009444,5219.3365445,103193.4569703,102808.169432767,0.0023005,0.0028452,0.0025655,0.0026836,0.0029715,0.0067419,0.0067167,861.9491,2062.812,2368.16,3268.065,4890.295,91472.0,91472.0,0.0028861,0.0025955,0.0027211,504.87242,614.9335868,583.4753967,616.4498801,735.8534335,1368.4604921,1935.3792094,0.002407,0.0028808,0.0025863,0.0027152,0.0029871,0.0059289,0.0064887,926.2691598,562.4057504,517.7473837,531.7178786,652.6860502,1599.8322009,1822.2057604,0.0023005,0.0028452,0.0025655,0.0026836,0.0029715,0.0067419,0.0067167
