,"BLS PPI (WPU00000000) spliced with CPI, Index 1930=100, Index 1930=100","Jastram (1977) Golden Constant Table 2 + UK PPI growth (ukstats), Index 1930=100, Index 1930=100",Composite final series
1869,119.7,101.0,119.7
1870,107.0,99.0,107.0
1871,103.1,103.1,103.1
1872,107.8,112.4,107.8
1873,105.4,114.4,105.4
1874,100.0,105.2,100.0
1875,93.5,99.0,93.5
1876,87.2,97.9,87.2
1877,84.1,96.9,84.1
1878,72.2,89.7,72.2
1879,71.3,85.6,71.3
1880,79.4,90.7,79.4
1881,81.6,87.6,81.6
1882,85.7,86.6,85.7
1883,80.0,84.5,80.0
1884,73.8,78.4,73.8
1885,67.5,74.2,67.5
1886,65.0,71.1,65.0
1887,67.5,70.1,67.5
1888,68.2,72.2,68.2
1889,64.1,74.2,64.1
1890,65.0,74.2,65.0
1891,64.6,74.2,64.6
1892,60.3,70.1,60.3
1893,61.9,70.1,61.9
1894,55.4,64.9,55.4
1895,56.5,63.9,56.5
1896,53.8,62.9,53.8
1897,53.8,63.9,53.8
1898,56.1,66.0,56.1
1899,60.3,70.1,60.3
1900,64.8,77.3,64.8
1901,63.9,72.2,63.9
1902,68.2,71.1,68.2
1903,69.1,74.1,69.1
1904,69.1,72.2,69.1
1905,69.5,74.2,69.5
1906,71.5,79.4,71.5
1907,75.3,82.5,75.3
1908,72.9,75.3,72.9
1909,78.3,76.3,78.3
1910,81.4,80.4,81.4
1911,75.1,82.5,75.1
1912,80.0,87.6,80.0
1913,80.7,87.6,80.7
1914,78.7,87.6,78.7
1915,80.5,111.3,80.5
1916,98.9,140.2,98.9
1917,135.9,184.5,135.9
1918,152.0,197.9,152.0
1919,160.3,212.4,160.3
1920,178.7,258.8,178.7
1921,113.0,159.8,113.0
1922,111.9,135.1,111.9
1923,116.4,133.0,116.4
1924,113.5,143.3,113.5
1925,119.7,140.2,119.7
1926,115.7,129.9,115.7
1927,110.5,125.8,110.5
1928,112.1,123.7,112.1
1929,110.1,118.8,110.1
1930,100.0,100.0,100.0
1931,84.3,85.6,84.3
1932,75.3,82.5,75.3
1933,76.2,81.4,76.2
1934,86.5,84.5,86.5
1935,92.6,86.6,92.6
1936,93.5,91.8,93.5
1937,99.8,105.2,99.8
1938,90.8,93.8,90.8
1939,89.2,98.7507930720146,89.2
1940,90.8,132.32896991795835,90.8
1941,101.1,146.19803099361857,101.1
1942,114.1,155.96280765724697,114.1
1943,120.2,158.43392889699138,120.2
1944,120.2,163.0769006381035,120.2
1945,122.4,167.41205104831317,122.4
1946,139.7,162.0,139.7
1947,171.5,177.4,171.5
1948,185.7,202.8,185.7
1949,176.5,212.7,176.5
1950,183.4,248.0,183.4
1951,204.3,365.7,204.3
1952,198.7,375.1,198.7
1953,196.0,375.5,196.0
1954,196.4,377.8,196.4
1955,196.9,389.4,196.9
1956,203.4,406.1,203.4
1957,209.2,419.0,209.2
1958,212.1,421.7,212.1
1959,212.6,423.2,212.6
1960,212.6,428.9,212.6
1961,212.6,440.3,212.6
1962,212.6,450.1,212.6
1963,211.9,456.2,211.9
1964,212.3,471.4,212.3
1965,216.6,493.1,216.6
1966,223.8,506.8,223.8
1967,224.2,513.3,224.2
1968,229.8,536.1,229.8
1969,238.8,557.0,238.8
1970,247.5,596.3,247.5
1971,255.4,650.0,255.4
1972,267.0,684.6,267.0
1973,302.0,734.7,302.0
1974,359.0,906.4,359.0
1975,392.2,1125.3,392.2
1976,410.2,1248.4,410.2
1977,435.7116202945991,1475.8217054263566,435.7116202945991
1978,469.27954173486097,1620.9844961240308,469.27954173486097
1979,528.3590834697219,1797.5992248062014,528.3590834697219
1980,602.8798690671032,2049.214728682171,602.8798690671032
1981,657.9312602291326,2245.1844961240317,657.9312602291326
1982,671.3584288052374,2419.3798449612405,671.3584288052374
1983,680.0860883797054,2550.026356589148,680.0860883797054
1984,696.1986906710312,2674.5310150513146,696.1986906710312
1985,692.841898527005,2840.351937984496,692.841898527005
1986,672.7011456628478,2880.11686511628,672.7011456628478
1987,690.156464811784,2978.040838530233,690.156464811784
1988,717.6821603927988,3088.2283495558527,717.6821603927988
1989,753.2641571194763,3236.4633103345336,753.2641571194763
1990,780.7898527004909,3437.1240355752743,780.7898527004909
1991,782.1325695581013,3622.72873349634,782.1325695581013
1992,786.832078559738,3735.0333242347256,786.832078559738
1993,798.245171849427,3883.068181597687,798.245171849427
1994,808.3155482815056,3980.3778081159976,808.3155482815056
1995,837.1839607201307,4140.835170991935,837.1839607201307
1996,857.3247135842878,4248.828152251405,857.3247135842878
1997,856.6533551554825,4286.799610769401,856.6533551554825
1998,835.169885433715,4311.313354981674,835.169885433715
1999,842.5548281505726,4360.299435054508,842.5548281505726
2000,890.8926350245497,4470.735509064863,890.8926350245497
2001,900.9630114566282,4480.383655013275,900.9630114566282
2002,880.1509001636659,4494.545311298068,880.1509001636659
2003,927.1459901800326,4562.098597540023,927.1459901800326
2004,984.8828150572832,4674.68740794328,984.8828150572832
2005,1056.7181669394438,4805.290428011061,1056.7181669394438
2006,1105.727332242226,4922.382790830448,1105.727332242226
2007,1158.76464811784,5071.000020562749,1158.76464811784
2008,1272.8955810147302,5411.009600485539,1272.8955810147302
2009,1160.7787234042555,5498.440635322828,1160.7787234042555
2010,1239.9990180032732,5726.732781842416,1239.9990180032732
2011,1350.1018003273325,,1350.1018003273325
