,"Jastram (1977) Golden Constant Table 2 + UK PPI growth (ukstats), Index 1930=100, Index 1930=100","UK WPI converted to USD using MeasuringWorth exchange rate, base 1790=100, Index 1790=100","UK WPI deflated by gold price, base 1790=100, Index 1790=100",Composite final series
1854,105.2,118.22130109383994,108.75843190927756,105.2
1855,104.1,117.22487046632124,107.62122397106268,104.1
1856,104.1,117.70431778929188,107.62122397106268,104.1
1857,108.2,121.84179620034544,111.85990810440904,108.2
1858,93.8,104.97823834196892,96.9728223677779,93.8
1859,96.9,109.34024179620036,100.1776811027471,96.9
1860,102.1,114.0322394933794,105.55357317430835,102.1
1861,101.0,110.94300518134712,104.41636523609348,101.0
1862,104.1,133.28635578583766,107.62122397106268,104.1
1863,106.2,173.14818652849738,109.79225730765472,106.2
1864,108.2,248.41773172135865,111.85990810440904,108.2
1865,104.1,184.3474956822107,107.62122397106268,104.1
1866,105.2,166.6726540011514,108.75843190927756,105.2
1867,103.1,160.25906735751295,106.58739857268552,103.1
1868,102.1,160.5856073690271,105.55357317430835,102.1
1869,101.0,150.71502590673578,104.41636523609348,101.0
1870,99.0,127.440414507772,102.34871443933912,99.0
1871,103.1,129.63177892918824,106.58739857268552,103.1
1872,112.4,141.06620610247555,116.20197477759314,112.4
1873,114.4,146.21070811744386,118.26962557434746,114.4
1874,105.2,131.30316637881404,108.75843190927756,105.2
1875,99.0,127.440414507772,102.34871443933912,99.0
1876,97.9,122.19182498560735,101.21150650112428,97.9
1877,96.9,113.35682210708116,100.1776811027471,96.9
1878,89.7,101.00932642487048,92.73413823443153,89.7
1879,85.6,95.60391479562465,88.49545410108516,85.6
1880,90.7,101.0910765687968,93.7679636328087,90.7
1881,87.6,97.4341968911917,90.56310489783948,87.6
1882,86.6,97.11963154864708,89.52927949946233,86.6
1883,84.5,94.37535981577432,87.35824616287027,84.5
1884,78.4,87.56246401842257,81.05191123276958,78.4
1885,74.2,83.04248704663213,76.7098445595855,74.2
1886,71.1,79.57305699481864,73.50498582461628,71.1
1887,70.1,78.29245826137016,72.47116042623912,70.1
1888,72.2,80.97040875071963,74.64219376283117,72.2
1889,74.2,83.21335636154289,76.7098445595855,74.2
1890,74.2,83.04248704663213,76.7098445595855,74.2
1891,74.2,83.04248704663213,76.5293508076806,74.2
1892,70.1,78.61531375935519,72.30064004876563,70.1
1893,70.1,78.45388601036268,72.30064004876563,70.1
1894,64.9,72.93310305123777,67.0952683546779,64.9
1895,63.9,71.95647668393782,66.06144295630071,63.9
1896,62.9,70.54070236039148,64.87461139896375,62.9
1897,63.9,71.51502590673574,65.90600426699177,63.9
1898,66.0,73.713298791019,68.07192928985067,66.0
1899,70.1,78.45388601036268,72.47116042623912,70.1
1900,77.3,86.68992515831894,79.72666869856752,77.3
1901,72.2,80.97040875071963,74.46656507162452,72.2
1902,71.1,79.73678756476683,73.50498582461628,71.1
1903,74.1,82.93056994818652,76.42621152087779,74.1
1904,72.2,80.97040875071963,74.46656507162452,72.2
1905,74.2,83.21335636154289,76.7098445595855,74.2
1906,79.4,88.67933218192286,81.89259372142642,79.4
1907,82.5,92.3316062176166,85.08991161231334,82.5
1908,75.3,84.44697754749568,77.66388296251144,75.3
1909,76.3,85.5684513529073,78.88087789617754,76.3
1910,80.4,89.98134715025908,83.11956202952392,80.4
1911,82.5,92.3316062176166,85.29059536611597,82.5
1912,87.6,98.24110535405872,90.56310489783948,87.6
1913,87.6,98.24110535405872,90.56310489783948,87.6
1914,87.6,99.45146804835922,90.56310489783948,87.6
1915,111.3,122.00069084628667,115.06476683937824,111.3
1916,140.2,154.00207253886006,144.94232085247825,140.2
1917,184.5,202.23834196891195,190.7407860005866,184.5
1918,197.9,216.92665515256184,204.59404633884057,197.9
1919,212.4,216.67979274611395,206.8974093264249,212.4
1920,258.8,218.1250431778929,200.78389655646757,258.8
1921,159.8,141.6764536557283,130.92905912546613,159.8
1922,135.1,137.8222222222222,126.8094218415418,135.1
1923,133.0,140.27403569372484,129.2671438254656,133.0
1924,143.3,145.85745538284402,133.93263143939816,143.3
1925,140.2,155.93920552677025,143.92399072939295,140.2
1926,129.9,145.38031088082903,133.97793355684246,129.9
1927,125.8,140.7917098445596,129.7492227979275,125.8
1928,123.7,138.72630972941852,127.5832977750686,123.7
1929,118.8,132.95751295336788,122.5294727217312,118.8
1930,100.0,111.91709844559584,103.13928680280404,100.0
1931,85.6,89.49314910765689,81.04119338846677,85.6
1932,82.5,66.6839378238342,61.29358039870029,82.5
1933,81.4,79.47864133563617,57.18114786767639,81.4
1934,84.5,98.07253886010363,53.837058681768895,84.5
1935,86.6,97.71790443293035,53.39017511641636,86.6
1936,91.8,105.06528497409325,57.40341333254493,91.8
1937,105.2,119.67484168105932,65.50223739990581,105.2
1938,93.8,105.62625215889464,57.666867719407904,93.8
1939,98.7507930720146,100.74059028417376,56.07074749585516,98.7507930720146
1940,132.32896991795835,116.71156126327706,69.0539776403854,132.32896991795835
1941,146.19803099361857,135.67715944830923,76.29134851998602,146.19803099361857
1942,155.96280765724697,145.098386398452,81.38695736370032,155.96280765724697
1943,158.43392889699138,147.3973685075061,82.67647658947368,158.43392889699138
1944,163.0769006381035,151.7169092868021,85.09934489257066,163.0769006381035
1945,167.41205104831317,155.3645516925048,87.36158104297616,167.41205104831317
1946,162.0,150.34196891191712,84.53737971872688,162.0
1947,177.4,164.6337363270006,92.5736491487787,177.4
1948,202.8,188.205872193437,105.82827535159144,202.8
1949,212.7,180.73989637305695,110.99444855662472,212.7
1950,248.0,159.90788716177315,87.69365117039334,248.0
1951,365.7,235.79965457685668,129.3127751331163,365.7
1952,375.1,240.99689119170984,132.16294508309412,375.1
1953,375.5,242.98330454807137,133.25229622796135,375.5
1954,377.8,244.47161773172135,133.10976097034657,377.8
1955,389.4,250.1844559585492,136.02573890805442,389.4
1956,406.1,261.8491652274036,142.40853886010365,406.1
1957,419.0,269.2020725388601,146.61692276901866,419.0
1958,421.7,272.8789867587795,147.98437358841505,421.7
1959,423.2,273.84962579159475,148.5530814175835,423.2
1960,428.9,277.53805411629247,149.74310827958126,428.9
1961,440.3,283.90097869890616,153.74267793836927,440.3
1962,450.1,291.2564191134139,157.95059651919755,450.1
1963,456.2,294.1531375935521,159.56696990861397,456.2
1964,471.4,302.8683937823834,164.2946673025839,471.4
1965,493.1,317.9458837075417,172.27725295681915,493.1
1966,506.8,325.6124352331606,176.23067115903365,506.8
1967,513.3,325.06044905008633,175.83193088003395,513.3
1968,536.1,295.05561312607944,145.1637011076486,536.1
1969,557.0,306.55843408175014,142.01362357620135,557.0
1970,596.3,329.56131260794467,174.54645479944986,596.3
1971,650.0,365.2274035693724,170.39469673879918,650.0
1972,684.6,394.12780656303977,128.99282664937178,684.6
1973,734.7,414.51122625215896,81.07502252065194,734.7
1974,906.4,488.4227979274612,58.377043567432025,906.4
1975,1125.3,575.2829015544041,68.00714216301134,1125.3
1976,1248.4,517.4715025906737,78.9015544041451,1248.4
1977,1475.8217054263566,594.746801265659,76.64345922477706,1475.8217054263566
1978,1620.9844961240308,716.7047167664108,70.60591182925491,1620.9844961240308
1979,1797.5992248062014,877.5844229335976,54.46986921397232,1797.5992248062014
1980,2049.214728682171,1099.521086431654,34.167075682751964,2049.214728682171
1981,2245.1844961240317,1044.3920972183173,43.21458072419337,2245.1844961240317
1982,2419.3798449612405,974.9947561732116,49.40246808038194,2419.3798449612405
1983,2550.026356589148,892.582627982845,40.03843601662179,2550.026356589148
1984,2674.5310150513146,825.3014531188858,43.57970805625276,2674.5310150513146
1985,2840.351937984496,850.3068553551744,51.01358734142004,2840.351937984496
1986,2880.11686511628,974.9618403502432,50.49766980780628,2880.11686511628
1987,2978.040838530233,1124.694755368931,47.95073502911195,2978.040838530233
1988,3088.2283495558527,1265.8713787471313,55.13296349262475,3088.2283495558527
1989,3236.4633103345336,1222.291267460825,60.99759923476605,3236.4633103345336
1990,3437.1240355752743,1408.884463632467,69.9353685170783,3437.1240355752743
1991,3622.72873349634,1476.621729024415,77.6064239107067,3622.72873349634
1992,3735.0333242347256,1522.3970026241711,84.30694715314667,3735.0333242347256
1993,3883.068181597687,1341.3016171321888,70.96666281822058,3883.068181597687
1994,3980.3778081159976,1402.4129064864655,69.5162357099291,3980.3778081159976
1995,4140.835170991935,1506.62511690668,74.65277254352003,4140.835170991935
1996,4248.828152251405,1526.3493189435103,74.94147201653311,4248.828152251405
1997,4286.799610769401,1618.9640441362849,93.0745411662162,4286.799610769401
1998,4311.313354981674,1648.078334892246,106.64662464194284,4311.313354981674
1999,4360.299435054508,1626.640203750905,111.12222322135544,4360.299435054508
2000,4470.735509064863,1564.8861194654216,106.75413856583272,4470.735509064863
2001,4480.383655013275,1485.7230773101014,104.34156868579464,4480.383655013275
2002,4494.545311298068,1552.5199693602997,95.42824081882364,4494.545311298068
2003,4562.098597540023,1722.9341853691735,90.26767647941824,4562.098597540023
2004,4674.68740794328,1969.989166732574,91.64587772503984,4674.68740794328
2005,4805.290428011061,2013.9616762187984,86.25438296056886,4805.290428011061
2006,4922.382790830448,2085.7073886305184,65.7559006618115,4922.382790830448
2007,5071.000020562749,2335.5210227116863,63.93051764810676,5071.000020562749
2008,5411.009600485539,2305.2084653766838,50.32300006702735,5411.009600485539
2009,5498.440635322828,1987.9221180096356,38.9161284684665,5498.440635322828
2010,5726.732781842416,2044.084239920724,31.774757259430952,5726.732781842416
